nummer,datum,inhoud,folio nr,register nr,vervolg nr,bron,bijzonderheden,,
9001321,1487-05,"Steven de Beer Jansz aan gebroeders Engbrecht Symonsz en Huijge Symonsz, een huis en erf geheten de Rose, gelegen in de Houtstrate, an d'een zide: die stege ende poirte van de Wolzak, an d'ander zide: Vyvien Berthelmeusz, after streckende an die Wolsackscamer, mitter halver heymelicheyt die vor die muer staet ende gaet onder de voirs plaetse; 243 R gld                 ",79,1486-1489,LXXI,G.A. Haarlem Transportregister Inv F 350,,,
9001322,1487-05-10,Roeloff Adamsz is schuldig Lobbrant Dircsz 35 Beyers gld. Onderpand: de Aelsmeerscuyt die hij daarvoor gecoft heeft. Testes: Claes Louwerijsz van Ziericxee en Jan Berwoutsz. Verleden 10 Mei    ,79,1486-1489,LXXII,G.A. Haarlem Transportregister Inv F 350,,,
9001323,1487-05-14,"Jan Henricsz, van Reymerswale, is schuldig Wolfaert Claesz 10 £ gr Vls. Onderpand: het Rynscip dat hij jegens hem gecoft heeft. Testes: Jan Claes Wiggersz en Winter Nydincxz. Verleden 14 Mei ",79,1486-1489,LXXII,G.A. Haarlem Transportregister Inv F 350,,,
9001324,1487-05,"Geertruid Pieter Govertsz weduwe met Jacob Claesz als gecoren voogd en tevens voogd over de 2 kinderen Govert en Katryn [uit dit huwelyk] verkopen Jacob Garbrantsz een huis en erf in de Valkestege op Bakenesse, an d'een zide: Guert Allarts en Jan Ripprantsz, an d'ander zide: Katrijn Mandekins. Afterwaerts streckende an Pieter Thaemsz     ",79,1486-1489,LXXII,G.A. Haarlem Transportregister Inv F 350,,,
9001325,1487-05,"Willem Dircsz en Griet Jans Ysbrant tegeldeckers weduwe met Dirc Bannenz als voogd, verkopen aan Kathryn Huge Vercopen weduwe een camer met erve op t Cleyne Heylige Lant, an d'een side: Vrederic Hoen, an d'ander: Dammas Willemsz, after streckende an Ewout Willem Bertoens erve          ",79v,1486-1489,LXXII,G.A. Haarlem Transportregister Inv F 350,,,
9001326,1487-05,"Claes Dircsz van Tetrode heeft om hemselven te quyten tegen zijn vader en broeder en zusteren gelient eer ende voor de tyt dat hij wettelick beslapen of getroudt hadde Yde Claesdochter dat zijn vader Dirc van Tetrode hun voor ende tot noch te na meer uytgereict ende gegeven heeft dan yemant van zijn broers en zusters, 100 leuwen tot 60 gr t stuck ende heeft daerom geloeft dat hy niet incomen noch lasten en zal tot eeniger deling na zyn vaders dood, tenzij dat hij eerst ingebracht heeft de voors 100 leeuwen                ",79v,1486-1489,LXXII,G.A. Haarlem Transportregister Inv F 350,,,
9001327,1487-05,"Garbrant Mathijsz lijt schuldig te zyn aan here Jan Aerntsz, priester, en Lysbeth Hillebrantsdochter 20 st hoir beyder leven lanck gedurende. Onderpand: zijn huis en erf liggende op Sceepmakersdijk     ",79v,1486-1489,LXXII,G.A. Haarlem Transportregister Inv F 350,,,
9001328,1487-05,"Dirc Jansz verkoopt Lambert Pietersz de decker 2 cameren en erven an malcanderen gelegen op tie Raecx, an d'een zide: Jan Broer Dircsz, an d'ander zide: Wouter Claesz, afterwerts streckende an Pouwels Jansz snyder      ",79v,1486-1489,LXXII,G.A. Haarlem Transportregister Inv F 350,,,
9001329,1487-05,"Mergriet Dircxdochter, Claes Jansz geechte wijf (Lazarus buyten ter ziecken luyden), met Claes Jan Mathijsz als gecoren voogd, verkoopt aan Wouter Jansz een huis en erf in de Cruijsstraet, an d'een zide: Jacob Nannincx, an d'ander: Gheryt Jansz kinderen en Jan van der Meer tesamen, afterwaerts streckende an St Jansmuer. Koopsom 112 R gld. Waarborg: Claes Jan Mathijsz      ",79v,1486-1489,"LXXII, LXXIII",G.A. Haarlem Transportregister Inv F 350,,,
9001330,1487-05-16,"Gerijt Gijsbrechtsz van Zwammerdam, is sculdig Baerndt Ellertsz van Hoern 30 R gld. Onderpand: de scuijt die hy daarvoor gecoft heeft en hem te dancke gelevert is. Testes: Nanne Jansz en Warbout Willemsz. Verleden 16 Mei",80,1486-1489,LXXIII,G.A. Haarlem Transportregister Inv F 350,,,
9001331,1487-05,"Ysbrant Jansz aan Jan Matheeusz een schuer en erve op de Voldersgraft, an d'een side: die Slickstege, an d'ander: Pieter de Wever  ",80,1486-1489,LXXIII,G.A. Haarlem Transportregister Inv F 350,,,
9001332,1487-05,"Jacob Pietersz is sculdig Gherijt Outgersz als voogd van zynre nichte Hillegondt Jacobsdochter, de somme van 22 R gld ",80,1486-1489,LXXIII,G.A. Haarlem Transportregister Inv F 350,,,
9001333,1487-05,"Jan Meynsz verkoopt Dirck van Gorichem een huis en erf in de Scuttersdoelstraet. Afterwaerts streckende an St Michielsstraat, an d'een side: die Heilige Geest, an d'ander zijde: Pieter de Vriese. Dirck zal hem geven soe lange als hij leeft 4½ R gld sjaars       ",80v,1486-1489,LXXIII,G.A. Haarlem Transportregister Inv F 350,,,
9001334,1487-05-17,Henric Florysz van Briele is sculdig Henric Gerytsz sceepmaker 21 £ 10 sc gr Vls. Onderpand: Rynscip. Testes: Jan Outgersz en Pieter Jansz van Mijsen [?]; 17 Mei,80v,1486-1489,LXXIII,G.A. Haarlem Transportregister Inv F 350,,,
9001335,1487-05,"Alyt Meeus weduwe met Claes Kibbe als gecoren voogd verkoopt aan Jan Kerstansz een huis en erf in de Grote Houtstraet, an d'een zide: Alijt Claes Symons weduwe, an d'ander: Claes Dircsz t Fret, afterwerts streckende an deselve Alijt         ",80v,1486-1489,LXXIII,G.A. Haarlem Transportregister Inv F 350,,,
9001336,1487-05,"Aernt Pietersz als man en voogd van Fije Jansdochter voor ¾ deel, en Claes Florijsz als wijlen man en voogd van Machtelt Jansdochter, doen zij leefde zijn geechte wijf, voor ¼ deel, [dochters van Jan van Santen?], verkopen Symon Bertolmeusz een sate lants, gelegen in de ban van Heemstede, ende Jan van Santen toe te behoren plach, oost: Jacob van Assendelft, west: die wildernis, zuid: Ysbrant Symensz, noord: die Heerwech. Scepenen: Claes Jan Comansz en Florys Lourysz. Schout: Voirde         ",80v,1486-1489,LXXIII,G.A. Haarlem Transportregister Inv F 350,,,
9001337,1487-05,Frans Henricsz is sculdig Bertolmeus Bertolmeusz 18 R gld ,81,1486-1489,LXXIII,G.A. Haarlem Transportregister Inv F 350,,,
9001338,1487-05,"Guert Aetsaertsdochter Jacob Hoflants weduwe met Claes van der Laen verkoopt Jacob Henricsz een schuer metten erve after de voirs. Jacobs huys in de Grote Houtstraet. Afterwerts streckende an Baernt Aerntsz, an d'een zide: Katryn Aernt van Noijens weduwe, an d'ander: Geertruyd mitten eygendom van eenre muer an de noortzyde     ",81,1486-1489,"LXXIII, LXXIV",G.A. Haarlem Transportregister Inv F 350,,,
9001339,1487-05,"Jacob Henricsz sceepmaker aan Pieter Willemsz cuijper ½ van een huis en erf in Sparenwouderstraet, an d'een side: de Brede Molenstege, an d'ander: Alyt Meeus, afterwerts streckende an Alyt voirs. Pieter kent Jacob sculdich te wesen alsoe lange als Claes Lambertsz en zijn wijf Wijve  leeft, 7 R gld sjaars       ",81,1486-1489,LXXIV,G.A. Haarlem Transportregister Inv F 350,,,
9001340,1487-05-21,Baerndt Dircsz is sculdig Meynaert Henricsz 18 £ gr Vls. Onderpand: t Rynscip dat hij daarvoor gecoft heeft ende him wel te dancke gelevert is. Testes: Jacob Dircsz van Ilpedam en Pieter Jansz Raet. Verleden 21 Mei     ,81,1486-1489,LXXIV,G.A. Haarlem Transportregister Inv F 350,,,
9001341,1487-05,"Jan Jacobsz lijt dat Jan Vredericsz van Crabbenburch him vernuecht en voldaen heeft van alzulke 4 st 6d sjaars pacht als er meer op stond op het huis en erf dat de voirs. Jan Jacobsz bewoent ende hem vercoft is bij mr Willem Henricsz, op de hoeck van t Grote Heilige lande    ",81v,1486-1489,LXXIV,G.A. Haarlem Transportregister Inv F 350,,,
9001342,1487-05,"Pieter Claesz verkoopt Claes Jansz een huis en erf op de Burchwal, an d'een zide: Kathrijn Allartsweduwe, an d'ander: Pieter Claesz, afterwerts streckende an Claes Jansz; 85 R gld         ",81v,1486-1489,LXXIV,G.A. Haarlem Transportregister Inv F 350,,,
9001343,1487-05,"Margriet Jansdochter Ysbrant tegeldeckers weduwe met Dirc Bannez als voogd  verkoopt here Heinric Jansz, priester, ½ van het huis en erf en ½ van de camer after denselven huyse, daer de voors here Heinric de wederhelft of toebehoort, liggende in de Coninckstraet, an d'een zide: Coman Floer, an d'ander: Aecht van Hillegomsstege, afterwaerts streckende an deselve Aecht van Hillegom. Met Jan Gerytsz als voogd erkent hij 75 R gld schuldig te zyn          ",81v,1486-1489,LXXIV,G.A. Haarlem Transportregister Inv F 350,,,
9001344,1487-05,"Jacob Lottijnsdochter met Willem van Hoochtwoude als haar voogd, met consent van Dirc Joest en Claes Joest als hoir naeste magen, vercoopt Symon Pietersz van Loo, ½ van 6 maden lands, onderdeelt gelegen met Symon Dircsz Lepelaer, gelegen in de ban van Akendam, zuidoost: Claes Jansz van Scalcwyc, noordwest: Wolbrant Jansz, streckende van de laen zuidwest op tot Claes Dircszoons twee maden. Hier hebben bij en an geweest als scepenen van Akedam         ",81v,1486-1489,LXXIV,G.A. Haarlem Transportregister Inv F 350,,,
9001345,1487-05,"Ripprant Pietersz, tymmerman, verkoopt Cornelis Heermansz ⅛ deel van de molen, -werf, -huys en scuyt, geheten Ypocras, gelegen buyten St Janspoort op Akendam, oost: die Spaerne. An alle andere zijden: Meynaert Heinrics zoons kinderen. Outger Maertsz verkoopt deselve Cornelis ook ⅛ deel van deselve molen       ",82,1486-1489,"LXXIV, LXXV",G.A. Haarlem Transportregister Inv F 350,,,
9001346,1487-05,"Adriaen Woutersz aan Pieter Jansz een huis en erf op te Croft, an d'een zide: t cloester van St Katryne, an d'ander: Brechte Pieter Florysz weduwe  ",82,1486-1489,LXXV,G.A. Haarlem Transportregister Inv F 350,,,
9001347,1487-05,"Claes van Zaenden verkoopt Rijewert Ysbrantsz een huis en erf in Batte Jorysstraet, an d'een zide: Henric Gerytsz, an d'ander: Griete Costers    ",82,1486-1489,LXXV,G.A. Haarlem Transportregister Inv F 350,,,
9001348,1487-05,"Jan Jansz Mostaert verkoopt Lambert Arijsz ⅛ deel van een molen, -werf en -huijs, gelegen buiten de Zylpoort ende is die vuyterste molen, west en noord: Jan van Foreest, oost: die Reguliers van Leiden, zuid: die Zylwech  ",82v,1486-1489,LXXV,G.A. Haarlem Transportregister Inv F 350,,,
9001349,1487-05,"Jacob Dircsz aan Margriet Jacob Jansz weduwe twee huysen en erven, an malcanderen, buyten Schalkwykerpoort, an d'een zide: Dirc Havicxz, an d'ander: Jan Gysbrechtsz, after streckende an die Raemsloet",82v,1486-1489,LXXV,G.A. Haarlem Transportregister Inv F 350,,,
9001350,1487-05,"doorgehaald: Aelbrecht Jansz verkoopt Jan van Dueren ½ van een huis en erf in de Aneganck, daer deselve Jan de wederhelft of toebehoert, an d'een zide: Jacob van Assendelft, an d'ander zide: Diert zeylmakers erfnamen, afterwerts streckende an Arys Nammez              ",82v,1486-1489,LXXV,G.A. Haarlem Transportregister Inv F 350,,,
9001351,1487-05,"Aelbrecht Jansz lijt dat Jan van Duijeren hem al voldaan heeft van de erfenis van zyn moeder Govert Govertsdochter, doe zij leefde des voirs Jans geechte wijf. Hij erkent hiervoor schuldig te zyn 45 R gld      ",82v,1486-1489,LXXV,G.A. Haarlem Transportregister Inv F 350,,,
9001352,1487-05,"Duijf Jan Raetsdochter met Claes Gerijtsz als haar gecoren voogd erkent dat mr Jan van Velzen jegens haar heeft afgekocht 1 Wilh scilt die zy had staan op mr Jans boomgaert buyten St Janspoort op ter stedecingel, an d'een zide: Pieter Rijtant, an d'ander: here Vrederick Baerts, priester, streckende voor van deselve singel after an here Geryt van Abbenbroec, ridder      ",83,1486-1489,LXXV,G.A. Haarlem Transportregister Inv F 350,,,
9001353,1487-05,"Duyve Jan Raetsdochter erkent dat here Vrederick Bartsz, priester, jegens haar afgelost heeft 1 Wilh scilt sjaars, als hij had op zyn boomgaert buyten St Janspoort op ter stede singel, streckende vóór van de cingel tot after an here Geryt van Abbenbroek, ridder, an d'een zide: mr Jan van Velzen, an d'ander: Tyman Nannincsz       ",83,1486-1489,LXXV,G.A. Haarlem Transportregister Inv F 350,,,
9001354,1487-05-25,"Oel Harcxz, brouwer van Delft, is schuldig Aerndt Vechtersz, poorter dezer stede 39 £ gr Vls. Onderpand: Rynscip. Testes: Mathys Jacobsz den Smijt en Hillebrant Jansz. Verleden 25 Mey     ",83,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001355,1487-05,"Wouter van Delen aan Arijs Dircsz ½ van een huis en erf in de Grote Houtstraet, an d'een zide: Jacob Gerytsz Wij, an d'ander: Claes van Woude c.s, afterwaerts streckende an Claes, Machtelt en Katrijn, Claes de Costers dochteren. Waarborg: Jan Reyersz kistemaker         ",83,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001356,1487-05,"Willem Aerntsz aan Pieter Jansz een huis en erf op t Nyeuwelant, an d'een side: Pieter Jansz, an d'ander: Rissent Claesdochter, afterwaerts streckende an Pieter voirs.      ",83v,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001357,1487-05,"mr Reijer Wyntgensz, priester, lyt dat Meynaert Symonsz [verder niets]    ",83v,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001358,1487-05-26,"Dirc Claesz, poorter dezer stede, lijt schuldig te wesen Martyn Jansz van Zaerdam 130 R gld. Onderpand: het Rynscip dat hij daarvoor jegens hem gekocht heeft. Testes: Claes Kibbe, Claes Suycker en Vrederick Baers. Verleden 26 Mei 1487     ",83v,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001359,1487-05,Angnyeze Jelys Gerytszdochter met Willem Jelysz als voogd is schuldig aan Willem van den Voirde c.s. 24 £ 10 sc gr Vls    ,83v,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001360,1487-05,"Jacob Ysbrantsz aan Willem Heinricx de snijder een boomgaert buiten de Cleyne Houtpoort op ter stede singel, an d'een zide: t Bleecvelt, an d'ander: Pieter Thomasz, streckende voor van de singel after an jonge Mat       ",83v,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001361,1487-05,Willem Heiricsz an Jan Bardez zoeveel erves vuyt zyn boomgaert die hij leggende heeft an de vors. Jans boomgaert   ,84,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001362,1487-05,"Geryt Henricsz an Wolfert Gerytsz een huis en erf in de Zylstraet, an d'een zide: Willem Aerntsz, an d'ander: Griete Muveû [?], after streckende an die Witte Broeders van St Anthonis; 135 R gld ",84,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001363,1487-05,"Jan Joestz als voogd ende in den name Zyburch en van Engel Claes Aerntsz dochteren verkoopt aan Jan Symonsz een huis en erf in de Doelstraat, an d'een zide: Jan Meijnsz, an d'ander: Aechte Moenen, afterwerts streckende an een boomgaert ende toe te  behoren plach Kers die wever             ",84,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001364,1487-05,"Claes Baerntsz is sculdich Dirck Jansz 40 R gld. Onderpand: zijn huis dat hij nu ter tijt bewoont, staande in die Dyckstraet        ",84,1486-1489,LXXVI,G.A. Haarlem Transportregister Inv F 350,,,
9001365,1487-05,"mr Jan Vlaming, priester, met Jan Stevensz als voogd, in de name van Margriet Jacobsdochter, professide zuster in t jonge Hof binnen Alkmaer, verkoopt Geryt Maertsz en Meynaert Henricsz tesamen een huis en erf op tie Spaerne by die Gravensteenbrugge, an d'een zide: coman Dirc, an d'ander: mr Jan berbier, afterwerts streckende an Geryt Claesz            ",84v,1486-1489,"LXXVI, LXXVII",G.A. Haarlem Transportregister Inv F 350,,,
9001366,1487-05,"Baernt Dircsz is sculdig mr Witte Harpertsz, van der Goes uijt Zeeland, 12 £ 16 scell gr Vls. Onderpand: het Rynscip dat hij tegens Meynaert Heynricsz gecoft heeft      ",84v,1486-1489,LXXVII,G.A. Haarlem Transportregister Inv F 350,,,
9001367,1487-05,"Willem Heinricsz verkoopt Jan Bardez een stuk van een boomgaert gelegen after Willems voirs. boomgaert, op ter stede cingel, buyten de Cleyne Houtpoort, oost: Jan Bardez, west: t Bleecvelt, zuid: jonge Mat, noord: Willem Heinricsz voirs         ",84v,1486-1489,LXXVII,G.A. Haarlem Transportregister Inv F 350,,,
9001368,1487-05,Jan Keijsersz is sculdig Pouwels Aerntsz van Noyen 24 R gld   ,85,1486-1489,LXXVII,G.A. Haarlem Transportregister Inv F 350,,,
9001369,1487-05,"Aernt Symonsz aan Lambert Volkertsz een ledich erve buyten Scalcwijkerpoort, an d'een zide: Aernt Symonsz voirs, an d'ander: Pieter Willemsz, streckende voor van de Dyckstraet after an de Spaerne    ",85,1486-1489,LXXVII,G.A. Haarlem Transportregister Inv F 350,,,
9001370,1487-05,"Symon Aerndtz, sceepmaker, verkoopt Geerburch (Geertruid ?) Pieter Hermansz weduwe ½ zate lants in de ban van Leymuyden, zuid: Engbrecht Gerijtsz, noord: Jacob Claesz, streckende van de Burchgraeveneden wech (!) an die meer    ",85,1486-1489,LXXVII,G.A. Haarlem Transportregister Inv F 350,,,
9001371,1487-05,"Lambert Pietersz de decker aan Aernt Lievijnsz ½ van 2 cameren en erven, gelegen an malcanderen op tie Raecx, an d'een zide: Wouter Claesz, an d'ander: Dirc Jan Broersz, afterwaerts streckende an Pouwels Jansz de snijder          ",85,1486-1489,LXXVII,G.A. Haarlem Transportregister Inv F 350,,,
9001372,1487-05,Claes van Zaenden is sculdig Vrederic Jansz 14 R gld,85,1486-1489,LXXVII,G.A. Haarlem Transportregister Inv F 350,,,
9001373,1487-05,"Jacob Jansz de smit in de name van Katryn Jansdochter lyt dat Joest Aerntsz in de name van zyn vrouw Geertruid Jansdochter, der voirs Katrinen zuster, hem voldaan heeft van de erfenis van haer moije Geerburch van der Schuere      ",85,1486-1489,LXXVII,G.A. Haarlem Transportregister Inv F 350,,,
9001374,1487-06,"Govert Jansz aan Gijsbrecht Michielsz 1½ vierendeel van drie huysen mit hoeren erven, daerof de twee huyzen leggende en staende zijn in die Jacopynenstege ende naeste lenden zijn van dat een …  [verder niets]    ",85v,1486-1489,"LXXVII, LXXVIII",G.A. Haarlem Transportregister Inv F 350,,,
9001375,1487-06,Wouter Vredericx lijt sculdich te zijn Geertruid Jansdochter 30 R gld   ,85v,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001376,1487-06,"Willem Gerytsz van Oest aan Jan Pietersz Borst een huis en erf in de Grote Houtstraet, streckende an die Geerstraet, an d'een zide: Geryt Baertsz, an d'ander: Gijsbrecht de gortmaker        ",85v,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001377,1487-06,"Maertyn Symonsz aan mr Henric Aerndtsz priester, een boomgaert of tuijn gelegen buyten St Janspoort op ten hoeck van der stede cingel, an d'een zide: die zelve cingel, an d'ander: Jan Zivertsz spildraijer, streckende voer van de Heerwech after an Wouter van Bekesteyn         ",85v,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001378,1487-06-02,"Jacob Gerytsz van Aemsterdam, is sculdich Willem Jansz Roode 31 £ gr Vls. Onderpand: Rynscip. Tuygen: Florys van Alphen, baljuw van Brederode, Florys Gael Claesz en Dirck Willemsz; 2 Juni '87",85v,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001379,1487-06,Jan Ripprantsz is sculdich Pouwels Jansz 19½ R gld   ,86,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001380,1487-06,Evert Zijbrantsz is sculdig Pouwels Aerntsz van Noyen 4 £. Borg: Jan Keysers de molenaer   ,86,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001381,1487-06,"Geertruijt Haijck Louwen weduwe met haar neef en voogd  Geryt Maertsz voor ½, Bertolmeus Bertolmeusz voor ¼ deel en Jan Jansz voor ¼ deel, verkoopt aan Dirc Huijgez een huijs en erve metter ½ muer an die zuidzijde, an d'een zide: Bertolmeus Bertolmeusz, an d'ander: Lysbeth coemen weduwe, afterwerts streckende an Nyese Pieter Cronen weduwe. Jan Claesz die zal die gelden belopende 49 R gld betalen op 4 Meyen e.k.      ",86,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001382,1487-06,"Dirc Huijgez aan Jan Claesz ¼ en 1/16 deel van een huis en erf op Bakenesse, an d'een zide: Henric Jansz, an d'ander: Griet Harcken weduwe       ",86,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001383,1487-06,"Jan Claesz aan Willem Jacobsz ½ ven een huis en erf op tie Spaerne, gemeen met Griete Harcken weduwe, afterwerts streckende an Henric Jansz, an d'een side: Jan Claesz voirs, an d' ander: Katryn Jan Gerijtsz weduwe         ",86,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001384,1487-06,"Katrijn Melijsdochter, Lou Melysz weduwe met haar zoon Melys Louwenz als voogd, voor ½, dezelfde Melys en zijn broer Adriaen Louwenz elck voor ⅓ deel van de andere ½, verkopen aan Jan Louwez, de mandemaker, een huis en erf over de Spaerne, bij de Visbrugge, after streckende an Geryt Philipsz, an d'een side: Symon Valkenz en Dirc Vrericx tesamen, an d'ander side: Danel Joestz, mr Geryt Hoon, barbier en Henric Gysbrechtsz tesamen              ",86v,1486-1489,LXXVIII,G.A. Haarlem Transportregister Inv F 350,,,
9001385,1487-06,"Alyt Martijn Claesz weduwe en hoir vier kinderen Alijt, Brecht, Geryt en Angnies gewonnen bij Martyn Claesz, met Claes Willemsz hoir alre voogd, met consent van de Raad der stede, tesamen voor ¾, zoals Jan Martynsz en mr Claes Martynsz hierof bij scepenbrieven uitgecoft zyn, en Alyt Jansdochter met Wouter van Besteyn [te lezen: Bekesteyn ?] als haar voogd [zij is mater van het St Margrietenconvent] en in de name van Katryn Jan coemendochter, professide zuster in het voors convent, voor t vierde ¼ deel, verkopen aan Pieter Jansz Ballinck een huis en erf leggende op tie Beeck, an d'een zide: Jan Vechtersz, an d'ander: Lottyn Pietersz, afterwerts streckende an Borwout Claesz. Hoir twee kinderen als Alyt en Alyt ende Brecht zullen hebben tesamen 335 £ 8 st en 1 oort. Item Geryt en Angnies zullen ontfaen 42 R gld  (zie ook fol 87)",86v,1486-1489,LXXIX,G.A. Haarlem Transportregister Inv F 350,,,
9001386,1487-06,Pieter Ysbrantsz de vleijshouder is sculdig Floris van Alphen 52½ R gld ,87,1486-1489,LXXIX,G.A. Haarlem Transportregister Inv F 350,,,
9001387,1487-06,"Claes Dircsz t Fret en Lambrecht Pietersz die decker  verkopen aan Dirc Jansz de decker een huis en erf op t Cleyne Heyliglant, an d'een side: St Cornelisstege, an d'ander: Lysbeth Jan de Witten weduwe, afterwaerts streckende mit 2 cameren in deselve stege an Jacob de hoefslager, 27 R gld en 15 st voor ½, en Lambert zal hebben zolang hy leeft 3 R gld 12½ st            ",87,1486-1489,LXXIX,G.A. Haarlem Transportregister Inv F 350,,,
9001388,1487-06,"die gasthuismeesters van O.L.Vr gasthuis in St Jansstraat verkopen aan Jan Aerntsz de molenaer ⅓ deel van de molen, -huys, en werf geheten de Smerin, gelegen buyten de Cruyspoort, oost: Jan vuyt die Coel, west: die heerweg, zuid: die stege, noord: t gasthuis voors.         ",87,1486-1489,LXXIX,G.A. Haarlem Transportregister Inv F 350,,,
9001389,1487-06,Pieter Willemsz Cuijper is sculdicg Jelbert Pietersz 6 R gld 1 oort            ,87v,1486-1489,LXXIX,G.A. Haarlem Transportregister Inv F 350,,,
9001390,1487-06-22,"Pieter Jansz, poorter deser stede, is sculdich Claes Jacobsz sceepmaker 18 ½ R gld. Onderpand: de ever. Testes: Pieter Kijftsz en Jacob Arentsz. Verleden 22 Juni    ",87v,1486-1489,LXXIX,G.A. Haarlem Transportregister Inv F 350,,,
9001391,1487-06,"Rutger Jacobsz aan Henric Willemsz Snel een ledich erve an der stede cingel en vest, oost: Pieter Mathysz, zuid: Jan Claesz, west: die Cloetbaenstege, noord: Ysbrant Jansz         ",87v,1486-1489,LXXIX,G.A. Haarlem Transportregister Inv F 350,,,
9001392,1487-06,Meynaert Nannez lijt dat Yef Zybrant Meynaertsz weduwe hem voldaan heeft van de erfenis hem aangekomen van zyn oem Zybrant voirs   ,87v,1486-1489,LXXIX,G.A. Haarlem Transportregister Inv F 350,,,
9001393,1487-06,"Thomas Symonsz verkoopt aan Martyn Harcxz 1½ vierendeel van een huis en erf buyten Scalcwykerpoort daer tevoren een molen op plach te staen, geheten oude Scalckwijck, streckende van die wech an die weyde, an d'een zide: Pieter Jansz, an d'ander: Katrijn Dircx       ",87v,1486-1489,"LXXIX, LXXX",G.A. Haarlem Transportregister Inv F 350,,,
9001394,1487-06,"Geertruyd Claes van Yperens weduwe met Symon Dircsz Lepelaer als voogd, gift ende besprect in rechten testamente Jacob van Yperen en Lysbet Mertyn Willemsz weduwe, haar zoon en dochter kinderen, namelic geheten deselve Jacobs kinderen: Katrijn, Lysbet, Maritgen, Goelt, Claes, Jacob en Dircktgen. Ende Lysbeth's kinderen zyn geheten heer Jan, priester, Willem, Aelbrecht, Claes ende Angnyes, ⅓ deel van een huis en erf in de Begynestraat, an d'een zide: Geertruid mr Geryts weduwe, an d'ander: Rycwert (Ryewert ?)Ysbrantsz, afterwerts streckende an Symon Geryts Loo                    ",87v,1486-1489,LXXX,G.A. Haarlem Transportregister Inv F 350,,,
9001395,1487-06,Lubbrant Dircsz en zijn wyf Katryn Jacobsdochter maken elkander de bruickwaer van al hun goederen    ,88,1486-1489,LXXX,G.A. Haarlem Transportregister Inv F 350,,,
9001396,1487-06,"Volkert Gerytsz is schuldig Gerijt Zijbrantsz 45 R gld. Onderpand: het huis en erf op tie oude Graft, dat hy bewoont    ",88,1486-1489,LXXX    ,G.A. Haarlem Transportregister Inv F 350,,,
9001397,1487-06,"Pieter Mathijsz verkoopt Henric Willemsz Snel een ledich erve op tie Voldersgraft, an d'een zyde: Jan Aelbrechtsz, an d'ander zyde: Henric voirs, after streckende van Jan Wiggersz an Pieter voors. scuijr          ",88,1486-1489,LXXX,G.A. Haarlem Transportregister Inv F 350,,,
9001398,1487-06,"Symon Elinck aan Jacob Henricsz een huis en erf in Sparenwouderstraet, an d'een zide; Jacob, an d'ander zide: Claes Willemsz, afterwerts streckende an Geryt Baertsz        ",88v,1486-1489,LXXX,G.A. Haarlem Transportregister Inv F 350,,,
9001399,1487-06,"Aecht Baernt Jansz weduwe met Geryt Albout als voogd, gift Mathys Mathysz in den name van zynen wyve Fye Baerntsdochter, haer stiepdochter, een huis en erf in de Grote Houtstraet, an d'een zide: Gysbrecht Jansz, an d'ander: t klooster van St Michiels, after streckende an St Michielsklooster. In allen schyn alst Baernt Jansz tot anderen tyden tegens Ysbrant Pietersz de meter gecoft heeft             ",88v,1486-1489,LXXX,G.A. Haarlem Transportregister Inv F 350,,,
9001400,1487-06,"Jan Bruyn Harmansz is schuldig Rem Meurs 21½ gr Vls, te betalen als hij van den Heyligen Graven gecomen sal wesen  ",88v,1486-1489,LXXX,G.A. Haarlem Transportregister Inv F 350,,,
9001401,1487-06,"Bertholomeus Jansz maect zyn dienstmaecht Hillegont Hermansdochter met Pieter Gerytsz als gecoren voogd, indien zij 2 jaren by hem blyft, de ½ van al zyn inboel etc",88v,1486-1489,LXXX,G.A. Haarlem Transportregister Inv F 350,,,
