id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,,,,,
1120617,1436-10-03,"Mathenesse, van","Willem van Mattenesse, abt van Egmond, heeft van zijn broer Jan Simon, poorter van Sciedam, de andere helft van de pacht van Nieuw Mattenesse gekocht ",Bijdrage Bisdom Haarlem/Cartul Egmundense,,1374-02-28: een eerdere akte over deze pacht,,,,,,
1120618,1438-04-01,"Mathenesse, van",Wouter van Matenesse beleent een erf met twee woningen gelegen in de Boomgaardstraat; 1481-12-06: idem ,"Berigten Hist Gen Utrecht III p 112, 113",getuige: Egbert van Spangen,,,,,,,
1120619,1438-09-08,"Mathenesse, van",Peter Grauwert wordt beleend met 7 morgen land in Amelisweerd die aan zijn vrouw Johanna van Raaphorst in lijftocht worden verzekerd,Berigten Hist Gen III p 112/Arn v Buckel Ms,"getuigen: Willem van Naaldwijk, Wouter van Mathenesse ",,,,,,,
1120620,1439-01-23,"Mathenesse, van",Wouter van Mathenesse en zijn vrouw Durve van Rijn dragen een tiende over te Jutfaas,Berigten Hist Gen III p 112/Arn v Buckel Ms,,,,,,,,
1120621,1439-09-04,"Mathenesse, van",Jan van Mathenesse Woutersz wordt beleend met een woning met 12 morgen land en nog 60 morgen in Voorburg,Navorscher jg 1895 p 635/Reg Philipppus A fol 145,,,,,,,,
1120622,1442-01-06,"Mathenesse, van","heer Willem van Mathenesse, abt van Egmond, schenkt goederen voor een zielmis in de Mariakapel in het klooster Egmond",Bijdrage Bisdom Haarlem/Cartul Egmundense,,,,,,,,
1120623,1442-05-24,"Mathenesse, van",Wouter van Mathenesse verzekert zijn halve huis Riviere en een schuld van 200 schilden tbv van de erfgenamen van zijn vrouw Durf van Rijn,Navorscher jg 1895 p 636/Reg Alpha 1440-1447 Caput Noordholland fol 10,,,,,,,,
1120624,1442-06-26,"Mathenesse, van","een wandelinghe tussen abt Willem van Mattenesse en zijn zwager Claes Durber Jacobsz, van Delf, van 3 morgen land in Maeslant in Ketelambacht, de Waelcamp geheten; verder genoemd: diens zuster Gheertruid weduwe van Jan Simonsz [van Mathenesse] en zijn neef Gooswijn Michielsz",Bijdrage Bisdom Haarlem/Cartul Egmundense,,,,,,,,
1120625,1447-12-23,"Mathenesse, van","hertog Philips geeft Jan van Mathenesse en zijn vrouw in erfpacht het dorp, ambacht en heerlijkheid van Bleiswijk met baljuwschap, schoutambt, herfst en weischot, turfmaet, rosmolen, erfhuur, visserij, tienden en alle toebehoren",Navorscher jg 1895 p 636/Reg Princip 1447-1459 Caput Noordholland fol 5v,,,,,,,,
1120626,1449-02-26,"Mathenesse, van",Dirck van der Does maakt de helft van 12 morgen in Warmond tot lijftocht voor zijn vrouw jvr Lysbeth Adriaensdochter van Matenesse ,"R.A.H. Coll Aanw 102 fol 23v, 24/Navorscher 1895 p 636/Reg Principium cap NH fol 18v",,,,,,,,
1120627,1454-08-14,"Mathenesse, van","uitspraak van het Hof van Holland over de geschillen van wijlen Jan van Mathenesse met Ysbrand van Alkemade, baljuw en dijkgraaf van Schieland, over het bekeuren van die in Bleyswijk gedolven hadden",Navorscher 1895 p 636/Van Mieris Vervolg bl 86/Arch Hoogheemraadschap van Schieland Reg A 8 fol 233,,,,,,,,
1120628,1454-11-13,"Mathenesse, van","Wouter van Mattenes erkent door heer Willem van Boxmeer, ridder, als man en voogd van de weduwe [Gysberta van Raephorst] van heer Gylis van Cralingen, voldaan te zijn van de erfenis, aangekomen aan zijn vrouw Lysbeth bij dode van haar vader heer Gylis van Cralingen",Arch Kerken Leiden regest 232/Arch St Pieterskerk Inv no 198,,,,,,,,
1120629,1458-03-23 (1457),"Mathenesse, van","hertog Philips confirmeert de lijftocht door Anthonis van Cats gemaakt aan Lysbeth van Mathenesse van al zijn tienden en renten in Wolfaertsdijck; 1459-09-23: Jan van Mathenesse wordt beleend met al zijn rechten in Wolfaertsdyck, na opdracht van Anthonis van Cats","Navorscher 1895 p 636/Reg Princip Cap Zeeland fol 31, vel tussen fol 43 en 44",,,,,,,,
1120630,1458-05-19,"Mathenesse, van","stierf Willem Simonsz van Matenesse, abt van Egmond (1377-1458)",Berigten Hist Gen III p 53/Kroniek Egmond Dagregister/Kroniek editie 1732 o 146/Hof: Egmond p 104-110,,,,,,,,
1120631,1460-04-19,"Mathenesse, van",geschil tussen Wouter Anssen als huurman van de Vronen van de graaf van Oostervant te Rotterdam en Wouter van Mathenesse,Navorscher jg 1895 p 636/Reg Vonnissen 1437-1470 fol 127v,,,,,,,,
1120632,1461-12-10,"Mathenesse, van","Willem van der Does wordt na de dood van zijn vader beleend met verschillende goederen, waaraan de lijftocht vermaakt is (1448) aan zijn stiefmoeder Elisabeth van Matenesse ",Berigten Hist Gen III p 113,,,,,,,,
1120633,1466-03-21,"Mathenesse, van",hertog Philips beleent Philips van Mathenesse met het huis te Werve te Voorburg bij dode van zijn vader Jan,Navorscher jg 1893 p 279; Van Mieris Vervolg bl 131,,,,,,,,
1120634,1466-10-27,"Mathenesse, van",Wouter van Mathenesse maakt zijn vrouw Lysbeth van Cralingen 25 £ Holl uit leengoederen tot lijftoch; 1476-07-17: hij maakt tot lijftocht de mindere helft van zijn huis Riviere en enige andere goederen,Navorscher jg 1895 p 637/Reg Et Finis Caput Noordholland fol 28v; Reg Carolus A Caput Noordholland fol 57v,,,,,,,,
1120635,1394,"Mathenesse, van","van den riede tot Schoonreloo: de erfgenamen van heer Danel van Matenesse, in erfhuur",Rek Rentmeester Noordholland fol 31/R.G.P. no 182 p 70,,,,,,,,
1120636,1470-04-24,"Mathenesse, van","erfrente op 4 morgen in de ban van Noortigerhout, tbv Adriaan van Matenesse ",Berigten Hist Gen Utrecht III p 113,"Daniel van Alphen, schout van Lisse",,,,,,,
1120637,1474-07-28,"Mathenesse, van","Jan van Duvenvoorde heeft 6 morgen land in het ambacht van Vlaardingen en in Spaland verkocht aan Adriaan van Matenesse, en verklaart voldaan te zijn",Berigten Hist Gen III p 113,,,,,,,,
1120638,1484-03-10,"Mathenesse, van","Adriaan van Matenesse geeft in erfhuur de helft van een woning en enig land, gelegen in Stompwijc, in het ambacht van Soeterwoude, grenzend aan het land der kapelrie van heer Gerrit van Wassenaer",Berigten Hist Gen III p 113,"getuigen: Huge Hugesz van Zwieten, schout van Soeterwoude, Dirk van Duvenvoorde",,,,,,,
1120639,1485-03-06,"Mathenesse, van","Walraven van Brederode beleent zijn nicht Maria dochter van Jan van Duvenvoorde, vrouw van Adriaan van Matenesse, met een hoeve land gelegen op Lakervelt, genaamd Egbertshoeve met nog 22 morgen (leen van Vianen), belend: Jan van Waal, Otto Pieck, Walraven van Brederode en Stees van Brakel. Gysbert van Beverweerde bracht deze landen over op Jan van Duvenvoirde, na wiens overlijden zij op Maria kwamen",Berigten Hist Gen III p 113,"getuigen: Dirk van Alphen, Jan van Bloemendaal, Jan van Ruemst",,,,,,,
1120640,1486-02-08,"Mathenesse, van",Philips van Mathenesse maakt zijn vrouw Maria van Woude de helft van het huis te Werve tot lijftocht,Navorscher jg 1895 p 637/Reg Max en Philip Caput Noordholland fol 2v,,,,,,,,
1120641,1488-11-04,"Mathenesse, van","Maximiliaan, Rooms koning en Philips aartshertog van Oostenrijk belenen Adriaan van Matenesse na de dood van zijn vader Wouter, met zijn voorvaderlijke goed: - het huis Riviere; - het huis te Spangen met 47 morgen, waarvan Philips van Spangen, ridder, het huis met 27 morgen van Adriaan in leen houdt; - de helft van 9 morgen met een woning te Rotte, Dirkssate van Hoylede genaamd; - 12 morgen land te Reewijk en 3 morgen te Hillegersberg; 1508-01-22 (1507): na dode van zijn vader Adriaan wordt Jan van Matenesse beleend",Berigten Hist. Gen. III p 114,"Gerrit van Abbenbroek, ridder, Anthonis van Eversdijk; 1508: Jan van Duvenvoorde, Willem van Ruvien, Dirk van Boennem, kleine Jan bruin",,,,,,,
1120642,1497,"Mathenesse, van","Adriaan van Mathenesse wordt schadeloos gesteld wegens het houden van een menigte knechten ""staende die oorloghe ende rebellicheyt van Rotterdam""",Navorscher 1895 p 637/Origineel verkocht Catal Muller no 653,,,,,,,,
1120643,1501-08-02,"Mathenesse, van","schout, buurlieden en ambachtsbewaarders van Zevenhuizen geven de dijkboeten in Oud Mathenesse, strekkende van het ambacht van Bleiswijk tot aan de Laansloot, in erfpacht aan Adriaan van Matenesse, tegen een jaarlijkse rente van 17 stuivers",Berigten Hist Gen III p 114,,,,,,,,
1120644,1508-01-22 (1507),"Mathenesse, van","Jan van Mathenesse wordt beleend met een woning te Lisse met 5 morgen(huis Dever) bij dode van zijn grootmoeder Clara Gysbrechtsdochter van Haeften, waarop haar vader woonde; na dode van zijn vader Adriaen van Matenesse beleend met: - het huis te Rivieie, zoals Dirk van Matenesse dat hield; - 47 morgen ter Spangen; - de helft van 9 morgen in Rotten, Dircs sate van Hoijlede; - 12 morgen te Reedwyck; 3 morgen te Hillegersberg",Navorscher jg 1895 bl 637/Reg Princ Regis Castellae NH fol 12v/Craandijk: Zuidholland p 294,,,,,,,,
1120645,1508-11-10,"Mathenesse, van","het St Elysabetten klooster in den Hage heeft ontvangen van Jan van Mathenesse 15 R gld als lijfrente voor Alijt en Marie dochters van Willem van Assendelft, nonnen in genoemd klooster; 1517-03-07: het convent heet 33 R gld als lijfrente ontvan van Marry van Mathenesse voor de nonnen Maritgen en Alyt Willemsdochters van Assendelft; 1522-01-08: 18 R gld van Jan van Matenesse als lijfrente voor Marike Willemsdochter van Assendelft, mater, en non Alyt Willemsdochter van Assendelft","Arch Klooster St Elisabeth regest no 100, 116, 125/Arch Kloosters Delfland p 37, 39, 41",,,,,,,,
1120646,1509-04-17,"Mathenesse, van","Jan van Almonde beleent Jan van Matenesse, na het overlijden van zijn vader Adriaan van Matenesse, met de hofstede van Matenesse, genaamd Dirk Bokels hofstede Uiternesse, gelegen in het ambacht van Matenesse en leenroerig aan de hofstede van Wena",Berigten Hist Gen IV p 114/Orig Arch Nyenrode,,,,,,,,
1120647,1509-06-23,"Mathenesse, van","de abt van St Paulus te Utrecht beleent Jan van Matenesse, na dode van zijn vader Adriaan, met de tienden tussen Scherpendrecht en Louwersloot in het kerspel van Hillegersberg","Berigten Hist Gen IV p 114, 115","Gerrit van Nievelt [van Zuylen van Nyevelt] en Beernd Proys, leenmannen van de abdij",,,,,,,
1120648,1510-07-25,"Mathenesse, van",Jooste van Nyenrode maakt lijftocht aan haar man Willem Torck,Berigten Hist Gen IV p 114,"Bertold van Assendelf, Ysbrand van Schoten, Jacob van Matenesse, Jorden van Raemsdonck",,,,,,,
1120649,1511-09-12,"Mathenesse, van","Jacob van Mathenesse, schildknaap, geeft in erfpacht aan Arys Hendriksz 3 morgen leenland in Voorburg",Navorscher jg 1895 p 637/Reg Princ regis Castellae Caput NH fol 12v,,,,,,,,
1120650,1512-10-09,"Mathenesse, van","Maximiliaan, gekozen keizer en Karel aartshertog van Oostenrijk bevestigen de lijftocht van 100  £ Holl, door Jacob van Matenesse, schildknaap, bij huwelijksvoorwaarden vermaakt aan zijn huisvrouwe Anna van Almonde",Berigten Hist Gen III p 115,,,,,,,,
1120651,1514-07-07,"Mathenesse, van","Jacob van Mathenesse Philipsz is schuldig aan Jacoba van Woude, weduwe van Gysbrecht van Raaphorst, zijn moeye, een jaarlijkse losrente van 2  £ gr Vlaams, besteed tot de professie van zijn zuster te Poel en tot schulden door hem voor zijn huwelijk gemaakt. Hij zegelt bij gebrek van een zegel met dat van zijn zwager Jan van Almonde",Berigten Hist Gen III p 115,,,,,,,,
1120652,1516-04-12,"Mathenesse, van","koning Karel beleent Maria Philipsdochter van Mathenesse bij dode van haar broeders kind Jacob Jacobsz van Mathenesse met het huis te Werve; haar man Jan van Duvenvoorde, Raad van Holland, doet de eed",Navorscher jg 1895 p 637/Reg Princ regis Castellae Caput NH fol 12v,,,,,,,,
1120653,1519-10-08,"Mathenesse, van",koning Karel vergunt Jan van Mathenesse en zijn vrouw Maria van Assendelft om bij testament over hun lenen te disponeren,Navorscher jg 1895 p 637/Reg Zwart Caput NH fol 56v,,,,,,,,
1120654,1520-07-13,"Mathenesse, van","Jan van Mathenesse maakt aan zijn vrouw Maria van Assendelft tot haar lijftocht al zijn land in de Spaanse polder, een woning en 9 morgen land in Hillegersberg, het huis te Riviere",Navorscher jg 1895 p 638/Reg Zwart Caput NH fol 56v,,,,,,,,
1120655,1521-04-14,"Mathenesse, van","losrente tbv Jan van Mathenesse, hoogheemraad van Schieland, oom van Antonis van Amstel van Mynden en voogd van Otgen en Willem, kinderen van Gysbrecht van Tuyl bij wijlen Machteld van Matenesse ",Berigt Hist Gen III p 115,,,,,,,,
1120656,1523-02-11 (1522),"Mathenesse, van","Adriaan van Matenesse wordt beleend, na dode van zijn vader Jan van Matenesse, gehuwd met Marie van Assendelft, met het huis te Riviere, de goederen te Spangen, de helft van Dirkssate van Hoylede en de landerijen te Reewijk en Hillegersberg; Johan van Wassenaar beleent hem met 12 morgen land in het ambacht van Ketel, 4 ½ morgen in de Schiepolder op de Broek in hetzelfde ambacht en 18 morgen in Spadeland",Berigt Hist Gen III p 115,"Jan van Duvenvoorde en Cornelis Bartoutsz Tetrode; Jan van Duvenvoorde, ridder, mr Gerrit van der Mye en Evert de Gras",,,,,,,
1120657,1523-02-11,"Mathenesse, van","Nicolaas van Mathenesse wordt beleend met een woning en 5 morgen te Lisse, na dode van zijn vader Jan",Navorscher jg 1895 p 638/Reg Zwart Caput NH fol 58v; Berigten Hist Gen III p 115,"Jan van Duvenvoorde, ridder, mr Gerrit van der Mye en Evert de Gras",,,,,,,
1120658,1524-01-04,"Mathenesse, van","Adriaan van Matenesse vrijheer van Nieuw Matenesse doet afstand van alle aanwassen, Maas waarts, tbv van de ambachtsbewaarder, heemraden en ingelanden van Nieuw Matenesse, tegen een jaarlijkse uitkering van 10 £ ",Berigt Hist Gen III p 116,zijn neef Jan van Duvenvoorde,,,,,,,
1120659,1524,"Mathenesse, van",Claes van Mathenesse wordt na dode van zijn vader Jan beleend met een woning en land te Lisse (huis Dever),Rep Noordholland fol 4/Craandijk: Zuidholland p 294,,,,,,,,
1120660,1526-01-24,"Mathenesse, van","keizer Karel beleent Mina van Mathenesse, gehuwd met Jan van Duvenvoorde, bij dode van haar moei Jacoba van Woude, met het huis en ambacht van Warmond, het ambacht van Alkemade",Navorscher 1895 p 638/Boek A Cassa I fol 251v,,,,,,,,
1120661,1534-01-26 (1533),"Mathenesse, van","de prelaat van Egmond en mr Pieter Thomasz van Wormer, priester, ter ener en Adriaan van Renesse, domheer te Utrecht en Adriaan van Mathenesse vervangende tezamen Wouter van Matenesse, ter andere zijde, onderwerpen aan de uitspraak van scheidslieden hun verschillen over het patronaatrecht van een kapelrie, gesticht op Onze Vrouwenaltaar in de kerk te Ouderschie",Berigten Hist Gen III p 116/ Navorscher jg 1895 p 638; vgl JJ Dodt: Arch voor Kerk en Wer Gesch V 307,,,,,,,,
1120662,1535-04-24,"Mathenesse, van","vergelijk tussen Adriaan van Matenesse, heemraad van Schieland en burgemeesters en gerecht van de stad Schiedam, over de tapperij binnen hun wederzijdse jurisdicties",Berigten Hist Gen III p 116,,,,,,,,
1120663,1544-01-03,"Mathenesse, van","plakaat van keizer Karel V tegen de uitvoer van vlees, vis, boter en kaas e.d. toegezonden aan Wouter van Matenesse als baljuw van Gooiland en kastelein van Muiden",Berigten Hist Gen III p 116,,,,,,,,
1120664,1544-10-19,"Mathenesse, van",huwelijksvoorwaarden van Nicolaas van Matenesse en Geertruid dochter van wijlen Hendrik Pieck heer van Tienhoven bij Hadewich Wolphaardsdochter van Goor; Nicolaas brengt o.a. ten huwelijk het kasteel te Lisse,"Berigten Hist Gen III p 116, 117/Kroniek Hist Gen dl VIII p 144","huwelijksvrienden: Adriaan van Renesse, scholaster ten Dom, Adriaan heer van Matenesse en zijn broer Wouter, Ot van Asperen en van Vuren [er staat: Buren], Gosen van der Lawick, drost van Buren, Goerd van Erp, ambtman van Beesd en Reinoi; borgen: Willem van Tuyl van Bulkestein en Ot Pieck, broer van Geertruid",,,,,,,
1120665,1546-01-29,"Mathenesse, van","Adriaan van Matenesse getuigt voor het Hof van Utrecht, dat hem een buidel met geld en zegel ontvreemd is, terwijl hij op de straat binnen Utrecht stond te wachten op de keizerlijke majesteit",Berigten Hist Gen III p 117,,,,,,,,
1120666,1548-01-03,"Mathenesse, van","grafstede bij de Minnebroeders te Utrecht op het hoge koor: Adriaan van Matenesse, ridder, Nicolaas en Wouter van Matenesse, zoons van wijlen Marie, dochter van Nicolaas van Assendelft en Aleid Freyse","Berigten Hist Gen III p 117, 119",,zie ook: 1591-01-01/03,,,,,,
1120667,1548-01-04,"Mathenesse, van","leen van Brederode: heer Reinout van Brederode beleent Claas van Mathenesse bij legaat van zijn vader met een stuk land in de ban van Velsen, genaamd de Breesaep; 1557-10-15: leenman van Brederode; 1566-01-24: zijn zoon Jan van Mathenesse wordt beleend met die Bresaep te Velsen",Navorscher jg 1895 p 638/Reg Lenen van Brederode 1531-1567 fol 30v,,,,,,,,
1120668,1549-02-26,"Mathenesse, van","op verzoek van Jan van Mathenesse verklaren voor schepenen van Den Hage, zekere edelen op hun eed als leenmannen van Holland, wat de rechten zijn van een vasal die zijn belening gedaan heeft",Navorscher jg 1895 p 638/Noord-Brabant Inv Charters no 491,,,,,,,,
1120669,1548-09-10,"Mathenesse, van","Adriaen van Mathenesse, hoogheemraad van Schieland",Grote Raad Mechelen Beroepen Holland dl I dossier 72/10,,,,,,,,
1120670,1551-09-26,"Mathenesse, van",op 1546-05-04 omtrent die brugge van Muiden Wouter van Mathenesse door de oudste burgemeester van Muiden beedigd dat hij de privileges van het Gooi zou handhaven; 1552: baljuw van Gooiland,Grote Raad Mechelen Beroepen Holland dl V dossier 489,,,,,,,,
1120671,1550-04-16,"Mathenesse, van","voor leenmannen van Holland vestigt David van Schoten tbv Maria van Mathenesse Adriaansdochter, een rente van 18 Kar gld op de hofstede in Rolland",Navorscher jg 1895 p 638/het Roode Reg Cap Kennemerland fol 4v,,,,,,,,
1120672,1553-10-08,"Mathenesse, van","losrente tbv Marie van Matenesse, weduwe van Jan van Duvenvoorde, ridder, heer van Warmond",Berigten Hist Gen III p 117,,,,,,,,
1120673,1554-02-17,"Mathenesse, van","geding in de zaak van Hendrik Cneesinck contra Maria van Mathenesse vrouwe van Warmond, over zeker perceel leengoed in Voorburg",Navorscher jg 1895 p 639/Reg 1552 fol 80,,,,,,,,
1120674,1557-03-20,"Mathenesse, van",koning Philips beleent Jan van Mathenesse bij dode van zijn vader Adriaen met het huis te Riviere,Navorscher jg 1895 p 639/Reg Conf Anglonem Cap NH fol 51,,,,,,,,
1120675,1557-04-15,"Mathenesse, van","testament van Adriaen van Mathenesse, ridder, vader van Jan, Gijsbrecht, Joost, Adriaan en Maria en van natuurlijke kinderen",Berigten Hist Gen III p 117,,,,,,,,
1120676,1558-03-31,"Mathenesse, van","Jacob van Almonde beleent Jan van Matenesse, na het overlijden van zijn vader Adriaan van Matenesse, met de hofstede van Matenesse, genaamd Dirk Boekelshofstede Uiternesse, gelegen in het ambacht van Matenesse en leenroerig aan de hofstede van Wena",Berigten Hist Gen III p 117,"Jacob Pynssen heer van Offen, zwager en Jan van Renesse van Moermond, leenmannen van Holland",,,,,,,
1120677,1559-11-21,"Mathenesse, van","leen van Amstel: no 45) Jan van Mathenesse doet hulde voor zijn neef Antonis van Duvenvoorde, bij diens belening met 16 £ per jaar uit de zwijnsbede te Weesp en Weesperkarspel",Ons Voorgeslacht 09-1988 p 377,,,,,,,,
1120678,1561-01-29,"Mathenesse, van","Maria Dever van Minnen, weduwe van Joost de bastaard van Brederode, doet afstand van het patronaatrecht van een kapelrie in de kerk te Alkmaar, tbv Johan van Matenesse",Berigten Hist Gen III p 117,,,,,,,,
1120679,1563-05-29,"Mathenesse, van","Johan Frutiers verzekert als man en voogd van Johanna van Coulster aan Johan van Matenesse [Nicolaasz, zijn zwager ?] de koop van alle goederen die Johanna van Coulster aangekomen mochten zijn van Johan van Coulster, priester te Keulen",Berigten Hist Gen III p 118,,,,,,,,
1120680,1565-04-02,"Mathenesse, van","octrooi om te testeren voor Johan van Mathenesse, zoon van wijlen Nicolaas van Mathenesse, wonende te Lisse",Berigten Hist Gen III p 119,,,,,,,,
1120681,1565-04-09,"Mathenesse, van","overeenkomst tussen Johan, Gysbrecht, Adriaan en Maria aangaande rentebrieven en obligatien van wijlen Adriaan van Matenesse, ridder, en wijlen Adriana van Duvenvoorde, hun ouders",Berigten Hist Gen III p 119,,,,,,,,
1120682,1565,"Mathenesse, van",Jan van Mathenesse wordt beleend met een woning te Lisse met 5 morgen (huis Dever) bij dode van zijn vader Claes,Repert Noordholland fol 4/Craandijk p 294 ZH,,,,,,,,
1120683,1566-10-24,"Mathenesse, van","Arnt van Bonenberch genaamd Hoensteyn Greve tot Ubbergen maakt lijftocht aan zijn vrouw jvr Maria van Matenesse, genaamd van Bretten aan zijn leengoed o.a. het huis te Ubbergen",Ned Leeuw jg 1921 p 376/A.R.A. Cuykse Leenboeken,,"1590: haar broer Johan maakt genealogie waarin hij afstamt van het huis van Bretten, buiten Catwijck in de zee",,,,,,
1120684,1582-02-10,"Mathenesse, van","Johan van Matenesse, zijn broer Gysbrecht, Johan van Matenesse van Lisse Nicolaasz en Nicolaas van Matenesse van Wibisma Jansz kopen land gelegen in Robbenoord",Berigten Hist Gen III p 119,,,,,,,,
1120685,1584-12-09,"Mathenesse, van","Maria van Matenesse, weduwe van Jan van Schagen, draagt de helft van 23 morgen in de Hillen onder Charlois over aan Johan van Matenesse van Lisse, Nicolaasz",Berigten Hist Gen III p 119,,,,,,,,
1120686,1584,"Mathenesse, van","Adrianus van Mathenesse, Hagae comitis, studeert te Orleans",Bijdr Hist Gen Utrecht dl 34 p 333,,,,,,,,
1120687,1587,"Mathenesse, van",de Procureur Generaal contra Johan van Mathenesse en Abraham van Almonde,"A.R.A. J.A. Jaeger hs 3e afd p 6, 7",,,,,,,,
1120688,1588-08-15,"Mathenesse, van",commissie tot Raad van State voor Johan van Matenesse heer van Riviere; 1588-10-11: eed; 1596-05 en 1598-05-05: idem,Berigten Hist Gen III p 119,,,,,,,,
1120689,1589-03-03,"Mathenesse, van","prebende in de Dom te Utrecht voor Johan van Matenesse, zoon van Johan van Matenesse heer van Opmeer",Berigten Hist Gen III p 119,,,,,,,,
1120690,1594-08-03,"Mathenesse, van",huwelijksvoorwaarden van Adriaan van Matenesse en Odilia van Aeswijn; ouders: Reinard heer van Brakel en Sterkenburg en Mechteld van Yzendoorn;  Adriaan brengt ten huwelijk o.a. de heerlijkheid Opmeer,Berigten Hist Gen III p 119,"huwelijksvrienden: vader Johan heer van Matenesse, Riviere, Opmeer; oom Gysbert van Matenesse; oom Ysbrand van Merode heer van Soeterwoude, Stompwijk; neef Johan van Matenesse heer van Lisse,  ter ener- en vader Reinhard van Aeswijn, heer van Brakel en Sterkenburg, vader; oom Arnold van Aeswijn heer van Ruwiel; oom Floris van den Bongard, heer van Nyenrode, Ter Lucht; neef Gysbert de Cock heer van Clingelenburg,  ter ander zijde; getuige: oom Arnold van Aeswijn heer van Ruwiel",,,,,,,
1120691,1598-10-13,"Mathenesse, van",huwelijksvoorwaarden van Karel van Matenesse en Johanna Pieck,Berigten Hist Gen III p 120,"huwelijksvrienden: vader Johan van Matenesse, vader,broer Adriaan van Matenesse, heer van Opmeer, oom Gysbrecht van Matenesse, neef Johan van Matenesse, heer van Lisse, ter ener en broer Hendrick Pieck heer van Giessen, oom Gysbrecht Pieck, oom Amelis van Boekhorst, Raad in Holland, neef Johan van Matenesse, heer van Lisse,  ter andere zijde",,,,,,,
1120692,1598-11-12,"Mathenesse, van",testament van Gysbrecht van Matenesse: als universeel erfgenaam Johan van Matenesse enig kind van Adriaan van Matenesse en Odilia van Aeswijn; met legaten,Berigten Hist Gen III p 120,,,,,,,,
1120693,1599-12-31,"Mathenesse, van","grafelijk leen in Rijnland: no 211) het goed Wilnesse te Lisse groot 4 morgen 4 hont en 40 roeden, afslag door de Haarlemmermeer, Johan van Mathenesse Claesz, ambachtsheer van Lisse krijgt de 6 morgen [!] en eigen in ruil voor leen no 200)",Ons Voorgeslacht 07-1988 p 339,,,,,,,,
1120694,1599,Mathenes,mr Gijsbert Matenes bezit 2 morgen 228 roeden 51 voeten hoog land te Overveen; 1628-05-08: de erfgenamen van Matenes (kinderen) belend van een huis en 2 ½ morgen land te Tetrode,Caartboek Bloemendaal fol 35,,zie ook op: van Tenesse,,,,,,
1120695,1600-01-22,"Mathenesse, van","Johan van Mathenesse, enig kind van Adriaen en Odilia van Aeswijn wordt door het Duitse huis beleend met de erfpacht van land te Alphen, volgens testament van wijlen Gijsbrecht van Mathenesse",Berigten Hist Gen III p 121,,,,,,,,
1120696,1600-11-03,"Mathenesse, van","huwelijksintekening Amsterdam: Jacob Gysbertsz van Matenes, oud 29 jaar, van Utrecht, wonende in de Warmoesstraat te Amsterdam met zijn moeders consent met Mariken Goossens ter Lauw van Gorinchem, met consent van haar vader Goossen Jacobsz ter Lau",G.A.Amsterdam DTB Puy,,,,,,,,
1120697,1601-06-01,"Mathenesse, van","Karel van Matenesse, baljuw, ruwaard en dijkgraaf van Putten pacht de civiele boeten van het baljuwschap van Putten en een aantal schoutambacht tegen een jaarlijks 160 £; verlengd: 1604-12-09, 1610-06-05, 1616-03-28, 1625-05-26",Berigten Hist Gen III p 121,,,,,,,,
1120698,1601-07-10,"Mathenesse, van","huwelijksvoorwaarden van Willem van Matenesse, zoon van Johan en Florentina van Culemborg, met Maria Manninga, dochter van wijlen Luyert Manninga en Emerentiana Sonoy",Berigten Hist Gen III p 121,"huwelijksvrienden: Johan van Matenesse, Adriaan van Matenesse en Dominicus Botwijn, Eilco Elandt",,,,,,,
1120699,1607-05-12,"Mathenesse, van",commissie tot Raad ter admiraliteit binnen Amsterdam voor Willem an Matenesse heer van Rascart; tot Raad van State: Adriaen van Matenesse; 1609-06-12: Johan van Matenesse aangesteld tot deken van de Dom te Utrecht; 1609-08-13: idem commissie tot proost van Leiden,Berigten Hist Gen III p 121,,origineel met handtekening van prins Maurits ,,,,,,
1120700,1611-04-20,"Mathenesse, van","Johan van Matenesse Nicolaasz ambachtsheer van Giesen wordt beleend met de ambachtsheerlijkheid van Lisse, bij opdracht van wijlen jhr Francois de Viri, houtvester van Holland; idem beleend met de hofstad het Zand met 10 morgen land en de vrije heerlijkheid van de Wenaard met nog drie percelen van de Inschiet, alles onder Giesen","Berigten Hist Gen III p 121, 122",,,,,,,,
1120701,1616-06-07,"Mathenesse, van","commissie voor Adriaan van Matenesse heer van Riviere, Opmeer, Cornelis Frans Wittensz en Hendrik van Berckenrode tot terugontvangst van den Briel met beide forten en verder toebehoren, verpand aan de Kroon van Groot-Brittanje",Berigten Hist Gen III p 122,,,,,,,,
1120702,1618,"Mathenesse, van",Jan Davidsz van Mathenesse vraagt aan de Staten van Holland venia aetatis,Index J.A. Jaeger p 56,,,,,,,,
1120703,1619-07-24,"Mathenesse, van",Adriaan van Matenesse wordt beleend met de hoge en lage heerlijkheid van Opmeer na dode van zijn moeder Florentina van Culenborg,Berigten Hist Gen III p 122,,,,,,,,
1120704,1620-08-25,"Mathenesse, van","boedelscheiding van wijlen Johan van Matenesse, wijlen Florentina van Culemborg, en wijlen Johan van Matenesse, Domdeken te Utrecht: tussen hun kinderen, broers en zuster: Adriaan, Karel, Willem, en Herman Valkenaar heer van Duikenburg als man van Margaretha van Matenesse",Berigten Hist Gen III p 122,,,,,,,,
1120705,1621-08-02,"Mathenesse, van","kwijting van een huizing op het Rapenburg binnen Leiden, tbv Willem van Matenesse heer van Rascart, afkomstig uit de nalatenschap van zijn moeder Florentina van Culemborg",Berigten Hist Gen III p 122,,,,,,,,
