nummer,datum,plaats,verkoper,koper,omschrijving,belending,bron,opmerkingen,,
5010181, ± 1550(3),"Heemskerk, Evertscamp",,,"de Heilige Geest te Haarlem bezit in Heemskerk ½ van een stucke lants geheten Evertscamp, gecoft van Huych Claesz anno 1431, gelegen an t veer van Assum als men nae Uytgeest vaert. Dit lant was gemeen met jhr Cornelis heer van Assendelft en mr Willem Bardesius       ",,Archief Heilige Geest Haarlem~  ,,,
5010182,1558-04-30,"Heemskerk, de Santven",Het wolleweversgilde te Haarlem,de gasthuismeesters van St Elisabethsgasthuis te Haarlem  ,"""t oostent van de Santven"", groot 1 morgen, gebruict door Henric Jansz, buurman te Heemskerk",,"Archief Grote Gasthuis te Haarlem, no 21/5 ","V 81,82 deel  ",,
5010183,1557-12-04,"Heemskerk, Rietwijc",,,"testament van Maria Dever van Minnen, weduwe Joost de bastaard van Brederode: aan haar neef Joost van Mathenesse legateert zij haar hofstede te Heemskerk  ",,Archief Mathenesse,V1,,
5010184,1559-07-21,"Heemskerk, die Santvenne","Namme Claesz, kistemaker te Haarlem als legataris van Janne Stevensdochter ",St Elisabethsgasthuis te Haarlem,"1 gouden Keurv gld erfpacht op een stuk land geheten ""die Santvenne"", zoals de doorgestoken brief dd 1539-05-29 inhoudt ",,Archief Grote Gasthuis Haarlem no 38 I no 222,,,
5010185,1544-05-25,"Wyk aan Zee, in Keylsgeers",,,"bezittingen van de commandeur van Sint Jan te Haarlem: no 13) onder Wyk op Zee, bruict Dirc Florisz voor 21 st per jaar, ½ geers land in Keylgeers, toebehorende aan de kinderen van Baertgen Floris Dircsz weduwe  ","noord: Pieter Claesz, rentmeester; zuidwest: Albert van Egmont, casteleyn; noordwest: Baertgen Floris Dircsz erfgenamen ",Cartul St Jan,,,
5010186,1501-02-08,Heemskerk,Jan uten Haghe,commandeur van St Jan te Haarlem,"½ van ""Claes die Vriesencamp"" gelegen achter het huis van Heemskerk",noord: Symon Gijssencamp; oost: Jan Govertsz; zuid: Pieter Garbrantsz kinderen; west: Jan Banninck,Cartul St Jan , ,,
5010187,1501-10-23,Heemskerk,Willem Claesz  ,commandeur van St Jan te Haarlem,"een stuk land gelegen an de Hem, groot 3 geers",noord: Gheryt van Nuwendam; oost: de Hem; zuid: de [Noord] Maedweg; west: de abt van Egmond,Cartul St Jan,,,
5010188,1502-05-14,Heemskerk,commandeur van St Jan te Haarlem,Katryn Willemsdochter,"koopt voor 50 R gld een eeuwelike rente van 5 R gld en 3 ½ st per jaar, te weten 3 R gld per jaar uit 3 geersen weiland, die Willem Claesz bruict      ",,Cartul St Jan,,,
5010189,1502-10-18,Heemskerk,"Andries Claesz, schout van Heemskerk",de commandeur van St Jan te Haarlem,3 achtendeel rogsading,noord: Katheryn Claesz; oost: Gheryt Claes Gherytsz; zuid: die commandeur van St Jan; west: die grote Houtweg  ,Cartul St Jan,,,
5010190,1502-08-27,Heemskerk,Jan Arisz,de commandeur van St Jan,"3 stucken land, groot ± 2 ½ rogsadinge, gelegen in een croft an die Houtweg ",noord: Dive Claes Brouwersweduwe; oost: Geryt Willem Claesz; zuid: de abt van Egmond; west: de Houtwech   ,Cartul St Jan,,,
5010191,1506-07-06,Heemskerk,Cornelis Jansz,die commandeur van St Jan te Haarlem ,een stuk land,oost: Jan Dircsz; zuid: de commandeur van St Jan; west: die luttic Zie  ,Cartul St Jan,,,
5010192,1507-01-14,Heemskerk,de commandeur van St Jan te Haarlem ,"Jan van der Craeck, poorter van Haarlem","een losrente van 24 R gld per jaar, losbaar met 360 R gld onderpand: 30 R gld aan een stuk land te Heemskerk; bruiken Dirc Willemsz kinderen ",,Cartul St Jan,,,
5010193,1508-02-04,Heemskerk,Gheryt Willemsz,de commandeur van St Jan te Haarlem ,een werff lants,noord: de commandeur van St Jan; oost: de wech; zuid: Dirck Woutersz; west: de Schoubeek   ,Cartul St Jan,,,
5010194,1508-02-04,Heemskerk,Garbrant Bartholomeusz,de commandeur van St Jan te Haarlem,een strenchtgen lants,noord: de commandeur van St Jan; oost: Garbrant Bartholomeusz; de commandeur van St Jan; west: de Houtweg  ,Cartul St Jan,,,
5010195,1510-10-21,Heemskerk,Jan Jansz,de commandeur van St Jan te Haarlem,"een croft lants leggende in Wateracker, daer jaerlics uitgaet 5 st aelmisgoet van een acker gelegen an die NZ ",noord: de vrouwe van Assendelft met Willem Kerstensz; oost: die Scoubeek; zuid: die pastoor van Heemskerk; west: die Houtweg   ,Cartul St Jan,,,
5010196,1568-05-13,Heemskerk,"Hilgond Jansdochter, weduwe Simon Jansz, custos ",Willem van Wou [voor de commandeur van St Jan?] ,"2 ackeren zaetland, door Simon vroeger gekocht van Wouter Cornelisz  ",,Cartul St Jan,,,
5010197,1520-06-22,Heemskerk,"Margriet Geryt Florysz weduwe, met Arys Arisz, haar vader ",commandeur van St Jan te Haarlem,3 achgelen rogsading; Margriet huurt dit land vervolgens voor 2 R gld per jaar,noord: Joost Symonsz; zuid: Marytgen Louwen,Cartul St Jan,,,
5010198,1544-05-25,Heemskerk,,,"bezittingen van de commandeur van Sint Jan te Heemskerk ½ geers hooiland, gemeen met Pieter Gerritsz, gelegen in de Hem bij de Noortmade; bruict Laurens Aelbertsz per jaar voor 10 st     ",noord: Heynrich Bartholomeusz kinderen; oost: de heer van Assendelft ?; zuid: Hesselscamp; west: de heer van Assendelft ?,Cartul St Jan,III 25,,
5010199,1544-05-25,Heemskerk ?,,,"bezittingen van St Jan te Haarlem, onder Heem(…?), rente van 5 st en 4 d pacht op een gheers lants in die Noordbroeck; deze geers behoort heer Adriaen van Egmond  toe ",noord: die Maedtmaech; oost: heer Adriaen van Egmond; west: Geryt Jacobsz    ,Cartul St Jan,III 26?,,
5010200,1544-05-25,Heemskerk,,,"bezittingen van de commandeur van St Jan: een acker genoemt ""den Hooftacker"", op welke t kerkpat van de Hoogdorpers leijt; bruict Maritgen Dirc Lourens Martens weduwe per jaar voor 24 st    ",noord en oost: t beeck genaemt Zuijtergat; zuidoost: die commandeur van st Jan; west: Laurens Martensz   ,Cartul St Jan,VII 6,,
5010201,1500-07-04,Heemskerk,"Andries Claesz, schout van Heemskerk",jfr Jan Jan Willemsz weduwe ,"4 werven lants verhuurd aan Walich Jacobsz en Willem Claesz, 2 jaar lang voor 8 R gld per jaar  ",noord: Rissent Florijs Maertsz dochter; oost: die Oosterwech; zuid: Katherijn Willem Claesz weduwe; west: t Hoechackerspat met die Scoubeek    ,Cartul St Jan,VII 6,,
5010202,1534-05-29,"Heemskerk, in Santvennen",,,"Janne Steven Taeijen dochter, bagijn op den Groten Hof te Haerlem wordt volgens arbitrale uitspraak gehandhaafd in het bezit van een koeganck die zij en haar ouders bezeten hebben in een stuk land gelegen in ""die Santvennen"", toebehorende het altaar van het Heilig Kruis in de Gasthuiskerk te Haarlem waarover nu het wolleweversgilde de administratie en het bewind heeft         ",,Archief Grote Gasthuis te Haarlem; inv 381 no 221  ,V 81 en 82,,
5010203,1564/1565,Heemskerk,,,"rechtsgeding tussen Johan van Mathenesse en Warner van der Does (door wijlen Marie Dever van Minnen weduwe Joost de bastaard van Brederode vermaakt aan Joost van Mathenesse, huizinge en hofstede met toebehoren)     ",,Kroniek Hist Gen jg 1852 p 285/Archief Mathenesse  ,V1 ,,
5010204,1565-01-03,"Heemskerk, Cuypersven",,,"koning Philips beleent jhr Jan heer van Mathenesse na dode van zijn nicht Marie van Minnen, met 14 geersen land (makende 3 geersen 1 morgen), genaamd ""Cuyperven""   ","noord: Joost Utenhage kint, oost: dat gemeen land, west: Frans Velserman, zuid: Jan Raet      ",Inv Charters van der Does Regest 81,IV 118,,
5010205,1520-01-31,Heemskerk,,,"Jacob van Egmond geeft met zijn dochter Machteld, non in genoemd klooster, aan het Zijlklooster te Haarlem een croft lants gelegen in de ban van Heemskerk an duyn     ",noord: het gasthuijs tot Wyk op Zee; oost: die cleyne Zee (een beeck); zuid: Geryt Dirksz; west: die grote Zee (een beeck)   ,Cartul Zijlklooster,XI,,
5010206,1537-11-29,Heemskerk,"Louris Claes Philipsz, poorter van Beverwijk  ",commandeur van St Jan te Haarlem,"een camptgen lants, groot ± 3 geersen   ",noord: Allert Gerritsz; oost: Breetwe(er); zuid: mr Claes Hilbrantsz tot Amsterdam; west: die Reguliers tot Beverwyk   ,Arch St Jan,,,
5010207,1537-01-26,Heemskerk,,,Cornelis Gheitsz stelt tot onderpand een acker of hove lants ,noordoost: Willem van Ruyven; noordwest: Symon Claesz; zuidoost: die beke; zuidwest: Claes Pietersz ,Cartul Assumburg ,,,
5010208,1537-01-26,Heemskerk,"Cornelis Gherytsz, wonende op t Hoflant ",heer Gheryt van Assendelft,2 ¼ mad,noord: de commandeur; oost: een water genoemd Die; zuid: Joost Jansz en Dirck Woutersz; west: de commandeur  ,Cartul Assumburg,,,
5010209,1537-01-26,Heemskerk,"Cornelis Gherytsz, wonende op t Hoflant ",heer Gheryt van Assendelft,½ madt lants,noord: land gebruijct door Adriaen Hillebrantsz; oost: die Sed; zuid: de erfgenamen van Pieter Henricksz; west: de commandeur tot Haerlem    ,Cartul Assumburg,,,
5010210,1536-12-22,Heemskerk,,,"Gerrit van Assendelft draagt over aan de papelike prove van Castricum 2 ackeren zaadlants, groot vier achtendeel rogsading gekomen van Foekel Pietersdochter van Wyck op Zee; bruict Willem Lambrechtsz voor 4 Kar gld per jaar   ",,Cartul Assumburg,,,
5010211,1536-12-22,Heemskerk,,,Gerrit van Assendelft draagt over aan de papelike prove van Castricum vier achtendeel rogsadinge gekomen van Foekel Pietersdochter van Wyk op Zee; bruict Claes Dircsz voor 3 ½ K gld per jaar       ,,Cartul Assumburg,,,
5010212,1536-12-22,Heemskerk,,,Gerrit van Assendelft draagt over aan de papelike prove van Castricum een stuk land geheten Pouwels thuijne en voertijts gecomen van Willem Korstensz; bruiker nu: Floris Govertsz voor 4 Kar gld per jaar         ,,Cartul Assumburg,,,
5010213,1536-04-03,Heemskerk,,,"de Heilige Geestmeesters te Haarlem lossen Gerrit Willemsz van Heemskerk af de erfrente die hij had op de hofstede en landen gelegen tot Heemskerk, geheten Willem Claesz hofstede, die  Doede Gysbertsz nu ter tijd gebruict en voorts op alle andere goederen van wijlen Frederic Pouwelsz         ",,Cartul Heilige Geest Haerlem fol 51,,,
5010214,1536-02-25,Heemskerk,"Pieter Jansz, poorter van Haerlem ",de Heilige Geestmeesters te Haerlem,"½ van een acker land, waarvan aan de Heilige Geest de wederhelft toebehoort  ",noord: Jan Stevendochter; oost: de Oosterwech; zuid: Dirc Gheritsz en Splinter Ysbrantsz; west: de Kerkweg   ,Cartul Heilige Geest Haerlem ,,,
5010215,1535-03-27,"Heemskerk, Evertscamp",Bouwen Willem Kerstensz.z,heer Gerrit van Assendelft ,¼ deel van den Evertscamp,noord: het veer; oost: Wouter Dircsz Otterdyck; zuid: Cleyn Evertscamp; west: die watering    ,,,,
5010216,1557-02-03~,Heemskerk,"Pieter Jacobsz, buurman te Heemskerk","Jan Simonsz, wonende op t huijs Assumburch",[onleesbaar] ... een huijs en werf belast met 5 hoenderen als cijnse van de heer van Sevenbergen en nog 5 st voor de papelijke prove ,noord: Heyndrick Florisz; oost: Ysbrant Ysbrantsz en Tinne Pelgrimsz wever; zuid en west: de gemene wech,O.R.A. no 275 fol 2,,,
5010217,1557-05-23~,Heemskerk,"Jacop Gijsbertsz, poorter van Haerlem","Lambert Willemsz, buyrman tot Eemskerck  ",3 geerse paerdelants,noord: des Con Majesteit zaedt; oost: de commandeur van St Jan te Haarlem; zuid: de memorie tot Haarlem; west: des Con Maj zaedt   ,O.R.A. no 275 fol 3,,,
5010218,1557-07-10,Heemskerk,Brechte Willem Jacops weduwe met haar broer Louris Gijsbertsz als voogd,"Dirck Jan Hermansz, buurman  ","2 acker zaedlandts, aen die duijn",noord: Dirck Jan Hermansz; oost: die groete Zijl; zuid: Huijbert Pietersz; west: die Scouheyninck   ,O.R.A. no 275 fol 4 ,,,
5010219,1558-01-17,"Heemskerk, in Hartmaede","Jan Raet ⅛, Dirck Jacopsz de Vries met Steffen Dircsz als man van Guerte Jacobsdochter samen ⅛, Cesar Bouelis ⅛; Aelbert Claesz ⅛, Josyne van Merwen ⅛, Anna Engbrechtsdochter ⅛, Agniese Claesdochter ⅛, Ermtgen Jansdochter bagijn te Haerlem ⅛, met Dirck Heynricsz als voogd     ",Cornelis Dirck Lubbrantsz te Castricum  ,"½ van 6 maden in Hardtmaede; in margine: ""dat lant in die Noertmade""; met de schout bezegeld door Aelbert Claesz Raedt, clericus te Haerlem",noord: de bansceijding van Castricum; oost: de commandeur van St Jan te Haarlem c.s; zuid: Willem Luddolfsz van Wyck op Zee; west: Frans Dircsz    ,O.R.A. no 275 fol 6/7,,,
5010220,1558-01-17,Heemskerk,"Jan Raet ⅛, Dirck Jacopsz de Vries met Steffen Dircsz als man van Guerte Jacobsdochter samen ⅛, Cesar Bouelis ⅛; Aelbert Claesz ⅛, Josyne van Merwen ⅛, Anna Engbrechtsdochter ⅛, Agniese Claesdochter ⅛, Ermtgen Jansdochter bagijn te Haerlem ⅛, met Dirck Heynricsz als voogd     ",Cornelis Dirck Lubbrantsz te Castricum  ,"een campe lants groot omtrent 3 geersen; in margine: ""dat land in die Noertmade""   ",noord: Staescamp; oost: Cornelis Gerritsz; zuid: die Maedtwech; west: die Reguliers ut die Beverwyc    ,O.R.A. no 275 fol 6/7,,,
5010221,1558-01-17,"Heemskerk, in Watercamp","Jan Raet ⅛, Dirck Jacopsz de Vries met Steffen Dircsz als man van Guerte Jacobsdochter samen ⅛, Cesar Bouelis ⅛; Aelbert Claesz ⅛, Josijne van Merwen ⅛, Anna Engbrechtsdochter ⅛, Agniese Claesdochter ⅛, Ermtgen Jansdochter bagijn te Haerlem ⅛, met Dirck Heynricsz als voogd     ",Cornelis Dirck Lubbrantsz te Castricum  ,"½ van 6 geersen in Watercamp; in margine: ""dat lant in die Noertmade""; met de schout zegelt Albert Claesz Raedt, clericus te Haerlem    ",noord: de erfgenamen van Claes Pietersz van Wyck op Zee; oost: Aeriaen Gerritsz; zuid: die joffrouwe van Rewijck; west: die cleyne Hoffcamp     ,O.R.A. no 275 fol 6/7,,,
5010222,1560-06-10,Heemskerk,Aris Maertsz en Cornelis Gerritsz  ,Dirck Baertsz,een huis en erf in die Keckbuijrt,noord: seeckere cappelrij goeden met Symon Gysbertsz; oost: Aris Maertsz; zuid en west: die gemeen wech  ,O.R.A. no 275 fol 40,,,
5010223,1560-08-03,"Heemskerk, de Bree acker","Geleyn Dircksz, Maerten Claesz, Gerrit Claesz, als vervangende alle die andere medeconsorten van wijlen Aechte Florisdochter   ","Gerrit Cornelisz, buerman ","2 ackeren zaedtlants genaempt ""die Breeacker"" met dat Zonal endt ende daer loept duer een gemeen nodtwech",noord: Willem Pietersz tot Amsterdam; oost: Keilsgers; zuid: Kijvers zaet; west: die Hoechdorperswech   ,O.R.A. no 275 fol 36,,,
5010224,1560-08-04,"Heemskerk, de Lange Croft","Maritgen Claes Znijers weduwe tot Velsen met Claes Engelsz, haar voogd     ","Ariaen Dircsz, van Wyck op Zee ","een acker lants aen duijn in die Langhe Croft, 479 roeden",noord: Ariaen Dircsz; oost: de grote Houdweg; zuid: Ariaen Dircsz; west: die cleine Houdweg     ,O.R.A. no 275 fol 36,1561 XII 4,,
5010225,1560-11-13,Heemskerk,Pieter Gerrit Jacops,Aelbert Dircsz,"een huijs, werve, met alle zijne gepoet ende geplandt staende ende leggende in die wildernissevan mijn heer van Zevenberghen, belast met een cijns van 1 st; mits daer noch lie een ander zaedtlandts",noord: St Jacopsgilde tot Haerlem; oost: die groete Zije; zuid: heer Rijck Pouwelsz van Amsterdam; west: Jan Gerritsz Horn  ,O.R.A. no 275 fol 44,1561 XIII 1,,
5010226,1560-12-19,Heemskerk,Maritgen Claes Costersweduwe met haar vader Louris Heyndricsz  als voogd en Cornelis Dircsz alias Mondt als voogd van de kinderen van wijlen Claes Dircsz      ,Jan Willemsz,"een huijs, werve, met alle gepoet ende geplandt met noch een crofte zaedt lant daar achter dat voerschreven huijs gelegen, an het zuijdeinde van die Kerckbuert   ",noord: die Kerckbuijrt met dat kerckhof en de Kerckbeeck; oost: die gemeen Oesterwech; zuid: die pastoer van Eemskerk; west: die Wyckwech ,O.R.A. no 275 fol 45,,,
5010227,1560-12-20,Heemskerk,"Willem Willemsz voor hemzelf en als voogd van zijn zuster Guert, met Jacop Hillebrantsz  ",Louris Gyssen en Cornelis Gyssen,¼ deel van een vrije acker,noord: die pastoor van Eemskerk; oost: de Houdtwech; zuid: Joris Jansz; west: de broers Dirck en Claes Orlewijns,O.R.A. no 275 fol 46,,,
5010228,1560-12-28,Heemskerk,"1) Cornelis Jan Hugensz als man en voogd van Aelbert Pietersdochter en 2) Symon Jansz, custos,als voogd van de jonge kinderen van wijlen Floris Jansz    ",Dirck Pietersz ,"2 ackeren lants, belast met 12 st per jaar voor de armen en voor de pastoor van Heemskerk 7 ½ st ",noord: Gysbert van Zwieten tot Leyden; oost: die Wijckwech; zuid: de erfgenamen van Cornelis Heynricsz; west: die weduwe Wouter Claesz   ,O.R.A. no 275 fol 46,,,
5010229,1561-01-08,Heemskerk,"Cornelis Jan Hugensz en Simon Jansz, custos ",de voogden van Frederick Jansz kinderen,een crofte landts,noord: die Wyckwech; oost: Jan Willem Arijsz; zuid: de Kuijckersweduwe; west: de weduwe van Wouter Claesz    ,O.R.A. no 275 fol 47,,,
5010230,1561-02-01,"Heemskerk, het Zuegevelt","Heynrick Willemsz de Rood met Baertout Heyndricsz , beide poorters van Haarlem (in margine: Henrick den Abt met Bertout, zijn zwager) ","mr Cristiaen de Waerdt, Raedt en mr van de requesten van de Grote Raad residerende tot Mechelen  ","½ van een stucke lants genaempt ""dat Zuegevelt"", met die gedolven ackers ende hoge stell metten annecxen ende dependencien van dien","noord: Jan Willemsz; oost: de erfgenamen van Jan Raedt; zuid: t huijs t Heemskerck; west: ""Wyvenven"" ",O.R.A. no 275 fol 48,1561: V 61,,
5010231,1561-12-14,Heemskerk,Aelbert Pietersz van Scilpen ,"Loutgen jonge Willemen, Jan Gerritsz, Hilgundt Gerrits dochter en Huijch Heyndricksz (in margine: erfgenamen van Gerrit Jan Hughensz)",2 ackeren zaedtlants groot 2 achgelen zaeijns,noord: de commandeur van St Jan tot Haerlem; oost: de Cleyne Houdtwech; zuid: Louris Gysbertsz; west: Jan Willemsz en de commandeur voorschreven   ,O.R.A. no 275 fol 52,,,
5010232,1562-05-31 < ,"Heemskerk, in die Wollenaer","Joest Jansz, wonende tot Haerlem","Joris Fransz, poorter ut die Wyck ","een acker met een endt laechs gelegen in die Wollenaer [1042 roeden], belast met 20 st voor de pastoor van Eemskerk",noord: Cornelis Fransz en die Reguliers ut die Wyck; oost: de commandeur van St Jan; zuid en west: die commandeur van St Jan    ,O.R.A. no 275 fol 55,XI 47,,
5010233,1562-05-31 ± ,"Heemskerk, in die Wollenaer","Joris Fransz, poorter ut die Wyck (door hem gekocht vóór 1562-05-31)",Dirck Jansz  [Batten],"een acker met een endt laechs gelegen in die Wollenaer [1042 roeden], belast met 20 st voor de pastoor van Eemskerk","noord: Cornelis Fransz en die Reguliers ut die Wyck; oost, zuid en west: de commandeur van St Jan    ",O.R.A. no 275 fol 56,XI 47,,
5010234,1562-05-31 ± ,Heemskerk,Dirck Jansz [Batten],Joris Fransz ,anderhalf acker zaedtlandt [groot 753 roeden] welverstaende op beijde eynden die halve wal gemeen ,noord: mr Crijstiaen de Waerdt; oost: Gerrit Gerritsz; zuid: Joris Fransz; west: Huybert Pietersz en Gerrit Gerritsz,O.R.A. no 275 fol 56,XI 43,,
5010235,1562-05,"Heemskerk, omtrent die Wollenaer","Joest Jansz, wonende tot Haerlem ","Joris Fransz, poorter ut die Wyck ","anderhalf acker zaedtlandts, omtrent die Wollenaer",noord: Dirck Jansz; oost: Gerrit Gerritsz; zuid: Louris Gerritsz; west: Gerrit Gerritsz   ,O.R.A. no 275 fol 55,XI 48?,,
5010236,1562-06-24 ± ,Heemskerk,Cornelis Dircsz alias Mondt,Havick Jansz ut de Beverwyck ,"½ van een stuck weydtlands met ½ acker geestlanden gemeen met Wouter Cornelisz groot dat gehele stuck omtrent 2200 roeden, daarinne gerekent t voerschreven geestlant, belent als int IIIe blat hiervoor staet ",,O.R.A. no 275 fol 64,,,
5010237,1562-07-17,Heemskerk,Wouter Cornelisz,Louris Splintersz,"½ van een stuck weydtlandts met ½ acker geestlands gemeen met een Havick Jansz ut die Beverwijck groot dat gehele stuck omtrent 2300 roeden, daerinne gerekent t voorchreven geestlant, belend als uit IIIe blat hier voer staet  ",,O.R.A. no 275 fol 64,,,
5010238,1562-07-25,Heemskerk,Wouter Cornelisz,die commandeur van St Jan te Haarlem ,"een croftgen zaedt landts, groot 2 achgelen zaijens ",noord: de abt van Egmond; oost: de Beijfferde wech; zuid: aelmislandt; west: de Houdtwech ,O.R.A. no 275 fol 62,in archief van de commandeur: 1562-07-18 ,,
5010239,1562-07-25,"Heemskerk, de Beeckacker",Wouter Cornelisz,"die commandeur van St Jan te Haarlem (als gemachtigde Symon Jansz, custos)","een acker landts genaemt ""die Beeckacker"", groot 4 achgelen zaeijens            ",noord: de Kerckbeeck; oost: de Scoubeeck; zuid: Pieter Jansz c.s; west: de grote Houdtwech,O.R.A. no 275 fol 62,in archief van de commandeur: 1562-07-18 ,,
5010240,1562-11-02,Heemskerk,"Jan Woutersz als man van Aef Heyndricsdochter, Willem Willemsz als bestorven voogd van de weeskinderen van Louris Wiilemsz en Huych Heyndricsz voor hem zelve    ",Dirck Dircksz Cock tot Wyck op Zee,2 ackeren zaedtlandts,noord: Aelbert Doevenz; de Scilpwech; zuid: Ariaen Gerritsz van Wyck op Zee; west: de Scouheyninck  ,O.R.A. no 275 fol 66,,,
5010241,1562-11-07,Heemskerk,Claes Willem Ziericxz van St Aechtendyc,Dirck Dircsz Cock van Wyck op Zee ,"2 maden een vierendeel min, hoeijlandts",noordwest: Dirck Dircsz Orlewijnsz c.s; noordoost: de Castricummerwatering; zuid: Cornelis Gerritsz; zuidoost: Jan Duvensz tot Amsterdam     ,O.R.A. no 275 fol 68,,,
5010242,1562-11-07,Heemskerk,Huijch Heyndricsz en Willem Gerritsz voogd van de weeskinderen van wijlen Anthonis Gerritsz,Dirck Pieter Allertsz ,een acker zaedtlants,noord: Dirck Pietersz; oost: de Scoubeeck; zuid: Dirck Maertsz; west: de erfgenamen van Joest Splintersweduwe  ,O.R.A. no 275 fol 69,,,
5010243,1563-02-13,Heemskerk,Aris Maertensz en Cornelis Gerritsz  ,Gerrit Cornelisz ,een acker zaedtlants ,noord: Louris Splintersz c.s; de Oesterwech; zuid: de memory tot Haerlem; west: de Kerckwech  ,O.R.A. no 275 fol 77,,,
5010244,1563-03-20,Heemskerk,Heynrick Jan Bochters  ,"Joris Fransz, poorter van Beverwijck ",een crofte saedtlandts tot Noertdorp,noord: Michiel Gijsbertsz; oost: Claes Bartolomeusz; zuid: de aelmismeesters van Haerlem; west: de Scouheijninck  ,O.R.A. no 275 fol 78,,,
5010245,1563-03-23,Heemskerk,Machtelt Aelbertsdochter met haar zoon en voogd Aelbert Heijndricsz,Claes Arijsz van Castricum; borg: zijn broer Evert Arysz,een huijs en werf in die Kerkbuyrt; koopsom: 425 Kar gld (waarvan 100 in contanten),noord en oost: de gemeen wech; zuid: de abt van Egmondt; west: de gemeen wech   ,O.R.A. no 275 fol 81,,,
5010246,1563-04-14,"Heemskerk, Kaenscroft","Margriete Jans, van Wyck op Zee met Gerrit Allertsz als voogd (in margine: Margriete Bergen genoemd)",Aelbert Doevensz,"2 ackeren zaedtlandts, genaempt ""Kaenscroft"" ",noord: Jan Willemsz en het gasthuis van Wyk op Zee; oost: Cornelis Gerritsz en Jan Willemsz; zuid: Claes Engelsz; west: die luttick Zije ,O.R.A. no 275 fol 80,,,
5010247,1563-05-06,Heemskerk,Hilgundt Gerrit Jan Hugensz dochter met Dirck Dircsz als voogd,het Convent van St Margrieten te Haerlem ,"½ van een saete lants aen die duynen, daer dat wederdeel of toebehoort Jan Gerritsz, haar broer ",noord: Dirck Florijsz; oost: de Scilpweg; zuid: Ariaen Dircksz te Wyck op t Zee; west: de Scouheininge   ,O.R.A. no 275 fol 82,,,
5010248,1563-05-14,Heemskerk,"Louris Gerritsz (in margine: Louris Gerrit Jacobsz geheten), Pieter Gerritsz en Claes Pietersz voor hem zelf en als bloedvoogd van zijn kinderen geprocreert bij wijlen Dieuwer Gerritsdochter ",haar broer Jan Gerritsz,"huijs, hofstede, werf en land, gelegen aen die duijn groot 14 achgelen zaeyns",noord: Duijf Simon Hoflandts erfgenamen; oost: de Groet Zije; zuid: St jacopsgilt tot Haerlem; west: de Scouheijning  ,O.R.A. no 275 fol 83,,,
5010249,1563-06-23,Heemskerk,,,"Gerrit Gerritsz heeft heden bij testament en bij donatio inter vivos gemaect Beatrijs Florisdochter, zijn dienstmeijt, een crofte lants  ",,O.R.A. no 275 fol 84,,,
5010250,1563-07-01,Heemskerk,"Maritgen Dircsdochter, weduwe Louris Gijsbrechtsz met Pieter Gijsbrechtsz als voogd, tevens voogd van Dirck Lourisz en Gerburch Lourisdochter, nagelaten kinderen van Louris",Jan Peter Allertsz (in margine Jan Pietersz genoemd),"een croft lants; borg: Jan Simonsz, scout ",noord: Willem Willemsz; oost: de Hoechdorperweg; zuid: Maerten Ysbrantsz; west: dat holle beeckgen   ,O.R.A. no 275 fol 87,,,
5010251,1563-07-31,"Heemskerk, Jan Reijersz mat bij den Hem","heer Adriaen van Egmont, presbyter, met Gerrit Allertsz als voogd  ","Jan Willem Arijsz, buerman te H [---]","een stucke weydtlants, groot 624 roeden, genaemt ""Jan Reijersz mat"", leggende bij den Hem ",noord: Jan Willem Arysz; oost: de commandeur van St Jans Godshuis te Haerlem; zuid: de Noerdtmaedweg; west: de Reguliers buiten Hoern  ,O.R.A. no 275 fol 91,,,
5010252,1563-08-17,Heemskerk,"Govert Fredericsz, poorter van Haerlem ","Lambrecht Willemsz, buerman van Haerlem ",4 ackeren zaedtlandts,noord: de erfgenamen van Floris Claesz; oost: de luttick Zije; zuid: de Strenge; west: de Scilpwech        ,O.R.A. no 275 fol 91,,,
5010253,1563-08-20,"Heemskerk, de Duijncroft",Cornelis Cornelisz alias Monten ,zijn vader Cornelis Dircsz,"¼ parte van een croft zaedtlands genaemt ""die duijncroft""",noord: Claes Engelsz; oost: de Scoubeeck; zuid: de procurator ut die Beverwyck; west: de luttick Zije ,O.R.A. no 275 fol 92,,,
5010254,1563-09-16,Heemskerk,Dirc Dircsz Orlewijns ,zijn dochters Maritgen en Balich,"een huijs, erfve en hofstede met een scuertgen en een half hoeijhuys, daer het wederdeel of toecomt zijn broer Claes Dircsz; ende dat op lijfrenten over 14 Kar gld per jaar, zolang hij of zijn vrouw leeft  ",noord: Claes Dircsz; oost: Claes Dircsz; zuid: Nelle Willem Lambrechtsz weduwe; west: de Scouheijninck,O.R.A. no 275 fol 92,,,
5010255,1563-09-28,Heemskerk,Louris Gerrit Jacopsz (in margine: Louris Gerritsz) ,"Cornelis Pietersz, zijn buyrman",een crofte landts,noord: Gerrit Gerritsz en Joris Fransz; oost: de Grote Houdtweg; zuid: Joris Jansz; west: Pieter Gerritsz en Dirck Hasselaer       ,O.R.A. no 275 fol 94,,,
5010256,1563-12-14,Heemskerk,Laurens Heyndricsz en Cornelis Dircsz alias Mont als voogden van de weeskinderen van Claes Dircsz en Maritgen Laurensdochter    ,Belytgen Dirck Louwensz weduwe   ,een acker zaedtlants,noord: Belytgen Dirck Lourensz weduwe; oost: Jan Willemsz met een stuckgen aelmislant; zuid: de commandeur c.s.; west: de grote Houdtwech     ,O.R.A. no 275 fol 98,,,
