id,datum,locatie,inhoud,bron,getuigen,bijzonderheden
3000045,1633-09-28,,"Aeffgen Jansdochter, weduwe van Frans Jaspersz, eysseressche, contra joncheer Willem Calslaegen [van Cuyck van Myerop], gedaegde: eisschersse stelt dat zij zich altijd als een eerlijke weduwe gedragen heeft, doende haar best om met haar kinderen eerlijk door de wereld te gaan. En dat zij howel zittende in armoede in eerbaarheid door het leven gegaan is. Dat de gedaagde haar verleijt heeft om vleeschelijke gemeenschap met hem te hebben, en dat zij op voorleden donderdag ""een jonge zoon heeft gebaert"", zonder dat zij na de dood van haar man ooit met iemand vleeschelijke gemeenschap heeft gehad. Zij eist nu 60 Kar gld voor de craamkosten ""mitsgaders het geteelde kint met hem te nemen end nog voor haar kleren 600 gld"", en uitkering van een alimentatie. Gedaagde verzoekt copie",Rol Schout en Schepenen Egmond Inv 2083,,
3000046,1632-06-24,,"schepenen van Nieuwer Amstel oorkonden dat Cornelis Claesz Assendelft, wonende in t heerenhuis halffwegen Haerlem, erkende schuldig te zijn aan Gerrit Wybrantsz, wonende aen de Amstel voor hem zelven, en Claes Jansz Jongen Buytenveldert en Jan Wybrantsz op t Walenpat buten Amsterdam, als voogden van de voors. Gerrit Wybrantsz, 1150 gld, uit de coop en custing van een stuk land in Buytenveldert, groot 2½ mad",R.A.H. Coll Roeperpapieren Haarlem Inv 134,,
3000047,1631,,"Cornelis van Flory en Willeboord Arentsz, koopman te Egmond op de Hoef, contra de Procureuer Generaal, betreffende de koop van een gedeelte van het bos van Egmond",J.A. Jaeger: A.R.A. Hs 3e afd p 7,,
3000048,1630-12-13,Heiloo,"de schout van Heyloo en de schepenen aldaar oorkonden dat Adam Dircxz Hinderduijn, landdrost van West Vriesland en het Noorderquartier, transporteert aan zijn zwager Geldolf Gerytsz van Harlar, casteleyn van den huyse tot Petten, een huijs ofte hofstede met omtrent 28 morgen lant, Alkmaer mate, daer eertijts een boomgaertgen, speelhuys ende voegelkoije op en in gestaan heeft, alle tsamen gelegen in de Zuiderpolder van het Groenwater, leggende achter de Nieupoort in de ban van Heyloo. Met een vrije eigen toegang tot hetzelve huys en landen over de molenwerff gelegen in de Noorderpolder van het voors. Groenwater, en steckende van de Heijlverdijk aff tot aen de scheijsloot tussen beyde polders gelegen, en waterlosinge van de hecken af tot aen de molen toe door t land van Gerrit Vechtersz etc. Belast met 7 gld per jaar tbv de stad Alkmaar (en een hoofdsom van 116 gld). Verder belast met een onlosbare rente van 3 gld per jaar ovor de ambachtsheer ter cause van swaendrift",O.R.A. no 73 fol 103,"Pieter Isbrantsz van de Velden, schout van Heyloo, en Pieter Aeryaensz Cooch en Jan Symonsz Paesschen, schepenen aldaar",
3000049,1630-04-26,Heiloo,"de schout van Heyloo en de schepenen aldaar oorkonden dat mr Floris van Harlaer, tot Alcmaer, verkoopt aan Cornelis Jansz anders Kees Jan, wonende tot Boeckel, een acker geestlant in de ban van Heyloo op Bouckelergeest, groot 16 .., soe hem cooper toegemeten is uytte naestaen gelegen acker te zuyden, hem verkoper mede toebehorende, noord: de kinderen van Jannetje Cornelisdochter [Stam], zuid: Floris van Harlaer, west: de Heereweg, oost: de Lydtwech. Verkoper draagt over een oude kwijtschelding bij mr Jan van Wittendael daeraf verkregen, bezegelt bij Ysbrant Arentsz van der Velden ddd 1621-05-07. Mr Floris van Harlaer verkoopt vervolgens aan Cornelis Tyssen Rijser tot Amsterdam, een acker saetlants, gelegen tot Boeckel in de ban van Heyloo, oost: de Lijtwech, zuid: Marytgen Ariaensdochter, west: de Heerenweg, noord: Cornelis Jansz. Volgens de kwijtschelding waarbij zijn schoonvader mr Jan Wittendael dit perceel verkreeg, bezegeld bij Jacob Lambertz van Duynen in dato 1609-01-09 [of 1600]",O.R.A. no 73 fol 96v,"Pieter Ysbrantsz van Velden, schout van Heyloo, en Willem Pietersz paardemr. en Jan Symonsz Paessen, schepenen aldaar",
3000050,1631-01-10,Heiloo,"schout en schepenen van Heyloo oorkonden dat mr Flory van Harlar, wonende binnen de stede Alkmaar, verkoopt aan Rong Jansz, oud schepen te Heyloe, een acker geestland gelegen in de ban van Heyloe in Oesdom op t zuijtent van de Capellaen, groot 300 roeden, zuid: de Buerelaen, noord: Pieter Jacobsz, west; t Holetoochgen, oost: Dirck Jansz noom Jannen",O.R.A. no 73 fol 104,"Pieter Isbrantsz van de Velden, schout van Heyloo, Jan Symonsz Paessen en Aeryaen Aeryaensz, schepenen aldaar",
3000051,1631-05-23,Heiloo,"schout en schepenen van Heyloo oorkonden dat Maerten Claesz Emmen als deken van het Schippersgilde c.s transporteert aan Geldolff van Haerlaer, casteleijn tot Petten, een stuck lant in de banne van Heijloe in des coopers Coijmeer, groot 1 ½ morgen, noord, oost en zuid: Geldolf van Harlaer, west: de Ringsloot",O.R.A. no 73 fol 111,"Pieter Ysbrantsz van der Velden, schout en Wilboort Dirksz en Aeryen Symonsz Kint, schepenen van Heiloo",
3000052,1630-02-20,Velsen,"schepenen in de ban van Velsen oorkonden dat Engel Engelsz, wonende op t huijs te Velsen, transporteert aan Jan Cornelisz Post, onze mede buerman voors. aen Duyn, een crofte geest- of teelant in de ban van Velsen, aen Adrycommer duyn, groot 4 ½ hont, noord: Jan Cornelisz Post, oost: het gasthuys van Wyck op Zee, zuid: Gerryt Engelsz, west: Adrycommer duyn, wesende vrij sonder enige last ofte beswaernisse anders dan alleenlyck met zijn ordinars wech. Voorts met de servituyt van een voetpadt dat  er over loopt ende syn nothweg pastseren [?] oostwaart uyt over het voors. gasthuysland, met zijn waterlosinge door de sloot heen. De Principael koop is fl 800. Betaelt ⅓ part gereed. De 10e penning van dese voors. hoofdsom bedraagt fl 32-10-10, betaelt",R.A.H. O.R.A. no 959,"Jan Luytsz Groen, schout, Frans Symonsz en Claes Jacobsz, Jan Cornelisz Postbrieff, schepenen in de ban van Velsen",
3000053,1630-05-10,Heemstede,"stadhouder en leenmannen van Holland oorkonden dat Jan Janssen van s Gravesloot heeft opgedragen tbv Adriaen Pauw heer van Heemstede, 312 roeden 97 voeten land in de ban van Heemstede, oost: het capelrye land, zuid: de ingang hiervan, west: de Heereweg. Adriaen Pauw heeft hieruit tot erfleen uitgegeven aan: - 1633-08-01 (fol 13v) Gerrit Huybrechts schoenmaker te Heemstede, een erve strekkende voor van de dorpsweg tot aan en nevens het schoolhuis bij en omtrent de kerk te Heemstede; 1654-01-12: Gerrit Huijbrechtsz vernieuwt de eed; 1659-08-03: Jan Bartels van Dyck x Jacomyntje Jacobs, bij dode van Gerrit Huijbrechtsz; - 1633-08-01: (fol 15) uitgegeven aan Jan Huybrechtsz, huistimmerman te Heemstede, een erve gelegen aan de dorpsweg naast het voorgaande leen; 1654-02-18: verkocht door diens crediteuren; - 1637-10-09: (fol 16) uitgegeven een erve omtrent de kerk, aan de Voorweg, groot 19 roeden, aan Hendrik de Goijer, rentmeester van Holland; 1654-09-01: beleend Daniel Cambij; - 1640-05-08: naast het leen van fol 15 een erve uitgegeven aan Wouter Govertsz; 1695-10-25: beleend Aert Willemsz van der Naelt bij dode van Pieter Reijersz; - 1654-02-18: (fol 18) van ditzelfde leen wordt een erve gelegen naast dat van fol 16 in erfleen gegeven aan de heer Servaes van Panhuijs tbv zijn vrouw Anna Cornelia Pauw; - 1654-01-12: (fol 19) een erve gelegen naast dat van fol 16 in erfleen gegeven aan Dirk Floris backer, schepen te Heemstede; 1656-04-20: na dode van Dirk Florisz beleend diens dochter Martien x Cornelis Jacobsz [van der Weyde]; - 1654-01-12 (fol 20) een erve naast dat van fol 19, beleend Jan Claes van Kempen, die dit leen in 1665 overdraagt",G.A. Heemstede Leenboek Register divers I no 469 fol 13v e.v.,,
3000054,1672,Heemstede,"inval van de Fransen: is voorgevallen dat verscheide ruijters en andere personen, vermits de trouble tijd, diverse moetwillen met schieten en delven in de duynen hebben gepleegt. Doch alsoe deselve weder vertrokken ende wegreden is, daerover niet verder kunnen worden geprocedeert of iets genoten",G.A. Heemstede Register divers I no 479 fol 24,,
3000055,1631-04-30,Heemstede,"Jan Philipsz [van der Veldt] verkoopt aan sr Franchois Thierens een stukje weiland, gelegen tussen de Manpadtslaan, noord: St Elisabethsgasthuis, zuid: Willem Pietersz, oost: [de Hout] vaert [later: de Trekvaart]. Koopsom 500 £ ",R.A.H. O.R.A. 578 fol 15v,,
3000056,1635-05-03,,"de ridderschap oorkondt dat Heyman Boumans, schout van Warmond, krachtens procuratie van de joncheren Sweder van Amstel van Mynden heer van Doornenburgh, Gerard de Waal van Vroonesteyn heer van Vroonesteijn en Anthonis van Wees, als ooms en testamentaire voogden over jhr Joost van Amstel van Mynden en de verdere onmondige kinderen van wijlen jhr Joost [Jacob] van Amstel van Mynden en jvr Maria van Sparwoude, in hun leven heer en vrouw van Loenersloot, op 13 april jl verleden, opdragen tbv Dammas Gerrits van Beeckesteijn, backer tot Sassenem, een partij land uyt 6 stucken land gelegen westwaarts van de kerk te Sassenem, groot 1 morgen en nu wesende een teelcroft groot bevonden 642 roeden. Eertyts neffens een huysinge en 10 hond land daartoe behorende, staande en gelegen in de ban van Sassenem, leen van de abdij van Egmond; 1635-10-01: werd Dammas Gerritsz beleend tot een onversterfelijk erfleen (zie ook 1635-05-04)",R.A.H. Coll Aanw 529 fol 322,,
3000057,1630-03-26,,"jhr Adriaen Taets van Amerongen verkoopt aan Aelbert Dircsz, schout van Blaricum tbv zijn nader te noemen meester, die hij binnen 3 dagen zal nomineren, t'huys te Ruysdael, met zijn erve, graften, chingels, landen boomgaerden, thuynen, boulanden en bouhuys en een campgen weiland, alles gelegen in Naerden- en Huysenban. Verder een partij veenland, streckende van de huysingen Ruysdael tot Emenes toe. Kopsom 6000 gld. Koper blijkt te zijn Johan Stachouwer. Bij de verkoop wordt bedongen dat ""tot een vereering van des verkopers huysvrouw en kinderen noch een somme van 2000 gld betaald moet worden"". Op de kaart van Ketelaar uit 1769 staat: ""eertyds het slot Ruissendaal"". Het perceel grasland waar Ruysdael gelegen heeft, wordt door de Blaricumse bevolking aangeduid als ""het hoge slot""",G.A. Leiden Notaris F van Syp,,A.R.A. kaart ca 1526 Hingman no 2580 gekleurd
3000058,1649-03-04,Heiloo,"schout en schepenen van Heiloo oorkonden dat Frans Symonsz, buerman in de Nyepoort, voor ¼ deel, Dirck Heyndricksz Gorter x Annetgen Pieters dochter van Pieter Cornelisz voor ¼, en sulks tesamen voor de ½. Ende Cornelis van Rijckel x Grietgen Symons Schoorl, beide vervangende en de rato caverende voor Dirck Symonsz Schoorl, kinderen van wijlen Symon Jansz Schoorl en Eva van Foreest, tesamen voor de andere ½, transporteren aan Catrina van Harlaer de tegenwoordige huysvrou van Cornelis van Teylingen Bas, oud schepen van Alkmaar, een stucke lants groot 2 morgen 504 roeden, gelegen after die Nuwe poort over die, in die banne van Heyloo, genaempt ""Comeyndersweyt"" [= coman Meynderts weyt], oost: de ringsloot van de Boekelermeer, zuid: Willem Clock, west: Jan Doeven, noord: Marije van Nes; 1591-06-28: laatste transport door coman Meyndert",O.R.A. 75 fol 86v,,
3000059,1654-06-03,,"baljuw en schout van Wimmenum en schepenen aldaar oorkonden dat Willem Cornelisz Heer, wonende in de heerlijkheid Bergen, transporteert aan Valck Ariensz, wonende te Wimmenum, een croft land genaamd ""Simon Dircxz croft"", groot 152 roeden 0 voet 4 duim Berger maat (300 roeden in een morgen), noord: jhr Flory van Harlaer, zuid: de Tichelaan, oost: Hilbrant Symonsz, west: Willem Cornelisz Heer. Betaald met een custingbrief groot 1921 gld","R.A.H. O.R.A. 2139 fol 6v, 7","Gerardt van Vladeracke, baljuw en schout van Wimmenum, Maerten Claesz en Hilbrant Symonsz, schepenen",
3000060,1654-04-18,,"Cornelis Claesz, wonende te Amsterdam, Job Engelsz wonende te Egmond op Zee, als vader en voogd van zijn kinderen bij Gerbrecht Claes, Carel Cornelisz in de Schermer x Tryntie Wybrants, transporteren aan Floris Meijnsz, mr timmerman te Egmond op de Hoef, een crofte land groot 1 morgen in de heerlijkheid Wimmenum, oost: jhr Flory van Herlaer, zuid: Pieter Valcx, met de gemene wech en Nol, west: Hilbrant Symonsz, noord: Arien Pietersz (1681-03-27). Koopsom 600 gld, te betalen in 2 termijnen. Laatste transport 1632-09-29",R.A.H. O.R.A. 2139 fol 7v,,
3000061,1653-12-21,,"baljuw en schout van de heerlijkheid Wimmenum en schepenen aldaar oorkonden dat Jan Pietersz Cuijper en Jan Isbrantsz, beide wonende tot Egmond op Zee, als wettige voogden van Neel Frans, weduwe van Eddick van Zanen, in zijn leven schout tot Egmond op Zee, verkopen aan Jan Cornelisz, schepen van Wimmenum, een acker land genaamd ""Moeijersacker"", oost: de gemene wech, west: Cornelis Florisz, zuid: t capel ackertie, noord: Jan Cornelisz. Tot onderpand voor de vrijwaring stelt hij ""Arent Gijsens leeckie"", oost: de erfgenamen van Loef van Harlaer, west: de nieuwe dyck, zuid: Cornelis Claesz, noord: de erfgenamen van Loeff van Herlaer. Koopsom 277 gld. Het laaststgenoemde land wordt op 1657-04-18 door Jan Cornelisz, oud schepen, uit de vrijwaringsband ontslagen",R.A.H. O.R.A. 2139 fol 5,,
3000062,1651-06-07,,"baljuw en schout van de heerlijkheid Wimmenum en schepenen aldaar oorkonden dat de heer Dirck Vrijburch, burgemeester van Alkmaar, voor zichzelf en als mede erfgenaam van de heer Pieter van Dyck, in zijn leven oud burgemeester, verkoopt aan Jan Pietersz Crijnen, een stuk land genaamd Schipsloot in onse heerlijkheid, groot 4 morgen 93 roeden Hontsbosse maat, oost: Cornelis Jacobsz, zuid: de kerk van Egmond op Zee, west: Pieter Jacobsz Crijnen, noord: de erfgenamen van Thijs Jacobsz. Koopsom 4500 Kar gld. Volgt de custingbrief voor 4500","R.A.H. O.R.A. 2139 fol 1, 1v","Anthony van Saenen, balliu en schout van de heerlijkheid Wimmenum, Valck Adriaensz en Cornelis Dielofsz, schepenen aldaar",
3000063,1652-05-25,,"1) Arent Gerritsz, wonende op de Keijns bij Schagen, zoon van Gerrit Arentsz, 2) Gerrit Claesz als voogd over de nagelaten kinderen van wijlen Cornelis Gerritsz, 3) Lysbet Gerrits x Teunis Cornelisz, 4) Thijs Gerritsz, 5) Willem Gerritsz, 6) Gerrit Gerritsz, allen erfgenamen van Gerrit Arentsz, transporteren aan Jan Arisz, oud schepen te Wimmenum, een stuk land, oost: Gerrit Seeman, west: de Heerewech, zuid: de heer Jacob Brasser c.s, noord: jhr Floris van Harlaer. Belast met 7st 8 penn per jaar. Koopsom 1044 contant en een obligatie van 2088 gld",R.A.H. O.R.A. 2139 fol 2,,
3000064,1653-02-26,,"schepenen en inwoners van Wimmenum beloven aan de baljuw Gerardt van Vladeracken jaarlijks te betalen een somma van .. [onleesbaar] gld voor uytcoop, onder verband van hun persoon en goederen. Volgt een zwaar beschadigde akte van dezelfde datum waarbij schepenen en buren verklaren, ""als dat de stipendium die jhr Gerardt van Vladeracken, onse bailliu ende schout tot verscheyde jaren hebbende genooten, als noch sal hebben ende genieten in toekomende. Ende oock mede dat onse heer Bailliuw voor sijn nominatie ende electie hebben sal ende genieten de somma van 8 Kar gld""",Arch Egmond Inv ….,"inwoners: Pieter Adriaensz Valck, Hillebrant Aelbertsz, Valck Ariaensz, Ariaen Pietersz, Cornelis Cornelisz, Cornelis Florissen, Jan Ariissen, Cornelis Jacobsz Streec, Hillebrant Symonsz, Jan Cornelissen, Pieter Symonsz met zijn merck; namen schepenen die nog te lezen zijn: Hillebrant Symonsz, Cornelis Dircsz en Hillebrand Aelbertsz, en van de buren: Cornelis Florissen, Willem Remmen, Cornelis Dielofsz en Cornelis Cornelisz Limmen","Ariaen Pietersz: 1661-01-16, 1662-02-04, 1665-10-04, 1666-06-28, 1667-01-11, 1673-11-22, 1683-06-13 en 16, 1692-08-15"
3000065,1654-05-16,Zijpe,"Catarina Walraven, weduwe van Jan Martsz Engelsman en haar dochter Maria Walraven, beide geassisteerd met Harck Harcxsz Cooren als gecozen voogd, zo voor zich zelve en de rato caverende voor haar zoon Jacob Walraven, allen wonende aldaar, een vrije rente van 187-10-0 per jaar, losbaar met 3000 gld, onder verband van 35 morgen land met het huis daarop in de Sype aen de Belckmerwech in de polder O.T, oost: de Belckmerweg, zuid: de weduwe van schepen Harencarspel, west: de Egalementsloot, noord: Harc Harcxz",R.A.H. O.R.A. 6549 fol 163v,,
3000066,1652-06-08,Zijpe,"Jan Maertsz Engelsman, wonende tot Alcmaer, x Catarina Walravens, erkent ontvangen te hebben uyt de erfenis van Brechje Rijsers de somma van 2200 gld. belooft deselve te restitueren indien het casus fideicommissi, daermede deselve sijn geaffecteert, mocht comen te exsteren. Verbindt speciaal 7½ morgen land in de polder T.O., mede gecomen uit deze erfenis, oost: de comparant, zuid: de Belckmerweg, west: Harck Harcksz coopman, noord: de Egalementsloot",R.A.H. O.R.A. 6549 fol 151,,
3000067,1652-04-13,Zijpe,"Gerrit Pietersz Weijboer in de Sype verkoopt Pieter van Persijn, wonende tot Hoorn, een losrente van 50 gld per jaar, losbaar met 1100 gld, onder verband van ½ van een partij land gelegen in de polder B. cleyne A, groot in het geheel 6 morgen 92 roeden 4 voeten, zuid: de heer van Dussen, oost: de Seedyck, noord: Nicolaes du Gardijn, west; de Groote Sloot; 1663-12-15 afgelost",R.A.H. O.R.A. 6549 fol 150 Zijpe,,
3000068,1651-06-14,Zijpe,"Garbrant Walraven verklaart dat hij zijn kinderen bij Trijn Jans Rustenburg heeft bewezen (volgens akte onder de vrienden berustende) enige goederen waarvan geacht werd een gedeelte verbonden ende restitutie subject te mogen sijn; dat mede hij comparant ontfangen heeft, gelijck alsnoch bekent ontfangen te hebben uijt de erfenis van Brechje Rijsers de somma van 2200 gld, de welke mede fidei commis subject zijn. Ten einde nu aan zijn kinderen behoorlijke zekerheid te stellen tot vergoeding en restitutie van de voors posten, soo heeft hij comparant daarvoor speciaal verbonden 13/15 part in 25 morgen land gelegen in de Sype in de polder van de grote T, west: Pieter Cornelisz Keijns cs, zuid: de Belckmerweg, oost: Nicolaes du Gardin, noord: de Egalementsloot ",R.A.H. O.R.A. 6549 fol 148 Zijpe,,
3000069,1650-05-05,Zijpe,"Cornelis Cornelisz Bregman de jonge, wonende tot Schagen, als gemachtigde van sr Willem Schaep van Croesbeeck tot Amsterdam, voor hem zelve en zich sterck makende voor sr Gerrit van Papenbroeck, deszelfs schoonbroeder, mede wonende aldaar (1650-0422: procuratie voor Aris Cornelisz Heemskerk, notaris te Alkmaar) geeft in erfpacht aan Gerrit Adriaensz van Heemskerck en Gerrit Cornelisz van Schoorldam, beide wonende in de Oude Sype, een partij vrij land groot 136 morgen, met twee huizen daarop staande, gelegen in de Sype in de polder .., oost: de Egalementsloot, west: de Sype dyck, noord: Sybrant Jansz en Adriaen Saskersz, zuid: Jan Symonsz Nop. In margine: debet dicere in de grote T",R.A.H. O.R.A. 6549 fol 142v Zijpe,,
3000070,1650-02-22,Zijpe,"Cornelis Paulusz, wonende in de Zype, verkoopt aan juffr Catarina Harlaers, vrouw van Cornelis van Teylingen Pieters, schepen, een losrente van 40 gld per jaar, losbaar met 800 gld, onder verband van een huys en boedt met 17 morgen 480 roeden land in de Sijpe in de letter K, cleyne G (?), zuid: Jan Claesz Cramer c.s, oost: de Grote Sloot, west: de Ruygewech, noord: de erfgenamen van Arien Cornelisz Akersloot",R.A.H. O.R.A. 6549 fol 139v Zijpe,,
3000071,1649-07-30,Zijpe,"Claes Jansz, boode van de Sype, verkoopt Jannitge Claes, weduwe van Jan Willemsz, wonende tot Alcmaer, een losrente van 25 gld per jaar, losbaar met 500 gld, onder verband van een stuk land groot 2 ½ morgen gelegen in de Sype, in de polder L, west: Heyndrik Jansz Lakemans erven, zuid en oost: Barbara Adams, noord: Floris Adriaensz",R.A.H. O.R.A. 6549 fol 136 Zijpe,,
3000072,1640-04-06,,"schepenen van Heemstede oorkonden dat Jan Ysbrantsz van Couwenhoven en zijn vrouw Geertge Jansdochter van der Bouchorst, wonende binnen Leiden, transporteren volgens zeker coopcontract dd 1640-04-05 aan Adriaen Willemsz Wittert (hij verkoopt dit perceel weer op 1640-11-16), burger te Leiden, 40 hont wey- ofte hooyland, genaamd ""de Spaerweyde"" in Schoubrouck in de ban  van Heemstede, nu tegenwoordig belend oost: het Spaere, zuid: de Barnardyten, west: jhr Floris van Alckemade, noord: sr Jan Fonteyn, koopman te Amsterdam. Koopsom 1995 gld",R.A.H. O.R.A. Heemstede 579 fol 30v,,
3000073,1639-01-04,,"Johan van Asch, schout van Heemstede, mitsgaders Michiel Joosten, oud 68 jaar, Jan Joosten 66 jaar, Jan Jacobs 65 jaar, Huijch van der Weyde 60 jaar en Floris Jansen Bruin, oud 54 jaar, alle geboren buren en inwoners van de heerlijkheden Heemstede, attesteren dat zij niet alleen geboren buren en inwoners van Heemstede zijn, maar ook aldaar altijd opgevoed en gewoond hebben, en te weten dat de wildernisse binnen Heemstede bij hun kennisse nooit gesloot ofte geheynt is; maar dat de eigenaars of bruikers van de landen daaraan gelegen zulks subject zijn zonder ooit van hun voorouders of ouders ter contrarie gehoort te hebben. Ondertekend door attestanten",Inv Arch Heemstede no 277 fol 95,,
3000074,1639-01-26/28,,"rol van verpachting van de duinen en konijnenwaranden aan de grafelijkheid competerende: ""Jan van Sanens duijn"", beginnende aan Grietenbrugge, belend noord: de Brederodeduyn, oost: s Gravenburgerhout, west: Asselreduijn, zuid: de Kennemerbeek. Uytgesondert een cleijn stukje duin daarvan gesepareerd, oost: de Heemsteder heerweg, west: de wildernis van Brederode, zuid: de grafelijke wildernis in Hillegom, noord en oost: de woninge sGravemade en de ""Corte Elst"", welk stukgen duijns buiten deze verpachting is, laatst gebruikt bij Jan Willem Meynerden per jaar om 364£ en nu gepacht bij denselven om 364£. Het voors. stucktge duyns leggende en belend als vooren is in pachte gelaten voor den tyt van 20 jaren, aan de heer Adriaen Pauw, heer van Heemstede, ridder, op de generale condities vrij gelts voor de somme van 20£",Inv Arch Heemstede no 2776 p 94,,
3000075,1653-11-10,,"schepenen van Heemstede oorkonden dat Jan Leendertsz van Brederode transporteert aan Gerrit Symonsz Tetterode, brouwer in de Engel te Haarlem, de opstal van zekere huysinge, schuur, koestal, hooiberch, wagenhuis, op ondergrond van wijlen mr Gregorius van de Velde, omtrent de Prince Zandvaart. Huur of pacht 2 gld 10 st per jaar, noordoost: het erf uitgegeven aan de weduwe van Cornelis Pietersz Kuijtman, zuidoost: de erfgenamen van mr Gregorius van de Velde, zuidwest en noordwest: de Heerewech. Koopsom 700 Kar gld (vgl 1651-12-01)",R.A.H. O.R.A. Heemstede 584 fol 22,,
3000076,1653-05-28,,"de rekenkamer in den Hage geeft in pacht aan jhr Hendrick van Alckemade heer van Berkenrode: 1) ⅓ part van de tienden van Heemstede, 2) het schoutambacht van de ambachtsheerlijkheid en buurtschap van Vlieland bij Schootercapelle bij de stad Haarlem, zoals te voren zijn moeder jvr Goedela van Haerlem van Berkenrode, die in pacht ontvangen had na dode van haar broer jhr Dirck van Haerlem van Berckenrode, wiens lenen aan de grafelijkheid verstorven waren",G.A. Heemstede Reg Holland v. Heemstede 67 (465) fol 167,,
3000077,1653-03-28,,"de eerbare Tryntje Gerrits, weduwe van Jacob Pietersz Molewerf, geassisteerd met Wouter Govertsz, onse gerechtsbode, transporteert aan Phillips Cornelisz Beyer Bergen ende Henegouwen, ofte desselfs huysvrouwe Aechtien Jacobs, haar schoonzoon en schoondochter, haer huijsinge ende opstal op grond van de heer van Heemstede aen de Molenwerf, de herberge ""aen de molewerf"" genaamd, zuid, west en noord: de heer van Heemstede, oost: de Molenwerf; de koper erkent deswege aan zijn schoonmoeder schuldig te zijn 800 Kar gld",R.A.H. O.R.A. Heemstede 583 fol 56v,,
3000078,1651-12-01,,"schepenen van Heemstede oorkonden dat Jeff Reyersz van der Thoorn transporteert aan Jan Leendertsz van Brederode, de opstal van huysinge, schuur, koestal, hooijberch, wagenhuis op ondergrond van mr Georgius van de Velde, onlangs gekocht van de heer van Heemstede, omtrent de Prince Sandvaart. Erfpacht 2 gld 10st tbv de heer van de Velde, belend noordoost: de weduwe van Cornelis Pietersz Kuijtman, oost, zuid: heer Georgius van de Velde, zuidwest en noordwest: de Heerewech. Koopsom 1000 gld in een custingbrief (vgl 1653-11-10)","R.A.H. O.R.A. Heemstede 582 fol 64, 65",,
3000079,1650-03-07,,"gemachtigden van der Cruijce en van Dorp verkopen aan Dirck Florisz backer, schepen van Heemstede, een stuk teelland, groot 500 roeden te Heemstede, genaamd Kayckenrode [Keggenrode], noordoost, noordwest, zuidoost: de erfgenamen van Johan van Herlaer, zuidwest: Huybert Willemsz Sop","R.A.H. O.R.A. Heemstede 581 fol 93, 94, 98, 580 fol 6, 579 fol 68",,
3000080,1644-04-21,,"schepenen van Heemstede oorkonden dat alle kinderen en erfgenamen van wijlen Gerrit Hendriksz van Assendelft, nl: 1) Henrick Gerritsz Duyves, wonende buiten de Zylpoort binnen de vrijheid van Haarlem, 2) Jannetgen Gerrits x Hugo de Jongh, schout van Assendelft, 3) Guyertge Gerrits x Willem Jansz van Assendelft, wonende in de Ryp, 4) Grietgen Gerrits x Jan Abrahamsz de Mijter, te Haarlem, transporteren aan Abraham de Mijter, wonende te Haarlem een stuk weij- of hooijland, groot 2 morgen 2 hont te Heemstede, belend oost: de Heerewech, west: de erfgenamen van Nicolaes Crabmorsch, zuid: Jacob Jansz, noord: Dirck Thielman. Belast met 8 penn erfhuur tbv Philips Doubleth. Koopsom 1900 gld",R.A.H. O.R.A. Heemstede 579 fol 85,,
3000081,1644-10-07,,"schout en schepenen van Heemstede oorkonden dat sr Hendrik van Loon, poorter van Haarlem, transporteert aan Jasper [Jacob ?] Denys Metres x Johanna van Herlaer, Goeswyn van Herlaer, Magdalena Elisabeth van Herlaer, tesamen erfgenamen van wijlen Johan van Herlaer, in leven koopman te Amsterdam, zekere drie percelen van landen, met 2 huysingen ofte opstallen, de houtgewassen daeropstaande, gelegen tot Heemstede omtrent het dorp, bewesten de Voorwech, genaemt ""Keyckenrode"" [Keggenrode], tesamen groot 3 morgen 432 roeden. Koopsom fl 9600; 1) A, groot 650 roeden, noordoost: juffr Vrancken en Cornelis Reyersz van der Thoorn, zuidoost: de voorwech, zuidwest: zeker buerpad gaende over en langs de 2 percelen B en c, en over de 500 roeden van Petronella van Dorp, noordwest: de erfgenamen Verhooch; 2) B, groot 84 roeden, noordoost: A, zuidoost: de Voorwech, zuidwest: Leendert Gerritsz, noordwest: de erfgenamen van Petronella van Dorp; 3) C, groot 740 roeden, noordoost: A, zuidoost: erfgenamen Petronella van Dorp, zuidwest: Leendert Gerritsz, noordoost: de schouwwatering of de erven Jacob Philipsz en van wijlen Arent van der Hooch",R.A.H. O.R.A. Heemstede 580 fol 6v/Transportregister,,
3000082,1645-06-26,,"schepenen van Heemstede oorkonden dat Jan Joosten van Prola, oud-schepen alhier, transporteert aan Claes Jansz van Pollenburch, rietdecker, een huis, erve en werve met 300 roeden teelland aan de Berglaen, noord en west: de buurwech of Berchlaan, oost: de weduwe van Hendrik Huygen van Lisse, zuid: de erfgenamen van Dirck Cornelisz de jonge alias jonge Dirck. Koopsom 1020 gld in een custingbrief",R.A.H. O.R.A. Heemstede 580 fol 27v,,
