Nummer,Heemskerk,Sector,Oppervlakte,Eigenaar,Huurder,Huur/pacht/taxatie,Datum,Bron,Opmerkingen,,,, ,,
4100328,,ten noorden van de Hecksloot (vanaf het veer) IV 4,2757 roeden,Willem Jansz tot Amsterdam,Huijch Jansz,zie fol 29,1561,10e penn inv 74 I fol 34,,,,,,,
4100329,,ten noorden van de Hecksloot (vanaf het veer) IV 5,695 roeden,de Reguliers in de Beverwyck,Willem Willemsz ,5 Kar gld 10 st,1561,10e penn inv 74 I fol 34,,,,,,,
4100330,,ten noorden van de Hecksloot (vanaf het veer) IV 6,3160 roeden,Willem Willemsz,,getaxeerd voor 16 Kar gld,1561,10e penn inv 74 I fol 34,,,,,,,
4100331,,ten noorden van de Hecksloot (vanaf het veer) IV 7,900 roeden,Aris Maertsz en Aef Heindricsdochter; ½ van van 900 roeden door Aris Maertsz getransporteerd aan Dirc Jacobsz de Vries ( fol 23: Transport 276 )  ,,getaxeerd voor 5 Kar gld,1561,10e penn inv 74 I fol 34,,,,,,,
4100332,,ten noorden van de Hecksloot (vanaf het veer) IV 8,450 roeden,"Wouter, zwager van de huurder",Aris Maertsz,3 Kar gld,1561,10e penn inv 74 I fol 34,,,,,,,
4100333,,ten noorden van de Hecksloot (vanaf het veer) IV 9,4392 roeden,Claes Ponssoen tot oessaenen ,Dirck Pietersz,34 Kar gld 10 st,1561,10e penn inv 74 I fol 34,,,,,,,
4100334,,ten noorden van de Hecksloot (vanaf het veer) IV 10,520½ roeden,de pater van de nonnen in Beverwyck,Dirck Claes Hugensz,1 Kar gld 10 st,1561,10e penn inv 74 I fol 34v,,,,,,,
4100335,,ten noorden van de Hecksloot (vanaf het veer) IV 11,4577 roeden,Neeltgen Reijers  ,Jan Willemsz,44 Kar gld ,1561,10e penn inv 74 I fol 34v,,,,,,,
4100336,,ten noorden van de Hecksloot (vanaf het veer) IV 12,1020½ roeden,Jan Willemsz,,getaxeerd voor 3 Kar gld 10 st,1561,10e penn inv 74 I fol 34v,,,,,,,
4100337,,ten noorden van de Hecksloot (vanaf het veer) IV 13,4933 roeden,Bouwen Willemsz [van Poelenburch],,getaxeerd voor 34 Kar gld,1561,10e penn inv 74 I fol 34v,,,,,,,
4100338,,ten noorden van de Hecksloot (vanaf het veer) IV 14,1750 roeden,Frans Claesz tot Haerlem,Louris Gijssen  ,20 Kar gld,1561,10e penn inv 74 I fol 34v,,,,,,,
4100339,,ten noorden van de Hecksloot (vanaf het veer) IV 15,1930½ roeden,Jan Lourijsz tot Haerlem,Heyndrick Jansz,25 Kar gld,1561,10e penn inv 74 I fol 34v,,,,,,,
4100340,,ten noorden van de Hecksloot (vanaf het veer) IV 16,2584 roeden,Zweer Arisz met mr Willem Bankerisz te Amsterdam ,,getaxeerd voor 18 Kar gld,1561,10e penn inv 74 I fol 34v,,,,,,,
4100341,,ten noorden van de Hecksloot (vanaf het veer) IV 17,2490½ roeden,de commenduer met Willem Luddolfsz gemeen,Dirck Claesz,getaxeerd voor de commandeur: 7 Kar gld 10 st; Willem Ludolfsz: 11 Kar gld ,1561,10e penn inv 74 I fol 34v,,,,,,,
4100342,,ten noorden van de Hecksloot (vanaf het veer) IV 18,2261 roeden met meer ,Gerrit Stevensz tot Haerlem,Aris Maertensz,28 Kar gld,1561,10e penn inv 74 I fol 34v,,,,,,,
4100343,,"ten noorden van de Hecksloot (vanaf het veer) IV 19, 20",1303 roeden (IV 19) en 863 roeden (IV 20 ),Gerrit Allartsz,,getaxeerd voor 5 Kar gld,1561,10e penn inv 74 I fol 35,,,,,,,
4100344,,ten noorden van de Hecksloot (vanaf het veer) IV 21,863 roeden,de heer van Assendelft,Gerrit Allertsz,zie fol 24,1561,10e penn inv 74 I fol 35,,,,,,,
4100345,,ten noorden van de Hecksloot (vanaf het veer) IV 22,1287½ roeden,Ariaen Gerritsz tot Wyk op Zee ,Jan Woutersz ,zie fol 22,1561,10e penn inv 74 I fol 35,,,,,,,
4100346,,ten noorden van de Hecksloot (vanaf het veer) IV 23,1700½ roeden,Barijs tot Utrecht met  Ariaen Gerritsz gemeen ,Huijck Heyndricsz,Barijs huur £ 10; Ariaens huur ½ vat boter (getaxeerd voor 12 £ ) ,1561,10e penn inv 74 I fol 35,,,,,,,
4100347,,ten noorden van de Hecksloot (vanaf het veer) IV 24,615½ roeden,Jan Pietersz tot Haerlem ,Cornelis Pietersz,8 £ ,1561,10e penn inv 74 I fol 35,,,,,,,
4100348,,ten noorden van de Hecksloot (vanaf het veer) IV 25,1431½ roeden,Jan van Bekesteyn tot Amsterdam,Huijch Heyndricsz,11 £ ,1561,10e penn inv 74 I fol 35,,,,,,,
4100349,,ten noorden van de Hecksloot (vanaf het veer) IV 26,455½ roeden,Pieter Frederixz tot Haerlem,Tonis Laurensz,6 £ ,1561,10e penn inv 74 I fol 35,,,,,,,
4100350,,ten noorden van de Hecksloot (vanaf het veer) IV 27,1066 roeden,Brecht Stanssen tot Amsterdam ,Bouwen Dircsz,11 £ ,1561,10e penn inv 74 I fol 35v,,,,,,,
4100351,,ten noorden van de Hecksloot (vanaf het veer) IV 28,927½ roeden,heer Joest tot Leyden ,Louris Jansz,7 £ 10 st,1561,10e penn inv 74 I fol 35v,,,,,,,
4100352,,ten noorden van de Hecksloot (vanaf het veer) IV 29,917½ roeden,"Gerrit Claesz, Gerrit Cornelisz en Louris Gerritsz met Louris Splintersz en zijn broer  ", ,getaxeerd voor 5 £ ,1561,10e penn inv 74 I fol 35v,,,,,,,
4100353,,ten noorden van de Hecksloot (vanaf het veer) IV 30,2469 roeden,Claes Fransz tot Enchuijssen,Huijck Heyndricsz en Gerrit Gerritsz  ,29 £ ,1561,10e penn inv 74 I fol 35v,,,,,,,
4100354,,ten noorden van de Hecksloot (vanaf het veer) IV 31,985½ roeden,Gerrit Allertsz,,getaxeerd voor 5 £ ,1561,10e penn inv 74 I fol 35v,,,,,,,
4100355,,ten noorden van de Hecksloot (vanaf het veer) IV 32,900 roeden,Dirck Gerritszs kinderen tot Haerlem ,Louris Gerritsz ,9 £ ,1561,10e penn inv 74 I fol 35v,,,,,,,
4100356,,ten noorden van de Hecksloot (vanaf het veer) IV 33,1011 roeden,Jan Baen,Gerrit Gerritsz,15 £  5 st,1561,10e penn inv 74 I fol 35v,,,,,,,
4100357,,ten noorden van de Hecksloot (vanaf het veer) IV 34,1099 roeden,Bouwen Willemsz [van Poelenburch],                ,getaxeerd voor 7 £ ,1561,10e penn inv 74 I fol 35v,,,,,,,
4100358,,ten noorden van de Hecksloot (vanaf het veer) IV 35,1166 roeden,de Heilige Geestmeesters en Pieter Jansz roedt ,Cornelis Gyssen,an zo ?,1561,10e penn inv 74 I fol 35v,,,,,,,
4100359,,ten noorden van de Hecksloot (vanaf het veer) IV 36,3405 roeden,"Gerrit Claesz, Gerrit Cornelisz, Louris Gerritsz, Louris Splintersz met zijn broer Claes en zuster    ",,getaxeerd voor 19 £ 10 st,1561,10e penn inv 74 I fol 35v,,,,,,,
4100360,,ten noorden van de Hecksloot (vanaf het veer) IV 37,1240 roeden,Hoessen Reyersz tot Uitgeest,,getaxeerd voor 8 £ ,1561,10e penn inv 74 I fol 36,,,,,,,
4100361,,ten noorden van de Hecksloot (vanaf het veer) IV 38,1240 roeden,"Jacop van Huessen, te Haerlem",Zweer Arijsz van Utgeest  ,10 £ ,1561,10e penn inv 74 I fol 36,,,,,,,
4100362,,ten noorden van de Hecksloot (vanaf het veer) IV 39,1995 roeden,Louris Splintersz,,getaxeerd voor 13 £ ,1561,10e penn inv 74 I fol 36,,,,,,,
4100363,,ten noorden van de Hecksloot (vanaf het veer) IV 40,1255½ roeden en nog 1255½ roeden ,Joffr Canter tot Utrecht,Cornelis Petersz met Griet Pieter Nannen ,15 £ ,1561,10e penn inv 74 I fol 36,,,,,,,
4100364,,ten noorden van de Hecksloot (vanaf het veer) IV 41,783 roeden,Wouter van Bekesteyn,Simon Snijder,8 £ 10 st,1561,"10e penn inv 74 I fol 36, 17v, 23v, 30v, 37 ",,,,,,,
4100365,,ten noorden van de Hecksloot (vanaf het veer) IV 42,917½ roeden met meer ,de abt van Egmont,Maritgen Maerten Pietersz ,15 £ ,1561,10e penn inv 74 I fol 36,,,,,,,
4100366,,ten noorden van de Hecksloot (vanaf het veer) IV 43,1088 roeden,"Aernt Cornelisz Croock, tot Amsterdam",Jan Gerritsz en Aelbert Dircsz ,13 £ ,1561,10e penn inv 74 I fol 36v,,,,,,,
4100367,,ten noorden van de Hecksloot (vanaf het veer) IV 44,1067 roeden,het Vrouwengilt tot Haerlem,Willem Dircsz,7 £ 10 st,1561,10e penn inv 74 I fol 36v,,,,,,,
4100368,,ten noorden van de Hecksloot (vanaf het veer) IV 45,306½ roeden,aelmismeesters,de erfgenamen van Claes Coster,2 £,1561,10e penn inv 74 I fol 36v,,,,,,,
4100369,,ten noorden van de Hecksloot (vanaf het veer) IV 46,1319 roeden,Jasper Dirck Cocken,Cornelis Engelsz,15 £ ,1561,10e penn inv 74 I fol 36v,,,,,,,
4100370,,ten noorden van de Hecksloot (vanaf het veer) IV 47,342 roeden,Bely Pietersdochter en Jan Pietersdochter,,getaxeerd voor 1 £ 15st,1561,10e penn inv 74 I fol 36v,,,,,,,
4100371,,ten noorden van de Hecksloot (vanaf het veer) IV 48,272 roeden met meer,mr. Reijer tot Amsterdam,Lambert Willem en Aelbert Doevensz,10 £ ,1561,10e penn inv 74 I fol 36v,,,,,,,
4100372,,ten noorden van de Hecksloot (vanaf het veer) IV 49,450 roeden,Gerrit Allertsz,Pieter Cornelisz Bloem,4 £ 10 st  ,1561,10e penn inv 74 I fol 36v,,,,,,,
4100373,,ten noorden van de Hecksloot (vanaf het veer) IV 50,892 roeden,Jan Pietersz,Lambert Willemsz en Marij,8 £ ,1561,10e penn inv 74 I fol 36v,,,,,,,
4100374,,ten noorden van de Hecksloot (vanaf het veer) IV 51,533 roeden,Cornelis Gerritsz,,getaxeerd voor 3 £ ,1561,10e penn inv 74 I fol 37,,,,,,,
4100375,,ten noorden van de Hecksloot (vanaf het veer) IV 52,550½ roeden met meer,mr. Reijer en Trijn Velsermans kinderen,Dirck Dircksz en Claes Dircsz,23 £ ,1561,10e penn inv 74 I fol 37,,,,,,,
4100376,,ten noorden van de Hecksloot (vanaf het veer) IV 53,478½ roeden,Ariaen Gerritsz  ,,getaxeerd voor 2 £  10 st,1561,10e penn inv 74 I fol 37,,,,,,,
4100377,,ten noorden van de Hecksloot (vanaf het veer) IV 54,478 roeden met meer ,de Heilige Geestmeesters te Haerlem ,Albert Doevensz,11 £ 10 st,1561,10e penn inv 74 I fol 37,,,,,,,
4100378,,ten noorden van de Hecksloot (vanaf het veer) IV 55,464 roeden met meer,Jan Duvesz tot Amsterdam,Parritden Cornelisz,16 £ ,1561,10e penn inv 74 I fol 37,,,,,,,
4100379,,ten noorden van de Hecksloot (vanaf het veer) IV 56,471 roeden,Simon Znijder (Zuijder),,getaxeerd voor 2 £ 15 st,1561,10e penn inv 74 I fol 37,,,,,,,
4100380,,ten noorden van de Hecksloot (vanaf het veer) IV 57,1160 roeden,de heer van Assendelft,Pieter Gijsbertsz,9 £  10 st,1561,10e penn inv 74 I fol 37,,,,,,,
4100381,,ten noorden van de Hecksloot (vanaf het veer) IV 58,911 roeden,heer Adriaen [van Egmont],,getaxeerd voor 7 £ ,1561,10e penn inv 74 I fol 37,,,,,,,
4100382,,ten noorden van de Hecksloot (vanaf het veer) IV 59,1023 roeden,Jan Thonisz,Wouter Cornelisz,12 £ ,1561,10e penn inv 74 I fol 37,,,,,,,
4100383,,ten noorden van de Hecksloot (vanaf het veer) IV 60,1590 roeden,Pieter Jacopsz,,getaxeerd voor 10 £ ,1561,10e penn inv 74 I fol 37,,,,,,,
4100384,,ten noorden van de Hecksloot (vanaf het veer) IV 61,2260 roeden,Dirck Claes Meijen ,Rung Willemsz (Rong Willemsz),25 £ ,1561,10e penn inv 74 I fol 37v,,,,,,,
4100385,,ten noorden van de Hecksloot (vanaf het veer) IV 62,494½ roeden,mr Reijer te Amsterdam en Trijn Frans Velsermans kinderen,Dirck Dircksz ende Claes Dircsz ,zie fol 37,1561,10e penn inv 74 I fol 37v,,,,,,,
4100386,,ten noorden van de Hecksloot (vanaf het veer) IV 63,1675 roeden,die commenduer,Cornelis Gyssen ,14 £ ,1561,10e penn inv 74 I fol 37v,,,,,,,
4100387,,ten noorden van de Hecksloot (vanaf het veer) IV 64,656 roeden,Jan Pietersz,,getaxeerd voor 4 £ ,1561,10e penn inv 74 I fol 37v,,,,,,,
4100388,,ten noorden van de Hecksloot (vanaf het veer) IV 65a,971 roeden,de Reguliers ,Machtelt Aelberts,zie fol 37v,1561,10e penn inv 74 I fol 37v,,,,,,,
4100389,,ten noorden van de Hecksloot (vanaf het veer) IV 65b,2614½ roeden,heer Jan Bets,,20 £ ,1561,10e penn inv 74 I fol 37v,,,,,,,
4100390,,ten noorden van de Hecksloot (vanaf het veer) IV 66,2614½ roeden,Gerrit Allertsz,,getaxeerd voor 15 £ ,1561,10e penn inv 74 I fol 37v,,,,,,,
4100391,,ten noorden van de Hecksloot (vanaf het veer) IV 67,1372½ roeden,de Heilige Geestmeesters en Pieter Jansz Roedt ,Ysbrant Willemsz,19 £ ,1561,10e penn inv 74 I fol 37v,,,,,,,
4100392,,ten noorden van de Hecksloot (vanaf het veer) IV 68,926 roeden,Gerrit Allertsz,Dirck Heijndricsz,10 £ ,1561,10e penn inv 74 I fol 38,,,,,,,
4100393,,ten noorden van de Hecksloot (vanaf het veer) IV 69,1751 roeden,Gerrit Claesz en Laurens Gerritsz,,getaxeerd voor 9 £  ,1561,10e penn inv 74 I fol 38,,,,,,,
4100394,,ten noorden van de Hecksloot (vanaf het veer) IV 70,1004 roeden,Claes Claesz,Ysbrant Willemsz,9 £ ,1561,10e penn inv 74 I fol 38,,,,,,,
4100395,,ten noorden van de Hecksloot (vanaf het veer) IV 71,1331 roeden,de heer van Assendelft,Ysbrant Willemsz; fol 55: Ysbrant Willem Siericsz ,12 £ 10 st,1561,"10e penn inv 74 I fol 38, 74 II fol 53v",,,,,,,
4100396,,ten noorden van de Hecksloot (vanaf het veer) IV 72,2531 roeden [2631 ?],Dirck Hem tot Amsterdam,Huijck Jansz en Dirck Claesz ,23 £ ,1561,10e penn inv 74 I fol 38,,,,,,,
4100397,,ten noorden van de Hecksloot (vanaf het veer) IV 73,1268½ roeden,Cornelis Gerritsz ,,getaxeerd voor 7 £ ,1561,10e penn inv 74 I fol 38,,,,,,,
4100398,,ten noorden van de Hecksloot (vanaf het veer) IV 74,1212½ roeden,mr Jan van Ilpendam,Aelbert Doevensz en Lambert Willem  ,8 £ (8 Kar gld),1561,10e penn inv 74 I fol 38,,,,,,,
4100399,,ten noorden van de Hecksloot (vanaf het veer) IV 75,1700 roeden,de abt van Egmont,Ysbrant Willem,14 £ 19 st,1561,10e penn inv 74 I fol 38v,,,,,,,
4100400,,ten noorden van de Hecksloot (vanaf het veer) IV 76,1488 roeden,de Regulieren buyten Alcmaer,Dirck Florysz en Louris Gijsbertsz,10 £ ,1561,10e penn inv 74 I fol 38v,,,,,,,
4100401,,ten noorden van de Hecksloot (vanaf het veer) IV 77,1200 roeden,Wouter van Bekesteyn,Simon Aelbertsz en Pieter Jansz,19 £ ,1561,10e penn inv 74 I fol 38v,,,,,,,
4100402,,ten noorden van de Hecksloot (vanaf het veer) IV 78,920 roeden,de memory in Beverwyck,Maritgen Zmits (Smits/Smit),5 £ ,1561,10e penn inv 74 I fol 38v,,,,,,,
4100403,,ten noorden van de Hecksloot (vanaf het veer) IV 79,297 roeden,Michiel Gijsbertsz,,1 Kar gld 5 st,1561,10e penn inv 74 I fol 38v,,,,,,,
4100404,,ten noorden van de Hecksloot (vanaf het veer) IV 80,494½ roeden met meer,"Lodewyk, te Amsterdam",Dirc Heijndricsz,10 £ ,1561,10e penn inv 74 I fol 38v,,,,,,,
4100405,,ten noorden van de Hecksloot (vanaf het veer) IV 81,800 roeden,de heer van Assendelft,Cors Garbrantsz ,6 £ ,1561,10e penn inv 74 I fol 38v,,,,,,,
4100406,,ten noorden van de Hecksloot (vanaf het veer) IV 82,452 roeden,Claes Willem,,getaxeerd voor 1 £ 10 st,1561,10e penn inv 74 I fol 39,,,,,,,
4100407,,ten noorden van de Hecksloot (vanaf het veer) IV 83,527 roeden,mr Reijer en Frans Velsermanskinderen,Aelbert Doevensz   ,zie fol 36,1561,10e penn inv 74 I fol 39,,,,,,,
4100408,,ten noorden van de Hecksloot (vanaf het veer) IV 84,656 roeden,Gerrit Pietersz,,getaxeerd voor 3 £ 10 st,1561,10e penn inv 74 I fol 39,,,,,,,
4100409,,ten noorden van de Hecksloot (vanaf het veer) IV 85,611½ roeden,heer Adriaen [van Egmont],,getaxeerd voor 3 £ 5 st,1561,10e penn inv 74 I fol 39,,,,,,,
4100410,,ten noorden van de Hecksloot (vanaf het veer) IV 86,724 roeden,Willem Dircsz ,,getaxeerd voor 3 £ 15 st,1561,10e penn inv 74 I fol 39,,,,,,,
4100411,,ten noorden van de Hecksloot (vanaf het veer) IV 87,362 roeden met meer,het gasthuis tot Wyck op  Zee ,Jan Laurensz,6 £ 13 st,1561,10e penn inv 74 I fol 39,,,,,,,
4100412,,ten noorden van de Hecksloot (vanaf het veer) IV 88,362 roeden met meer,Pieter Gerritsz tot Cast[ricum],Claes Engelsz,10 £ ,1561,10e penn inv 74 I fol 39,,,,,,,
4100413,,ten noorden van de Hecksloot (vanaf het veer) IV 89,674 roeden,Jacob van der Huuf tot Amsterdam,Hubert Pietersz,9 £ 10 st,1561,10e penn inv 74 I fol 39v,,,,,,,
4100414,,ten noorden van de Hecksloot (vanaf het veer) IV 90,762½ roeden,Cornelis Dircsz,,getaxeerd voor 4 £ ,1561,10e penn inv 74 I fol 39v,,,,,,,
4100415,,ten noorden van de Hecksloot (vanaf het veer) IV 91,634 roeden,mr Reijer en Trijn Frans Velsermans kinderen ,Lambert en Aelbert Doeven,zie fol 56,1561,10e penn inv 74 I fol 39v,,,,,,,
4100416,,ten noorden van de Hecksloot (vanaf het veer) IV 92,585 roeden,Adriaen Dircsz,,getaxeerd voor 2 £ 15 st,1561,10e penn inv 74 I fol 39v,,,,,,,
4100417,,ten noorden van de Hecksloot (vanaf het veer) IV 93,570 roeden,Dirck Batten,,getaxeerd voor 2 £ 15 st,1561,10e penn inv 74 I fol 39v,,,,,,,
4100418,,ten noorden van de Hecksloot (vanaf het veer) IV 94,612½ roeden,Wouter tollenaer,Lambert Willemsz ,7 £ ,1561,10e penn inv 74 I fol 39v,,,,,,,
4100419,,ten noorden van de Hecksloot (vanaf het veer) IV 95,583 roeden,Tylman Tylmansz,,getaxeerd voor 3 £ ,1561,10e penn inv 74 I fol 39v,,,,,,,
4100420,,ten noorden van de Hecksloot (vanaf het veer) IV 96,3314½ roeden,Willem Luddolfsz ,Cornelis Dircsz en Lauris Cornelisz,32 £ ,1561,10e penn inv 74 I fol 39v,,,,,,,
4100421,,ten noorden van de Hecksloot (vanaf het veer) IV 97,1827 roeden,Tryn Frans Velsermans tot Haerlem,Jan Lourisz,10 £ ,1561,10e penn inv 74 I fol 40 ,,,,,,,
4100422,,ten noorden van de Hecksloot (vanaf het veer) IV 98,1220 roeden,Louris Willemsz,,getaxeerd voor 5 £ 10 st,1561,10e penn inv 74 I fol 40 ,,,,,,,
4100423,,ten noorden van de Hecksloot (vanaf het veer) IV 99,403 roeden met meer,Willem Luddolfsz,Dirck Jansz,9 £ ,1561,10e penn inv 74 I fol 40 ,,,,,,,
4100424,,ten noorden van de Hecksloot (vanaf het veer) IV 100,803 roeden,Guert Allerts,,getaxeerd voor 1 £ 10 st,1561,10e penn inv 74 I fol 40 ,,,,,,,
4100425,,ten noorden van de Hecksloot (vanaf het veer) IV 101,708 roeden,Frans Dircsz kinderen,Pieter Bloem,5 £ ,1561,10e penn inv 74 I fol 40 ,,,,,,,
4100426,,ten noorden van de Hecksloot (vanaf het veer) IV 102,4632 roeden,Dirck de Vries,Jacob Hillebrantsz,zie fol 39 (29?),1561,10e penn inv 74 I fol 40 ,,,,,,,
4100427,,ten noorden van de Hecksloot (vanaf het veer) IV 103,3430½ roeden,de juffr van Scoeten's (s)zwager (van Schoten),Heyndrick Hertelijfsz,40 £ ,1561,10e penn inv 74 I fol 40 ,,,,,,,
4100428,,ten noorden van de Hecksloot (vanaf het veer) IV 104,2610½ roeden,Cornelis Cornelisz,Louris Dircsz ,18 £ ,1561,10e penn inv 74 I fol 40 ,,,,,,,
4100429,,ten noorden van de Hecksloot (vanaf het veer) IV 105,1959 roeden,Gerrit Claesz,,10 £ ,1561,10e penn inv 74 I fol 40 ,,,,,,,
4100430,,ten noorden van de Hecksloot (vanaf het veer) IV 106,1515½ roeden,de commenduer,Pieter Dircxz,9 £ ,1561,10e penn inv 74 I fol 40v ,,,,,,,
4100431,,ten noorden van de Hecksloot (vanaf het veer) IV 107,1624 roeden,Frans Cornelisz te Leiden,Pieter Gysbertsz,9 £ 10 st,1561,10e penn inv 74 I fol 40v ,,,,,,,
4100432,,ten noorden van de Hecksloot (vanaf het veer) IV 108,795½ roeden,Claes Ysbrantsz,,getaxeerd voor 4 £ ,1561,10e penn inv 74 I fol 40v ,,,,,,,
4100433,,ten noorden van de Hecksloot (vanaf het veer) IV 109,1404 roeden,Aelbert Doevensz en Lambert Willemsz,,getaxeerd voor 4 £ ,1561,10e penn inv 74 I fol 40v ,,,,,,,
4100434,,ten noorden van de Hecksloot (vanaf het veer) IV 110,719 roeden,Gerrit Allertsz,Jacop Haecken,4 £ ,1561,10e penn inv 74 I fol 40v ,,,,,,,
4100435,,ten noorden van de Hecksloot (vanaf het veer) IV 111,393 roeden,Guert Allerts,,getaxeerd voor 2 £ ,1561,10e penn inv 74 I fol 40v ,,,,,,,
4100436,,ten noorden van de Hecksloot (vanaf het veer) IV 112,526 roeden met meer,Tijs Meijnsz tot Egmont,Tonis Lourisz,13 £ ,1561,10e penn inv 74 I fol 40v ,,,,,,,
4100437,,ten noorden van de Hecksloot (vanaf het veer) IV 113,354 roeden met meer,Dirck van Huessen tot Haerlem,Jan Lourisz,8 £  of 8 Kar gld ,1561,10e penn inv 74 I fol 40v ,,,,,,,
4100438,,ten noorden van de Hecksloot (vanaf het veer) IV 114,449½ roeden,Cornelis Gerrits,,2 £ ,1561,10e penn inv 74 I fol 41,,,,,,,
4100439,,ten noorden van de Hecksloot (vanaf het veer) IV 115,228 roeden,de abt (van Egmond),Katrijn Claes Pietersz,zie fol 22,1561,10e penn inv 74 I fol 41,,,,,,,
4100440,,ten noorden van de Hecksloot (vanaf het veer) IV 116,242½ roeden met meer,Claes v Huessens kint,Claes Bertomoleusz,6 £ 10 st,1561,10e penn inv 74 I fol 41,,,,,,,
4100441,,ten noorden van de Hecksloot (vanaf het veer) IV 117,2159 roeden,Dirck de Vries,Jacop Hillebrantsz,zie fol 40,1561,10e penn inv 74 I fol 41,,,,,,,
4100442,,ten noorden van de Hecksloot (vanaf het veer) IV 118,4555 roeden,Juffrouw van Rewijck,Bely Pietersdr (= Belij Dirck Lourisz weduwe),fol 29: de huur,1561,10e penn inv 74 I fol 41,,,,,,,
4100443,,ten noorden van de Hecksloot (vanaf het veer) IV 119,426 roeden,Guert Allerts,,getaxeerd voor 2 £,1561,10e penn inv 74 I fol 41,,,,,,,
4100444,,ten noorden van de Hecksloot (vanaf het veer) IV 120,575 roeden ,Ariaen Simonsz,Louris Pietersz ,5 £ ,1561,10e penn inv 74 I fol 41,,,,,,,
4100445,,ten noorden van de Hecksloot (vanaf het veer) IV 121,454 roeden,Ariaen Gerritsz,Guert Willem,5 £ ,1561,10e penn inv 74 I fol 41,,,,,,,
4100446,,ten noorden van de Hecksloot (vanaf het veer) IV 122,1136 roeden met meer,de Reguliers bij Haerlem,Pieter Jansz Nel en Pieter Gerritsz ,14 £ ,1561,10e penn inv 74 I fol 41,,,,,,,
4100447,,ten noorden van de Hecksloot (vanaf het veer) IV 123,652½ roeden met meer,de Reguliers buiten Haerlem,Pieter Jacopsz en Cornelis Jacopsz,11 £ 10 st,1561,10e penn inv 74 I fol 41v,,,,,,,
4100448,,ten noorden van de Hecksloot (vanaf het veer) IV 124,150 roeden met meer ,St Jacopsgilt tot Haerlem,Aelbert Dircsz,7 £ ,1561,10e penn inv 74 I fol 41v,,,,,,,
4100449,,ten noorden van de Hecksloot (vanaf het veer) IV 125,1425 roeden,Gerrit Steffensz te Haerlem,Aris Maertensz,zie fol 34,1561,10e penn inv 74 I fol 41v,,,,,,,
4100450,,ten noorden van de Hecksloot (vanaf het veer) IV 126,1621 roeden,de aelmismeesters en Frans Dircsz kinderen op het Zee,Pieter Bloem,11 £ 5 st,1561,10e penn inv 74 I fol 41v,,,,,,,
4100451,,ten noorden van de Hecksloot (vanaf het veer) IV 127,449 roeden,de heer van Assendelft ,Louris Gerritsz ,2 £ ,1561,10e penn inv 74 I fol 41v,,,,,,,
4100452,,ten noorden van de Hecksloot (vanaf het veer) IV 128,124 roeden,de abt van Egmond,Lambert Willem,….st,1561,10e penn inv 74 I fol 41v,,,,,,,
4100453,,ten noorden van de Hecksloot (vanaf het veer) IV 129,3049½ roeden,Jan Jansz tot Amsterdam,Cornelis Pietersz,24 £ ,1561,10e penn inv 74 I fol 41v,,,,,,,
4100454,,ten noorden van de Hecksloot (vanaf het veer) IV 130,1417½ roeden,Maerten Jacobs tot Haerlem,Willem Dircksz,4 £ 10 st,1561,10e penn inv 74 I fol 41v,,,,,,,
4100455,,ten noorden van de Hecksloot (vanaf het veer) IV 131,2759 roeden met meer,de Regulieren in Beverwyk,Dirck Cornelisz en Claes Jansz,12 £ ,1561,10e penn inv 74 I fol 41v,,,,,,,
4100456,,ten noorden van de Hecksloot (vanaf het veer) IV 132,1696½ roeden,Willem Luddolfsz,Peter Bloem en Claes Engelsz,12 £ ,1561,10e penn inv 74 I fol 42,,,,,,,
4100457,,ten noorden van de Hecksloot (vanaf het veer) IV 133,481 roeden,Heyndrick Jansz,Pieter Jansz,"3 £ 12,5 st",1561,10e penn inv 74 I fol 42,,,,,,,
4100458,,ten noorden van de Hecksloot (vanaf het veer) IV 134,1520½ roeden,heer Adriaen [van Egmond],Dirck Claesz,zie fol 32,1561,10e penn inv 74 I fol 42,,,,,,,
4100459,,ten noorden van de Hecksloot (vanaf het veer) IV 135,1762 roeden ,de Ziecken tot Haerlem,Cornelis Pietersz,9 £ ,1561,10e penn inv 74 I fol 42,,,,,,,
4100460,,ten noorden van de Hecksloot (vanaf het veer) IV 136,308½ roeden,de Reguliers in de Beverwijck,Pieter Gerritsz,1 £ ,1561,10e penn inv 74 I fol 42,,,,,,,
4100461,,ten noorden van de Hecksloot (vanaf het veer) IV 137,678 roeden met meer,mr Maerten [Jacobsz] tot Haerlem,Dirck Dircksz en Claes Dircsz,16 £ ,1561,10e penn inv 74 I fol 42,,,,,,,
4100462,,ten noorden van de Hecksloot (vanaf het veer) IV 138,1787 roeden,Willem Dircsz gemeen met de Regulieren in  Beverwijk ,,8 £ 5 st,1561,10e penn inv 74 I fol 42,,,,,,,
4100463,,ten noorden van de Hecksloot (vanaf het veer) IV 139,"2640 roeden, haar huis met land","Anna Wouter Gerritsz weduwe, gemeen met de Regulieren in Beverwijk ",,10 £ ,1561,10e penn inv 74 I fol 42v,,,,,,,
4100464,,ten noorden van de Hecksloot (vanaf het veer) IV 140,920 roeden,Margriet Pieter Hugensz weduwe,,getaxeerd voor 3 £ ,1561,10e penn inv 74 I fol 42v,,,,,,,
