id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,
1060304,1589-12-20,"Foreest, van","Aeff Thijssendochter weduwe van mr Jacob van Foreest: koopt met consent van haar zwager Symon Jansz van Hoorn, nu poorter te Alkmaar, een huis en erf te Alkmaar (134 fol 36v); 1590-02-08: zij is borg voor Jacob van Foreest, 1590-04-24: belend (fol 81v); 1592-05-02: Aeff Thijssen verkoopt huis en erf te Alkmaar met consent van haar zwager (135 fol 31)",O.R.A. Alkmaar,,,,
1060305,1593-01-15,"Foreest, van","Aeff Thijssendochter weduwe van mr Jacob van Foreest: verkoopt met consent van haar zwager Symon Jansz Horen, waert in Coelen, een erf van haar boomgaert te Alkmaar (135 fol 84); 1594-02-08: belend (fol 213v); 1597-05-10: zij koopt een hoekje erf te Almaar (137 fol 60v); 1595-02-27: zij koopt huis en erf met consent van Symon Jansz Horen (136 fol 62v); 1595-04-21: idem verkoopt zij huis en erf (fol 90); 1595-04-24: zij stelt zich borg (fol 94); 1595-06-26: belend (fol 122v, 123)",O.R.A. Alkmaar,,,,
1060306,1590-02-08,"Foreest, van","Jacob van Foreest verkopt huis en erf genaamd ""Coelen"" aan de Langestraat te Alkmaar (134 fol 54); 1590-02-08: zijn schoonvader is Adriaen Jansz van den Nyenburg; 1591-02-05: heeft procuratie van zijn schoonvader, verkoopt aan Jannitgen Jansdochter weduwe van Jan van Foreest een camer te Alkmaar (fol 141); 1591-02-05: secretaris van Gecommiteerde Raden als gemachtigde van zijn schoonvader (fol 141v)",O.R.A. Alkmaar,,,,
1060307,1593-05-19,"Foreest, van","Jannitje Jans weduwe van Jan van Foreest met haar zwager Dirk van Foreest als voogd, verkopen huis en erf te Alkmaar (135 fol 151); 1594-04-16: zij verkoopt een achterhuis en erf aldaar (fol 239v); 1591-02-05: zij koopt een camer te Alkmaar (134 fol 141)",O.R.A. Alkmaar,,,,
1060308,1597-05-13,"Foreest, van","Jannitje Jans weduwe van Jan van Foreest met haar zwager Lucas Claesz Bruijn een huis en erf te Alkmaar (137 fol 61); 1595-02-07: zij koopt een huis en erf te Alkmaar (136 fol 51v) (Jan was in zijn leven schout van Alkmaar); 1599-10-30: belend (318 fol 75); 1582-04-07: de weduwe van Jan van Foreest belend (132 fol 62); 1583-04-28 (fol 105), 1583-06-07 (fol 109), 1583-09-12 (fol 113), 1586-02-18 (fol 186), 1601-08-16 (138 fol 157), 1603-03-07 (139 fol 20): idem belend",O.R.A. Alkmaar,,,,
1060309,1596-05-28,"Foreest, van","Aefgen Thijs weduwe van dr Jacob van Foreest, schoonmoeder van Symon Jansz Horen, waert in Coelen, poorter van Alkmaar: zij koopt van laatstgenoemde een hoekje land aldaar (136 fol 268); 1596-06-01: met consent van haar zwager Symon Jansz Horen verkoopt zij een stuk land (fol 270); 1582-05-21 (132 fol 73), 1586-03-06 (fol 189v), 1586-03-19 (fol 191v): mr Jacob van Foreest belend; 1601-05-30: de weduwe verkoopt een hoekje land (138 fol 146v); 1601-06-28: de weduwe, belend (fol151v)",O.R.A. Alkmaar,,,,
1060310,1597-02-06,"Foreest, van","Tryntje Adams weduwe van Dirk van Foreest, haar zoon verkoopt aan dr Pieter van Foreest een huis en erf in de Langestraat te Alkmaar, belend door haarzelf (137 fol 21); 1597-02-28: belend (fol 52v)",O.R.A. Alkmaar,,,,
1060311,1599-09-11,"Foreest, van",dr Adam van Foreest: ontvanger van de gemene middelen (894),O.R.A. Alkmaar,,,,
1060312,1600-06-26,"Foreest, van","Jacob van Foreest, secretaris van Gecommiteerde Raden van West Friesland en het Noorderquartier, koopt huis en erf te Alkmaar (138 fol 108v), 1590-12-03: reeds door Maerten Doeven aan Jacob van Foreest verkocht; 1602-03-11: belend (fol 192); 1602-03-22: hij verkoopt de ""Bailius bogaert"" (fol 196v); 1603-05-09: belend (139 fol 41)",O.R.A. Alkmaar,,,,
1060313,1602-03-07,"Foreest, van",Griete van Foreest heeft rente op een huis en erf te Alkmaar (138 fol 191),O.R.A. Alkmaar,,,,
1060314,1603-04-22,"Foreest, van",Jannetgen Jansdochter weduwe van Johan van Foreest belend te Alkmaar (139 fol 35),O.R.A. Alkmaar,,,,
1060315,1605-05-24,"Foreest, van","dr Adam van Foreest, rentmeester van de gemene lants middelen onder t quartier van Alkmaar, eigenaar voor 12/21 part, en Jacob van Foreest, secretaris van Gecomm Raden, voor 1/21 part, verkopen 13/21 part van een huis en erf aan Jan Pietersz Stoop die al 8/21 part bezit, belend de weduwe van Dirck van Foreest (139 fol 191)",O.R.A. Alkmaar,,,,
1060316,1609-06-01,"Foreest, van",Jan Pietersz Hoochtwoud man van Hilgont van Foreest verkoopt huis en erf te Alkmaar (….. ?),O.R.A. Alkmaar,,,,
1060317,1609-09-29,"Foreest, van","compareert Jochem ? van Foreest ""uyt cragte van seeckere procuratie bij ede comparants vader Jochem van Foreest, secretaris van de Gecomm. Raden van Staten van West Friesland""",O.R.A. Beverwijk 1208 fol 70,,,,
1060318,1596-1639,"Foreest, van","diverse functies te Alkmaar: dr Adam van Foreest, op 1640-05-21 begraven","Bruinvis: Alkmaar no 194, p 13, 18, 32",,,,
1060319,1603-1668,"Foreest, van","vroedschap of secretaris van Alkmaar: Nanning van Foreest, begraven 1668-12-06","Bruinvis: Alkmaar no 236, p 35",,,,
1060320,1755-1782,"Foreest, van","vroedschap of burgemeester van Alkmaar: mr Dirk van Foreest, heer van Schoorl en Camp, stierf 1782-03-27","Bruinvis: Alkmaar no 430, p 18, 25",,,,
1060321,1758-1783,"Foreest, van","vroedschap, schepen of schout van Alkmaar: jhr mr Jacob van Foreest, heer van Petten en Nolmerban, stierf 1783-11-06 [er staat 1763]","Bruinvis: Alkmaar no 433, p 25",,,,
1060322,1778-1788,"Foreest, van","schepen van Alkmaar: mr Cornelis van Foreest, heer van Schoorl en Camp, ontslagen 1788-05-30, stierf 1825-03-24","Bruinvis: Alkmaar no 453, p 25",,,,
1060323,1631-04-15,"Foreest, van","Niclas van Ryck van Ryetwyck, schout van Beverwijk, gaat door tussenspreken van Cornelis van Foreest en Jacob Jacobsz een akkoord aan",O.R.A. Beverwijk 1210 fol 202,,,,
1060324,1338,"Forettiere, van","Ysebrand die forettiere, zijn broer Dirc en Jan die forettiere ontvangen van de gravin ""clederen""",Rek Houtvester dl VII p 118,,,,
1060325,1344-1345,"Forettiere, van","""van 20 ellen lakens die Jan veren Haeskinez had en Ysbrand die forettier hoerlijc 10 ellen, die ellen 7 gr maket 4 £ 16sc 8d; van 6 voeders tote der hout vesters clieder ende der jaghers ende der forettiers 30sc""",Rek Houtvester dl VII p 168,,,,
1060326,1535,Forier,"Jan Tisen (Thijson) alias Forier contra Hughe Adriaensz, goudsmid in den Hage, die geknoeid zou hebben met Barbara, vrouw van Jan Thisen die buiten medeweten van haar man een lijfrente gekocht had (via Hughe) tbv een nicht die kloosterlinge was; 1528-1535: Jasper van Gelre veroordeeld als wanbetaler te Dordrecht, zou verguld vaatwerk in onderpand gegeven hebben ten huize van Jan Forier in den Haag, dat op 11 maart 1532 in beslag genomen werd","Grote Raad Mechelen Beroepen Holland dl IV dossier 389/1, 388",,,,
1060327,1628-04,Fortuyn,"losrenten kantoor Medemblik: verschijndag 06-08, Cornelis Olphertsz voor Fortuyn, fl 1600 - fl 64",Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1060328,1637-04-23,Fortuyn,"losrenten kantoor Medemblik: verschijndag 05-15, Jacob Jansz Fortuijn, fl 3200 - fl 128, afgelost 1777-10-30",Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1060329,1389-1390,Fouter,"Louwe Feytersz: de tienden van Opdam 3 £ (828 fol 16v); (fol 18) Louwe Foytersz ""die watertocht buten Spanbroec 5 £"", van de Wogmeer 29 £ 12d, van de Borderopsmeer 22 £ 5sc; 1400: (830 fol 8v) Louwe Foutersz: van de tienden van Hensbroec 16sc, van de tienden van Opdam 22sc; (fol 10) van den clochuse tot Hensbroec 12£; 1403-1404: (834 fol 8v) Louwe Foutersz van de tienden van Hensbroec 40sc, van Opdam 40sc",Rek Rentmeester Kennemerland,,,,
1060330,1401,Fouter,"Louwe Foutersz: van de tienden van Hensbroec 55sc, van Opdam 50 sc, van die van Watwege 50 sc (831 fol 8v); (fol 10) van de clochuse tot Hensbroec 12 £, van Borderopsmeer 5 £; 1402: (832 fol 8v) van de tienden van Hensbroec 50sc, van Opdam 50sc, (fol 10) van de clochuse tot Hensbroec 12£, van Borderopsmeer 5£; 1389-1390: van de Watertocht buten Spanbroec 33 sc 6d (828 fol 28v); 1405: (836 fol 11v) die de besterfte en zwaen bewaert in Houtwouderambacht, tot Spanbroec, Opdam en Hensbroec, van zijn roc 3£",Rek Rentmeester Kennemerland,,,,
1060331,1407,Fouter,"Louwe Foutersz: (838 fol 15v) die de besterfte, pittoeren en zwaen bewaert in Vrieslant en Wognemmercogge, van zijn roc 3 £ 10sc; 1408: (839 fol 19v) die de besterfte en zwaen bewaert in Wognemmercogge, van zijn roc 3 £ 10sc; (fol 11v) van de tienden van Opmeer 10£, van Hensbroec 2£ 10sc, van Opdam 2£ 10sc, van Twisch 7£; (fol 13) dat klochuijs te Hensbroec heeft Louwe Foutersz tot den pittoren mede te aren ende daer niet of ontfaen; (fol 13v) van de watertocht buten Spanbroec 2£ 16sc",Rek Rentmeester Kennemerland,,,,
1060332,1403,Fouter,"Louwe Foutersz: (833 fol 8v) van de tienden van Hensbroec 40sc, van Opdam, 40sc; 1404-1405: (835 fol 2v) van de tienden van Opdam en Hensbroec 5 £; 1406: (837 fol 7v) van de tienden van Hensbroec en Opdam 3+3£, (fol 9) dat clochuys tot Hensbroec totte pittoren mede te aren; 1407: (838 fol 8v) van de tienden van Hensbroec 50sc, van Opdam 50sc, Midwoud en Oestenwoude 5£; (fol 10) dat clochus tot Hensbroec den pijttoren mede te azen, daerof niet ontfangen; 1409: (840 fol 26v) die de besterfte en zwanen bewaert in Wognummerkogge van zijn roc 3£ 10sc",Rek Rentmeester Kennemerland,,,,
1060333,1414,Fouter,"Louwe Foutersz: (844 fol 3v) van de tienden van Opdam en Hensbroec 3 £, (fol 5) het clochuys te Hensbroec heeft hij gehad en daarof niet ontfangen; 1413: (843 fol 4v) van de tienden van Opdam en Hensbroec 3 £, op zine brieven; (fol 6) het clochuys te Hensbroec; 1412: het clochuys te Hensbroec heeft hij gehad (842 fol 6v); 1409: (840 fol 17v) van de tienden van Hensbroec 3£, van Opdam 3£; 1424-1425: (856 fol 9v) van zijn dienst, voor zijn roc 3£; 1422-1423: (852 fol 12) afterstal van 1421 van de tiende van Hensbroec en Opdam 24 sc 8d",Rek Rentmeester Kennemerland,,,,
1060334,1424-1425,Fouter,"Louwe Foutersz: (856 fol 5v)heeft dat clochuijs te Hensbroeck tot putoir aes; 1425-1426: (857 fol 3v) de tiende van Hensbroec en Opdam, (fol 5) niet dat clochuus tot Hensbroec heeft Lou Foutersz tot putoir aes; (fol 8v) pluijmgrave in Overleker ambacht voor zijn rock 3£; 1427: (857 fol 16v) de tienden van Opdam en Hensbroec, (fol 18) heeft het clochuis aldaar, (fol 25v) pluymgrave in Overlekerambacht, voor zijn roc 3£; 1427-1428: (857 fol 36v) de tienden in Opdam en Hensbroec, daerof niet; (fol 38) het clochuys te Hensbroec; (fol 41v) pluimgrave in Overleker ambacht, zijn rock 3£; 1428-1429: (859 fol 9, fol 3v) de tienden van Opdam en Hensbroeck, (fol 5) het clochuys te Hensbroec, de watertocht buten Spanbroec 10sc, de Rijsdam en de Leek 3£ 12sc; 1429-1430: (860 fol 3v) de tienden van Opdam en Hensbroec",Rek Rentmeester Kennemerland,,,,
1060335,1413,Fouter,Jan Foutersz: van de tienden van Nubox- en Oude boxwoude 5 £ 2sc (843 fol 5); 1409: (840 fol 17v) van idem 10 £ ,Rek Rentmeester Kennemerland,,,,
1060336,1415,Fouter,Tsave Foutersz: van de tienden van Opmeer 11 £ 15sc (845 fol 3v); 1417: (847 fol 3v) van idem 16 £ 10sc; 1412: (842 fol 5) van de tienden van Wadweij 51 sc,Rek Rentmeester Kennemerland,,,,
1060337,1423-1424,Fouter,"Thomas Foutersz, Gherijt Honskoep en Pieter Dircsz die Jan Willem op hem wyst, afterstal van 1422 10 £  (854 fol 10v)",Rek Rentmeester Kennemerland,,,,
1060338,1449-1450,Fouter,Claes Jan Foutersz: van besprek van de tienden Wadwy 2 £ 14sc (880 fol 17); 1450-1451: (881 fol 5v) de tienden van Wadwey 35sc 10d,Rek Rentmeester Kennemerland,,,,
1060339,1477-1479,Fraij~,"Jacob Jan Freyen of Fraijen had op 2 mei 1477 beloofd nooit meer deel uit te maken van het gerecht, de rijkdom of Raad van Hoorn; het Hof van Holland verklaarde deze belofte nietig",Grote Raad Mechelen Beroepen Holland dl II dossier 110,,,,
1060340,"1633, 1634, 1637",Francken,schepen van Dordrecht: mr Sebastiaen Francken heer Roelofsz; 1677: Gerard Franken Genefaesz,"Balen: Dordrecht p 336, 337, 344",,,,
1060341,….-10-24,"Frankemolen, van","memoria Hermannus de Rosowe, frater noster, de quo habemus o.a. 6 sol de Ambre (Amern) de agris, quos colit H[enricus] dictus de Francmole","Memorien Stift Xanten p 129, 130",,,,
1060342,1332,"Frankemolen, van",de curte in Ambre: debitor Theodericus Frankemole,Quellen Stift Xanten p 143,,,,
1060343,1510,"Frankemolen, van",tijns to St Anthonis Amern: Pilgrom van Franckenmoelen 33 d,Quellen Stift Xanten p 488,,,,
1060344,1567,Franchet,"mr Rombout Steynemolen, secretaris van het Hof van Holland, eist van Jacob Franchet, deurwaarder, 56 £ 1 schelling; 1557-03-19: deurwaarder bij het Hof","Grote Raad Mechelen Beroepen Holland dl VII dossier 603, VI dossier 529/1",,,,
1060345,1130-1161,Franchois,"bezit van de abdij Egmond in het bisdom Utrecht, onder abt Wouter: in Suesne, Thyderico cognomento Francoys 3 ½ jugera",Bijdr Meded XXI p 181/Bijdr Hist Gen jg 1914 p 35,,,,
1060346,1753-1765,"Fremery, de","schepen van Alkmaar: Pieter de Fremery, stierf in 1765",Bruinvis: Alkmaar p 25,,,,
1060347,1399,Freijs,"Evert Freijs en heer Melis uten eng en Aleph Schelige ontvangen van de stad Zwolle 6 qu wijn, 4 qu en nog eens 4 qu",Maandrekening Stad Zwolle p 42,,,,
1060348,1371,"Friemersheim, van",uitgaven bursa Xantensis: pro 2 qua vinis propinatis Wilhelmo de Vrimersem 28d,Quellen Stift Xanten p 207,,,,
1060349,1615~,Frisvogel,"Jan Thomassen Frisvogel, luitenant onder de compagnie van kapitein de Vries, heeft 26 jaren gediend en mede als luitenant van wijlen kapitein Gijsenberch, werd gerecommandeerd door de Gecommitteerde Raden van Staten van het Noorderkwartier, solliciteert naar een kapiteinschap",Kroniek Hist Gen 1853 p 166,,,,
1060350,,"Friuli, van",genealogie,Miraeus: Opera Dipl I p 19-22,,,,
1060351,1572-06-11,Fockert,"leen van Vianen Lexmond: no 637) ½ hoeve in Achthoven, 1539-01-10: Dirc Jansz Stout na overdracht door Cors Claesz van der Maat; 1569: Adriaen Anthonisz te Meerkerk, vermeld,het leen gebruikt door de leenman die meer onkosten dan inkomsten heeft; 1572-06-11: Adriaen Brennincsz na overdracht door Anthonis Jacobsz Fockert, bevestigd door diens zoon Adriaen",Ons Voorgeslacht 07-1988 p 282,,,,
1060352,1475-03-20,Fyen,"Dierc Fyenz [Put], van Oostzanen, eiser,  contra verweerders, kerkmeesters en kapelmeesters van Oostzaan en Zaanderdam, betreffende een proces toentertijd gevoerd over twee sluizen en visserijen van Zaenderdam en in de Schinkeldijk, waarbij gevonnisd was dat Dirc de vruchten en inkomsten van beiden aan de eiser moest uitkeren, of de rechten afkopen (vonnis dd 1472-07-31); Dierc vraagt nu aan het Hof om hem te mainteneren in de possessie van dit leen","Sententien Hof van Holland dl 13 473 letter G, 137/139",,,,
1060353,1345,Faber,"platea Maris te Xanten: de domo Hermanni Fabri de Bierthen, 20 grossos; de domo Gerardi Fabri 6 sol; de domo Nokel per Coppardum fabrum 12d",Memorien Stift Xanten p 192,,,,
1060354,1578-05-10,"Ferrier, le","Jacob Bartholomeus le Ferrier, tafelhouder van leninge te Rotterdam, koopt boomgaard of thuyn en erve buiten de St Janspoort binnen de stadsvrijheid van Haarlem, koopsom 50 Kar gld, belast met 9sc erfpacht per jaar en nog met 6 Kar gld, losbaar met 100 Kar gld",G.A. Haarlem Transportregister 76/25 fol 211,,,,
1060355,1457-02-14,Foyert,"leen van de abdij St Paulus te Utrecht: abt Jacob van Poelgeest oorkondt dat Dirck Foijert ""onse knecht"" als een hof- en tijnsmeester daarover stond toen Bartolomeus Foijert Gijsbertsz en zijn vrouw Heijlwich, Claes Heynricsz en zijn vrouw Gysbert, Henrick en Juliana, echte dochters van Bartholomeus met Claes Heynricsz als voogd, hem opdroegen tbv Wouter Foyert en zijn vrouw Eerst, ¼ deel van een huis en hofstat met timmering en poting, belend boven: de heerlijkheid van Lienden met de Rijnacker en Gerard van Beynem erfgenamen, beneden: een gemene straat, strekkende van de Brenck tot aan een gemene straat; afstand doen:  Johan Foeijert tbv Wouter Foeyert en zijn vrouw Eerste voor ½, en Agnijes, vrouw van wijlen Wyllam Noest met haar zoon Gijsbert Noest als voogd voor ¼; Wouter en Eerst ontvangen het goed in erftijns tegen een tijns van 25 hoernse",Leenregister Abdij St Paulus Utrecht 505 fol 42v,"tijnsgenoten: Johan Noest Gerfaesz, Zeger van Zoemeren",,,
1060356,1457-03-01,Foyert,"leen van de abdij St Paulus te Utrecht: abt Jacob van Poelgeest oorkondt dat Dirck Foijert  hem in vrijen eigendom opdroeg 3 morgen land in het gerecht en heerlijkheid van Lyenden, geheten ""dat Eerlant"", belend oost: de abdij St Paulus, zuid, west: Dirck Foijert, noord: de straat geheten die Meyerstraat, en vervolgens wordt hij ermee beleend tot een goed onversterfelijk erfleen; ""item dit heeft ontfangen Dijrck Foijert sijn soen""",Leenregister Abdij St Paulus Utrecht 505 fol 20,"mannen: Gerrit Scade, Peter van Schonenborch",,,
1060357,,,,,,,,
1060358,,,,,,,,
1060359,,,,,,,,
1060360,,,,,,,,
1060361,,,,,,,,
1060362,,,,,,,,
1060363,,,,,,,,
1060364,,,,,,,,
1060365,,,,,,,,
1060366,,,,,,,,
1060367,,,,,,,,
1060368,,,,,,,,
1060369,,,,,,,,
1060370,,,,,,,,
1060371,,,,,,,,
1070001,1573,Gaef,"Claas Gaaf, dochter Alijd Gaaf x Jan Persijn, gestorven 1573",Batavia Illustrata bl 1048,,,,
1070002,1268-11-07,"Gaasbeek, van","Arnoud van Gaasbeek, heer van Breda, wordt 03-1270,  27-08-1270, 17-05-1273 genoemd: Arnoud van Leuven","Noordbrabantse Charters p 38, 39",,,,
1070003,1436-04-23,"Gaasbeek, van",de heer van Gaasbeek beleent Wouter van Mathenesse met 16 £ Holl per jaar uit de kamer van Putten,Navorscher 1895 fol 635/Reg Putten en Strijen met houten borden fol 273v,,,,
1070004,1460-08-27,"Gaasbeek, van","hertog Karel beleent Wouter van Mathenesse met 16 £ per jaar uit de kamer van Putten, die hij van de heer van Gaasbeek te houden placht",Navorscher 1895 fol 637/Reg Charolois fol 24v,,,,
1070005,1628-08-24,"Gaasbeek, van","compareerde Cornelis Engels van Gaesbeek, substituut schout van deze stad, vader van Abraham Cornelisz, bij wijlen zijn eerst vrouw Cornelia Lourisdochter, en verklaart dat hij zijn zoon toestemming geeft te trouwen met Anna Bulsinck, jongedochter wonend te Amsterdam, dochter van Mayken Rouse weduwe van Daniël Bulsinck ",Ned Leeuw jg 1913 p 101/Notaris Paets Leiden regest 181,,,,
1070006,1702-07-03,"Gaasbeek, van","overleden te Haarlem Elisabeth van Gaesbeek, oud 90 jaar, weduwe van Willem van Vredenburch, notaris te Leiden",Mededeling Ir D.W. van Dam van Hekendorp,,,,
1070007,1436-1500,"Gaasbeek, van","genoemd onder de edelen van Holland of Utrecht: Jacob van Gaasbeek, Sweer van Gaasbeek, bastaardzoon van Jacob van Abcoude","Batavia Illustrata bl 748, 757",,,,
1070008,1407,Gabruyske,degenen die Heynric Hughenz beschuldigde van de breuken te Haarlem: o.a. Joest Gabruyskenz,Rechtspraak Graaf van Holland II p 229,,,,
1070009,1300~,Gael,"Florens van Haesebroek, leenman van de burggraaf van Leiden, is dat dezelfde als Floris Gael [Galo] die Holland diende tegen Vlaanderen? 1304: Dirc van Wassenaer noemt Gerrit Gale zijn neef. 1320: Gherrit Gale droeg Haesebroek en alle landen op aan de graaf van Holland en ontvangt het in leen. 1332: Jan Gale vermeld met zijn vader Gerrit Gale, toen deze door Jan van Egmond werd beleend bij ter Wadding, hij volgt 1343 zijn vader in dit leen op. 1364: Bartoud Gael [heer van Haesebroeck], zijn familielid pastoor Dirc Gael, ruzie met Jacob van den Steenhuse over voorrang in de kerk te Wassenaar, uitspraak gedaan door Dirk van Wassenaar burggraaf van Leiden: Jacob kreeg voorrang als gesproten uit het geslacht van Raephorst; toch telkens kloppartijen, waarbij zelfs de pastoor gewond werd",~,,,,
1070010,1577-06-26,Gael,"koning Philips beleent Nicolaes Galen na dode van zijn vader Huijck Claessen met: - drie campen land buiten Haerlem in de ban van Heemstede, belend ten noorden: Engel Symonsdochter en mr Pieter Hals, oost: Gerrit Thomasz erfgenamen en mr Dirck van Bekesteijn, zuid: Jan Verwer, west: Magdalena convent te Haarlem en de kinderen van Pieter Jansz Raet, en - met een smaltiende te Nieuwerkerk en Ravensdorp (vgl 1538-11-08, 1581-05-01)",G.A.Heemstede Reg Holland van Heemstede no 67 (465) fol 112,"leenmannen: Pieter van der Goes, Cornelis Loosen, Jacob Heijndricsz",Haarlem,,
1070011,1632-04-21,Gael,losrenten kantoor Edam: verschijndag 05-01 Frans Cornelisz van Edam als voogd van de kinderen van Jan Gerritsz Galensz en Trijn Pieters Duyves fl 400 - fl 16,Arch. Gecomm Raden Noorderquartier Inv no 51,,Heemstede,,
1070012,1673-12-22,Gael,losrenten kantoor Edam: verschijndag 1674-05-01  de drie onmondige kinderen van Gysbert Gael fl 800 - fl 32,Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1070013,1675-05-24,Gael,losrenten kantoor Edam: verschijndag 1676-07-01 Gerrit Pietersz Galen c.s. fl 226 - fl 9-12-0 en fl 220 - fl 8-16-0,Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1070014,1704-10-25,Gael,"lijfrenten kantoor Edam: de heer burgermeeester Jeuriaan Beets, 400 gld ten lijve van zijn zoon Huybert Beets, oud 12 jaar, moeder Maritje Gerrits Galen, fl 36. 1710-07-19: lijfrenten Edam juffr Marytje Gaelen, weduwe van Juriaen Beets 300 gld ten lijve van haar zoon Pieter Beets, fl 27, dezelfde 300 gld ten lijve van Wellemoet Beets, 12 jaar, ouders als boven. Geertje Jans Veen, 200 gld ten lijve van Lysbet Loens, 10 jaar, ouders: wijlen Frederik Loen en Grietje Dels, in leven, fl 18. Grietje Dels 400 gld ten lijve van Claes Loen, 5 jaar, ouders als voren, fl 36",Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1070015,1723-01-22,Gael,huwelijksvoorwaarden van Jan Gale en Grietje Jans Minnes,Not Arch Edam no 631,,,,
1070016,1359,Gael,"Arent Willem wonende te Haerlem ontving van hertog Aelbrecht al het goed hem aanbestorven van zijn vader, gelegen in het ambacht van Wassenaar",R.A.H. 44 fol 68/Reg Albrecht IV fol 31v,,,,
1070017,"1432~, 1478",Gael,"schotboek Hoorn: Jan Gael 29 £; 1433-1434: comen Jan Gael 16 £, Claes Gael 4 £, Vreric Gael en zijn moeder 1 £; 1478: Op die Haven an die Noordzijde Harmen Jan Claes Gaeles 1 £ ","Schotboek Hoorn fol 18, p 75, 79, 153",,,,
1070018,1456,Gael,schepen van Hoorn: Gael Claesz ,Velius: Chronyk van Hoorn Schepenen p 1,,,,
1070019,1506,Gael,lid van het St Jorisgilde te Harderwijk: Willem van Gael ,Wapenheraut jg I: 16,,,,
1070020,1400-04-03,Gael,Willem Gael draagt op aan het Gasthuis te Haarlem een rente van 1 gouden Engelse nobel per jaar gevestigd op een huis op de Bakenessergracht te Haarlem,Inv Arch Haarlem p 181/Arch Grote Gasthuis,,Haarlem,,
1070021,1440-04-29,Gael,"opdracht van Jan Gael aan Gasthuismeesters van Haarlem van een halve kamp land in de ban van Heemstede, voor de helft van 100 grooten Holl",Inv Arch Haarlem p 193/Arch Grote Gasthuis,,Haarlem,,
1070022,1447-09-12,Gael,"brief van hertog Philips aan de regering van de stad Haarlem om Jan Gael in vrijheid te stellen en te verbannen uit Holland, Zeeland en Vriesland",Inv Arch Haarlem p 99,,Haarlem,,
1070023,1706-02-12,Gael ,"lijfrenten kantoor Medemblik: Willem Thomasz Gaal, 600 gld ten lijve van hemzelf, 33 jaar, vader was Thomas Willemsz Gaal en moeder Dieuwertje Simons, fl 54",Arch. Gecomm Raden Noorderquartier Inv no 51,,,,
1070024,"1253-04, 05","Gageldonk, van","Beatrix van Gageldonc en haar man Andreas de Mallant, ridder, schenken hun deel van de tienden van West Tilburg aan de abdij Tongerlo, genoemd: Hugo de Gageldonc, frater meus; ook Sophia van Gageldonck en haar man Gelbertus van Campenhout  staan hun aandeel van de tiende van West-Tilburg aan de abdij van Tongerlo; 1253-05: Hugo van Gageldonck, ridder, geeft zijn gedeelte der tiende te Tilburg aan de abdij van Tongerlo, met consent van zijn vrouw Valentia; 1263-05: Godefridus van Cruningen staat zijn aandeel ook af aan de abdij","Noordbrabantse Charters p 32, 33, 34",,van Tilburg ?,,
1070025,1440-05-20,"Gageldonk, van","Jean van Nispen zegelt voor zijn vrouw Johanna Jan Huyghmanszdochter van Gageldonck, die verklaart in leen te houden van Brabant een leen te Haghe (Prinsenhage) bij Breda ",De Raadt III p 41,,,,
1070026,1480-04-28,"Gageldonk, van","Donaes van Ghagheldonc zoon van Hughen, van Attele bij Breda in Brabant, wordt poorter van Brugge ""omme poortersneringe te doen""",Indices Brugse Poorterboeken II 1479-1496 p 764,,,,
1070027,1316,Gale,afterstal van renten van Noordholland: Haghe ambacht van landhuur op de Gheest: Heyne Gale 3d,Rek Hen Huis I p 87,,Haarlem,,
1070028,1322-08-04,Gale,"graaf Willem vergunt Symon Gale weer in het land te komen, behalve te Haarlem, en hij vergeeft hem zijn kwaadspreken",Reg Hann p 108,,Haarlem,,
1070029,1324-04-29,Gale,"Philips van Wassenaer beleent zijn neef Philips Hughenz met: - de woning te Weer met 16 ½ morgen land, - de tiende te Scheveningen, waarvan Jan Enghebrechtsz het andere deel heeft, - de tiende te Slobosch, waarvan Ghisebrecht Enghebrechtsz het andere deel had, - 2 morgen veen, naast het veen van Symon Galen kinderen, - drie paar zwanen in de broek bij de Weer",Ned Leeuw 1923 p 328/Twickel: Leenregister Wassenaer AA fol 28,,Haarlem,,
1070030,1334,Gale,"ontvangsten van lammengeld, hofstede- en landhuur in Delfland: van de poorters binnen Delft: Fouwe Galen 18sc 22 ½ d",Rek Hen Huis I p 187,,Haarlem,,
1070031,1334,Gale,ontvangsten Noordholland: van renten in het Hagheambacht - Nortveen geeft per morgen 3 sc 3 pullos: Coppyn Gale 33d; - op de Gheest: Coppyn Gale 1 ½ d,"Rek Hen Huis I p 177, 182",,,,
1070032,1343,Gale,huur Tetrode:  Symon Gale 3sc,Rek Rentmeester Kennemerland dl II p 235,,,,
1070033,1343,Gale,"ontvangsten Ghered Heynenz, rentmeester Noordholland: van landhuur dat van de burchgraaf was: - Valkenburch Gheret Coppaertsz 16 hond 45 sc 9d; - Coppyn Gale 3 ½ morgen 4 £; 1344-08-20 - 1345-05-26: idem Valkenburch Gheret Coppaerts hetzelfde bedrag, Coppyn Gale 4 ½ morghen 4 £ ","Rek Hen Huis II p 19, 124",,,,
