id,datum,voornaam,patroniem,inhoud,bron,getuigen,bijzonderheden
2010263,1466-1467,Albert,Dircsz,"Aelbert Dircsz pacht de wissel en wage te Hoorn voor 1 jaar, en ook de tollen, samen voor 156 £ 15sc (897 fol 40)",Rek Rentmeester Kennemerland,,
2010264,1477~,Albrecht,Dircsz,"Albrecht Dircsz: schout van Hoorn contra de heer van Egmond, over het schoutambacht voornoemd; de hertog bevestigt hem daarin",Grote Raad Mechelen E.A. Dossiers dl I dossier 56,,
2010265,1504,Albert,Dircsz,"Aelbert Dircsz, Scoten, een opdoen van een graf, geluid al die clocken; tetament 1 nobel voor haar testament; ende deze persoon is Jan Ruijchhoeft zuster",Kerkelijke Rek Haarlem fol 9v,,
2010266,1535-1536,Albrecht,Dircsz,"Aelbrecht Dircsz Spaentgen, van Scoten, begraven in de kerk, opdoen van het graf 20st; hij heeft die kerk besproken een koe of 10 Rgld","Kerkelijke Rek Haarlem fol 12v, 19v",,
2010267,1363-1364,Albrecht,Doedenz,Albrecht Doedenz: van de biertollen in Enghusercogge 5 £ 5sc (811 fol 12v),Rek Rentmeester Kennemerland,,
2010268,1382,Albert,Edertsz,Aelbert Edertsz: van de tienden van Ypontshove die Bergher hiet 18 £ 5sc (823 fol 11v),Rek Rentmeester Kennemerland,,
2010269,1412,Albert,Gherytsz,"Aelbert Gherytsz ontvangt 20 £ terug die hij betaald heeft aan  heer Willem van Ghent voor de besterfte van Garbrant Jansz, die door de hertog weer van diens erfgenamen geind was (842 fol 11v)",Rek Rentmeester Kennemerland,,
2010270,1430,Albrecht ,Gherytsz,"Albrecht Gerytsz, Amsterdam: rente op Haarlem van 1429, 1430, 8 nobel per jaar, 46 £ 18sc 8d (184 fol 97); 1428-1429: (fol 86) van zijn renten van 1425, 1426, 56 £ 8sc; 1429-1430: (fol 51v) van 1427, 1428, 44 £ 16sc; 1431-1432: (fol 51v) 25 £ 16d; 1432-1433 (fol 38), 1433-1434 (fol 32v): 26£ 13sc 4d; 1435-1436: (fol 107) aan hem worden door Haarlem afgelost 3 brieven, tesamen van 8 nobel per jaar, met 1 jaar renten, totaal 300£",Thesauriersrekening Haarlem,,
2010271,1456,Albert,Gherytsz,"Albert Gherytsz van Amsterdam, wonende te Haarlem, hem betaalt 2 guliks gld van de Lieffelantssteen, van idem 45 st","Kerkelijke Rek Haarlem fol 8v, 9",,
2010272,1466-1467,Albert,Gheryt Hugez.z,"heer Albert Gheryt Hugez.z koopt een lijfrente van 9 R gld op Haarlem voor 108 £  (215 fol 9); 1471-1472: heer Albert Gheryt Hugez.z. van der Goude, priester (219 fol 15v)",Thesauriersrekening Haarlem,,
2010273,1362-1363,Albrecht ,Ghisenz,Albrecht Ghisenz: van de tienden van Westerblocweer 16 £ 5sc (810 fol 9v),Rek Rentmeester Kennemerland,,
2010274,1480-1499,Albert,Harkenz,"schepen, burgemeester van Alkmaar: Albert Harkenz","Bruinvis: Alkmaar p 16, 22",,
2010275,1596-07-25,Albert ,Heimericsz,"leen van Vianen: no 641) 6½ morgen te Achthoven, Arnout Arnoutsz van Besoyen die in 1580 voor 107 Vr gld kocht uit de boedel van Cornelis Anthonisz, waarna overdracht aan Claas Voorn voor zijn vrouw Antonia Arnout Arnoutszdochter van Besoyendochter, belend oost: Albert Heimericsz, west: de erven mr Anthonis van Werkhoven; no 641A): 2 morgen in 2 campen strekkende van de wetering tot de Lakenvelderkade; no 641D): buitendijkse hofstede, 1587-01-14: Albert Heimericsz na overdracht door Dirc Stout Roelofsz, belend boven: Berta Arnoutsdochter weduwe van Dirc Stout",Ons Voorgeslacht 07-1988 p 284-286,,
2010276,1441,Albert,Henricsz,schepen van Alkmaar: Albert Henricsz,Bruinvis: Alkmaar p 22,,
2010277,1460-1461,Albrecht,Henricsz,Aelbrecht Henricsz: die clyevertienden op Wieringen voor 26 £ 3sc (891 fol 11),Rek Rentmeester Kennemerland,,
2010278,1462-1463,Albrecht ,Heynen,"Katrijn, vrouw van Aelbrecht Heynen, pachtte tevoren een perceel land in Vroonland, t Volmestadr (?) geheten, voor haar leven; 1458-01-13: treedt Pieter Pietersz als pachter op voor zijn leven (893 fol 7/9)",Rek Rentmeester Kennemerland,,
2010279,1485-1496,Albrecht ,Heynricsz,"Aelbrecht Heynricsz: werd 1496-05-10  meester van den zwaarde te Haarlem, geboren van Bolsward, salaris 18 £ (923 fol 42v); 1497-04-01: vervangen door Juriaen Vorst, wedde van 4 maanden 8 £ (925 fol 61); 1497-1498: weer in dienst , salaris 18 £ 16sc 6d; 1498-1499: salaris over 8 weken, ingaande 1499-01-01 (926 fol 49v)",Rek Rentmeester Kennemerland,,
2010280,1587-01-14,Albert,Hendriksz,"leen van Vianen: no 641) 3 ½ morgen te Achthoven, Albert Heimericsz te Achthoven, na overdracht door Dirc Stout Roelofsz, belend boven: Berta Arnoutsdochter weduwe van Dirc Stout; 1593-11-12: Pieter Hendriksz na overdracht door Albert Hendricsz, belend boven: Albert Hendriksz, beneden: erven Pieter Gerrit Heinenz, volgende beleningen gelijk aan no 641F)",Ons Voorgeslacht 07-1988 p 286,,
2010281,1445-1446,Albrecht,Herckenz,"Albrecht Herckenz, gestorven in oist Vriesland, liet een luttel erfs na, waard 5 à 6 R gld, gedadinct met de erfgenamen voor 2 £ 17sc (876 fol 11)",Rek Rentmeester Kennemerland,,
2010282,1403,Albert,Hermansz,"Albert Hermansz: van de tienden van Hem, 12 £ 10sc (833 fol 9)",Rek Rentmeester Kennemerland,,
2010283,1380,Albrecht,Jansz,"Albrecht Jansz: maakt 6 roeden aan heer Hughendyc, 7 £ 10sc (822 fol 15v); 1383: (824 fol 15) afterstal van 1382 van Vronen 59sc; 1405: (836 fol 6) 5 geersen te Vronen, 3 £ 15sc",Rek Rentmeester Kennemerland,,
2010284,1380,Albrecht,Jan Dircsz,"Albrecht Jan Dircsz: de tollen tot Sparnedam, 10 £; tevoren Jan Dircsz (822 fol 11v)",Rek Rentmeester Kennemerland,,
2010285,1454-1455,Albrecht,Jansz,"Albrecht Jansz: zeevonder te Petten, voor zijn roc 3 £ (885 fol 21); 1455-1456: (886 fol 24v) van idem 3 £ ",Rek Rentmeester Kennemerland,,
2010286,1486-1487,Albert,Jansz,schepen van Castricum: Albert Jansz (917 fol 17),Rek Rentmeester Kennemerland,,
2010287,1494-1495,Albrecht,Jansz,schepen van Crommenye: Aelbrecht Jansz (922 fol 29),Rek Rentmeester Kennemerland,,
2010288,1494-1495,Albrecht,Jansz,"Albrecht Jansz: koopt de tienden van de Hoge Geest te Velzen, de oogst van 1394 voor 14 £ (922 fol 17)",Rek Rentmeester Kennemerland,,
2010289,1495-1496,Albrecht,Jansz,Albrecht Jansz: pacht de corentienden van Wijk op Zee voor 19sc,Rek Rentmeester Kennemerland,,
2010290,1485-10-14,Albert,Johansz,"Albert Johansz belend aan de noordzijde de grote Otterdyck, genaamd het Meerland te Kortenhoef",Repert Stichtse Leenprotocollen p 164,,
2010291,1593-03-16,Albert,Jansz,"Albert Jansz, dijkgraaf van de Hontsbosche, verkoopt kamer te Alkmaar (135 fol 113v)",O.R.A. Alkmaar,,
2010292,1363-1364,Albrecht,Ludekenz,"Albrecht Ludekenz: van de tienden van Enghusen en van Gommerkerspel 14 £ 5sc, van Bovenkerspel 25 £, de uitheemse tollen te Enghusen 52sc, van mijns heren besterfte te bewaren in het utende, van 1 roc, 30 sc (811 fol 10, 11v, 17v); 1361-1362: (809 fol 14v) van de tienden van Enghusen en Gommerkerspel 24£; 1366-1367: (812 fol 4v) afterstal van 1366 van de tienden van Veenhusen 4£ 2sc 3d; 1373-1374: (816 fol 20v) de tienden van Veenhusen 20£ 10dc, de Haven en sloet tot Enchusen 15£ (fol 23)",Rek Rentmeester Kennemerland,,
2010293,1369-1370,Albrecht,Ludekenz,"Albrecht Ludekenz: Albrecht Ludetiaen, de gangael en sciptollen te Enchusen 6 £ 4sc 3d (814 fol 5v); 1374: (817 fol 7) afterstal van de tienden van Veenhusen 24 £ 10sc 3d; 1374-1375: van haven en sloet tot Enchusen 12 £ (818 fol 11); 1375-1376: (819 fol 10, 11) van de tienden van Enchusen 41£, de gancael en sciptollen te Enchusen 13£ 5sc, de haven en de sloet tot Enchusen, 10£",Rek Rentmeester Kennemerland,,
2010294,1384-1385,Albrecht,Ludekenz,"Albrecht Ludetiaenz: afterstal van de tienden van Henchusen 31 £ 12sc 6d, afterstal van de tienden van Veenhusen 11 £ 9sc 6d (826 fol 5v); (fol 16v) van de tienden van Enchusen 47 £ en 17 £ 10sc, de gancael en sciptollen tot Enchusen 25 £ 5sc (fol 16v, 18); 1385-1386: (827 fol 5v) afterstal van de tienden van Enchusen 18sc 7d; 1377: (820 fol 11) die ganc ael ende sciptollen tot Enchusen 24£, de haven en sloet 20£ 12sc, en de stalen die der moniken waren 3£; 1383: (824 fol 9) van de tienden van Enchusen 30£ 5sc; 1383-1384: (825 fol 16) van de tienden van Enchusen 31£ 5sc van de tienden van Veenhusen 11£ 10sc",Rek Rentmeester Kennemerland,,
2010295,1389-1390,Albrecht,Meynertsz,"Albrecht Meynertsz: afterstal van 1388 van de tienden van den Diec, 5 £ 5sc 4d (828 fol 5)",Rek Rentmeester Kennemerland,,
2010296,1389-1390,Albrecht,Oudekenz,"Albrecht Oudekenz: die swaen in Wognemmercogge, 14 £ (828 fol 19v)",Rek Rentmeester Kennemerland,,
2010297,1360-1361,Albrecht,Pietersz,"Albrecht Pietersz: afterstal van 1357, 1358 van de broectienden te Aelsmeer, 35sc (808 fol 1); 1362-1363: (810 fol 10v) van de biertollen in Houtwoudercogge 4 £ 6sc; 1366-1367: (812 fol 2) afterstal van 1364 en 1365 van de biertollen in Houtwoude 54 sc 2d; 1369-1370: (814 fol 4v) afterstal van de tienden van Bovenkerspel, 33£ 19sc 2d",Rek Rentmeester Kennemerland,,
2010298,1440-1441,Albrecht,Pietersz,"Albrecht Pietersz: de tienden van Noirt Scerwoude, 5 £ (871 fol 5)",Rek Rentmeester Kennemerland,,
2010299,1483-1484,Albrecht,Pietersz,"Aelbrecht Pietersz: pacht de windmolen te Beverwijk voor 6 jaar, ingaande 1483-05-01, voor 32 £  (914 fol 12); 1484-1485 (915 fol 9v), 1485-1486 9916 fol 9v), 1486-1487 (917 fol 10v), 1487-1488 (918 fol 10), 1488-1489 (919 fol 9v): elk jaar 32 £ ",Rek Rentmeester Kennemerland,,
2010300,1464,Albrecht,Pieter Costersz,"Ter Leede: Aelbrecht Pietersz Coster  is schuldig 2 R gld van een zoen, te betalen tot St Jansmisse, al voldaan en betaald; 1476: Aelbart Pietersz Coster ende is cruuslant, 5 st, soo lant Aelbrecht toem Claes van der Laen [sic]",Kerkelijke Rek Haarlem fol 1; Renten St Bavo Haarlem fol 24,,
2010301,1476,Albert,Outgersz,"boedel van wijlen Hughe van Tetrode, in leven tollenaar van Sparendam: Albert Outgersz is resterende van zeker pacht van de capelrie in Tetrode 15 st van 1478; idem Boudyn Claesz van gelijk land 15st",Renten St Bavo Haarlem 1476 fol 74,,
2010302,1570-02-25 (1569),Albrecht,Marcus,"Albrecht Marcus, oud burgemeester van Amsterdam; 1555-11-21: schepen van Amsterdam",Grote Raad Mechelen Beroepen Holland dl VII dossier 638/1,,
2010303,1553-06-03,Albert,Pietersz,"Albert Pietersz uit Zierikzee, betaalt tolgeld te Gorinchem",Grote Raad Mechelen Beroepen Holland dossier 75/11 (dl I ?),,
2010304,1377,Albrecht,Reynersz,"Aelbrecht Reijnersz: van de tienden van Watweije, 12sc (820 fol 9v)",Rek Rentmeester Kennemerland,,
2010305,1384-1385,Albert,Rippenz,"Aelbert Rippenz: de biertollen in Scagercogge, 6 £ 10sc (826 fol 18v)",Rek Rentmeester Kennemerland,,
2010306,1535-04-26,Albert,Reyersz,Albert Reijersz draagt voor schepenen van Zaltbommel een rentebrief over aan Jan Zybertsz; 1548-1561: proces,Grote Raad Mechelen Beroepen Holland dl VI dossier 534/3,,
2010307,1491-1505,Albert,Rongsz,schepen van Alkmaar: Albert Rongsz,Bruinvis: Alkmaar p 22,,
2010308,1349-1350,Albrecht,Symonsz,"Aelbrecht Symonsz: van de tienden in Westerblocweer, van de biertollen en vlastiende in Zwaechtscoghe 7 £, afterstal van de tienden van Westerblocweer en Westenwoude, afterstal van de biertol in Zwaechscogge (798 fol 3v, 34, 35); 1350-1351: in afterstal 3£ 3sc 11d (799 fol 9v); 1354-1355: (801 fol 9v, 11) van de tienden in Westenwoude 25£ 13sc, van sinen verboernisse 30£; 1355-1356: (802 fol 27v) afterstal van de tienden van Vroenregeist 5£ 15sc 2 miten; 1363-1364: (811 fol 1) afterstal van 1357 van de tienden van Westenwoude; 1360-1361: (808 fol 1) afterstal van 1357, 1358 van de gaten aan de ouden dyc, 48sc; 1362-1363: (810 fol 9v, 10) van de tienden van Oesterleke 35sc, van de biertollen in Zwaagscogge 3£ 5sc",Rek Rentmeester Kennemerland,,
2010309,1454-1455,Albrecht,Symonsz,"Albrecht Simonsz: pluimgraaf te Medemblik, voor zijn roc 3 £ (885 fol 21); 1455-1456: (886 fol 24v) van idem 3 £; 1456-1457: (887 fol 9) de tienden van Midwoud en Oostwoude voor 9 £;1457-1458: (888 fol 14) de visserij en sluizen van Medemblic, 54 £; 1458-1459: (889 fol 15) 54£; 1461-1462: (892 fol 10) Aelbrecht Simonsz, schout van Wieringen; 1463-1464: (894 fol 13) idem; 1466-1467: (897 fol 28v) de Westmolgertienden, 6£ (Wieringen); 1468-1469: (899 fol 32) idem voor 20£",Rek Rentmeester Kennemerland,,
2010310,1468-08-11,Albrecht,Symonsz,"Albrecht Symonsz: dijkgraaf van de Vriesendijk contra de oude schepenen van Hoorn en de pastoor van Wognem (1468-09-12); 1468-09-27: contra de deken van Westvriesland ( 1468-10-03, 1468-10-19)","Coll Aanw 240 fol 1074v, 1166v, 1227v, 1241v, 1259v, 1308v, 1310",,
2010311,1470-05-16,Albrecht,Symonsz,"Frederic Jansz, deken van West-Friesland contra Albrecht Simonsz, dijkgraaf van Westvriesland, eerste aanleg: verzet tegen de tenuitvoerlegging van brieven van commissie, verleend door het Hof van Holland, waarbij aan de schepenen van Hoorn jurisdictie werd toegestaan over aan verweerder toekomende dijkgelden; verzet ongegrond verklaard",Grote Raad Mechelen Geëxtendeerde Sententiën 1966 p 4,,
2010312,1497,Albrecht,Symonsz,"Albrecht Symonsz beweert een vordering te hebben op Geryt Claesz, uitgeweken poorter van Gouda; 1477>: (1497) Kerstant Hermansz, Govert Claesz en Albrecht Symonsz hebben als Hoeken, kort na de dood van Karel de Stoute, de Kabeljauwse regering van Gouda verdreven, hiertoe behoorde ook Geryt Claesz, lid van de magistraat te Gouda; 1477-09-23: zal Geryt Claesz te Gouda gevangen ....; de hertog beval verzoening, de magistraat van Gouda verloor voor het Hof een proces tegen hen","Grote Raad Mechelen Beroepen Holland dl II dossier 103/a, 113bis/a",,
2010313,1578-09-17,Albert,Symonsz,"Albert Symonsz te Hoorn verkoopt aan de stad Alkmaar een erf aan de westzijde van de Quakelbrug, benoorden de weg van Gerrit Willemsz (verdolven in de cingel bij de vergroting)",Bruinvis: Aanv Inv Arch p 94,,
2010314,1494-1495,Albrecht,Staes,schepen van Castricum: Aelbrecht Staes (922 fol 26),Rek Rentmeester Kennemerland,,
2010315,1474-1475,Albert,Tymansz,"Katryn, dochter van heer Albert Tymansz en jvr Beatris Jan Suyrmontsdochter, Utrecht, kopen lijfrente van 9 R gld op Haarlem voor 135 £ (fol 25v)",Thesauriersrekening Haarlem,,
2010316,1366-1367,Albrecht ,Veijkelenz,Albrecht Veijkelenz: van de tienden van Enghusen en van Gommerskerspel 33 £ 10sc (812 fol 13),Rek Rentmeester Kennemerland,,
2010317,1362-1363,Albrecht ,Vockenz,Albrecht Vockenz: van de tienden van Gommerkerspel en Enghusen 14 £ 10sc (810 fol 9v),Rek Rentmeester Kennemerland,,
2010318,1338,Albrecht,Willemsz,"Aelbrechtsberg, van beesten: Aelbrecht Willemsz, 2 scare, 1 éénwinter an vee, 3 sc 6d; Jongeman Willemsz, 4 scare, 1 éénwinter an vee, 1 scaer paerde, 8 sc",Rek Houtvester dl VII p 94,,
2010319,1394,Albrecht,Willem Hughez,"van mijns heren renten omtrent den Houte, Nortigerhout: van erfhuur 30 £ 11sc 3d; van den arenscot: Aelbrecht Willem Hughenz.z. in erfhuur 12 £; 1394 tot Nortigherhout van erfhuur: 11 £ 15sc 2d, item aldaar Aelbrecht Willem Hughenz.z 5 £ ","R.G.P. no 182 p 53, 68/Rek Rentmeester Noordholland",,
2010320,1472-1473,Albrecht,Willemsz,"schepen van Oostzaan: Aelbrecht Willemsz, certificatie (904 fol 22v)",Rek Rentmeester Kennemerland,,
2010321,1493-1494,Albrecht,Willemsz,"100e penning vermogen: Aelbrecht Willemsz, van Sardam,  375 R gld; 1495-1496: idem 375 R gld",Thesauriersrekening Haarlem,,
2010322,1577-04-21,Albert,Willemsz,Albert Willemsz en Jacob Heertgesz verkopen aan de stad Alkmaar een huis en erf aan de westzijde van het Ritsevoort (afgebroken bij de vergroting van de stad),Bruinvis: Aanv Inv Arch p 92,,
2010323,1618-08-27,Albert,Albertsz,"Aelbertje Aelberts en Frans Aelbertsz kopen van Claes Adriaensz, buurman in Noord Akendam de helft van 4 madt 1 hond weiland waarvan de andere helft toebehoort aan Pieter Aerens van Ad.. Mien [??]","Protocol Schoten, Haarlemmerliede en Akendam fol 134",,
2010324,1304~,Albout,Henricsz,"leen van Putten: ¼ van de lage ban in Spikenesse, ¼ in oost corentiende, uitgenomen spapen tiende, ⅛ deel in het Nieuwlant, ⅛ deel van de lamtiende, ¼ deel van de uterdijk, houdt Alebout Henricsz in leen",R.G.P. Grote Serie 171 Rek Dom Putten II p 267,,
2010325,1349-1350,Alcke,Hertgersz,"Alcke Hertgersz: van cleijlande te Vroen, afterstal van Vronen (798 fol 2v, 10v, 30v); 1356-1357: (804 fol 9/a) Aleke Hertgersz, land te Vronen 51 sc; 1357-1358: (805 fol 10v) Aleke Hertgersz, idem; 1358-1359: (806 fol 12v) Aleke Hertgersz, 51sc",Rek Rentmeester Kennemerland,,
2010326,1349-1350,Alcke,Meckenz,"Allcke Mechenz: dat land in der Horn, in de Schermer (798 fol 12)",Rek Rentmeester Kennemerland,,
2010327,872,Altburga,,"genoemd: Altburga x Waldbertus, stierf na 872; blaffert van de Utrechtse kerk, St Maarten: Aldburga en haar man Rudolf (± 960)",Sloet: Oork p 92; v.d. Bergh I no 33,,
2010328,,Aldegonde,,"genoemd: S Aldegonde, abbatissa Melbodiensis; Aldetrudis, Madelbertu, Dentelinus, Landricus, kinderen van Maldegario alis S Vincentius, abbas Altimontensis en van Waldetrudis","Miraeus: Opera Dipl III p 200, I p 642",,
2010329,….-04-30,Aldic,,"Aldic voor wiens zieleheil een stuk land in Wimnem gegeven is, opbrengend 20 denier ",J van Leyden: Kroniek Egmond p 257/Dagregister,,
2010330,855-11-07 en 10,Aldolf,,"Folcker schenkt aan de abdij Werden hetgeen hij in Fresia bezit: in pago Kinhem o.a. in Nordmore: Odlef ½ mansum, Thiadwold 1, Geldis ½, Everard ½, Aldolf ½ ",v.d. Bergh I no 17,,
2010331,1040~,Aldricus,,"Oda: pro anima senioris sui (haar man) Aldrici tradidit St Petro te Gend, unum mansum in Eversbeke et 3 mancipia",Cartul de la Ville de Gend p 115,,
2010332,1357-1358,Ale,Wolburghenz,Ale Wolburghenz: van de tienden van Medemleker Noordercoech 17 £ (805 fol 12),Rek Rentmeester Kennemerland,,
2010333,1075-1081,Aleid,,"gravin Adelheid filia comitis Everardus schenkt voor haar zieleheil en dat van haar man Henricus aan de St Maartenskerk te Utrecht: praedium suum Ortinam [= Orden bij Apeldoorn], en ontvangt het weer in leen tegen betaling van 10 den Tielense; de bisschop geeft aan Adelheid in precariam duas curtes: a) Verdam scilicet in Batue [= Weurd] juxta Awick [= Ewijk] sitam; b) Watuam [= Wadenoyen ?] cum ipse antea ibi usus fuerat, et cum domo lapidea",Sloet: Oork p 182 no 184/Oorkbk Utrecht dl I p 211 no 233/Bijdr Vad Gesch 4e reeks II p 20 no 7/Pynacker Hordyk,,getuigenlijst ws vals
2010334,1380-03-02,Aleid,,"stierf Aleydis, vrouw van Nicolaes Nicolaesz, die 5 £ gegeven heeft (p 254); (p 100) Aleydis uxor Jacobi filii Nicolai, dedit 6 £ ","J van Leyden: Kroniek Egmond p 254, 100/Dagregister",,
2010335,1596-02-12,Aleid,Adriaen Korszdr,"leen van Vianen: no 621) 14 ½ hont en ½ schaft in Lexmond, Adriaen Arnoutsz na dode van zijn moeder Cornelia Adriaensdochter, daarna overdracht aan Lambert Gerritsz, belend boven: Thomas Cassiopijn, beneden: Aleid Adriaen Korsdochter",Ons Voorgeslacht 07-1988 p 275,,
2010336,1562-10-23,Aleid,Albertsdr,"Aleid Albertsdochter, weduwe van Jacob Florisz, verkoopt aan de stad Alkmaar ""de Vuyrweydt"", een weide aan de stadwal tegen de zuidelijke erven van de Laat te Alkmaar",Bruinvis: Aanv Inv Arch p 84 no 5,,
2010337,1493-1494,Aleid,,"100e penning vermogen: Alijt Aris Martsz weduwe, van Amsterdam, 100 R gld (fol 199v); 1495-1496: idem (fol 211v)",Thesauriersrekening Haarlem,,
2010338,1450,Aleid,Arnts,"Alijt Arnts, van Heemstede, cloc Salvator",Kerkelijke Rek Haarlem fol 1v,,
2010339,1464,Aleid,Arntsz,"Alyt Aerntsz, van Scoten, cloc Mary",Kerkelijke Rek Haarlem fol 5,,
2010340,1338,Aleid,Barthouds,"Langhevelt, van beesten, afterstal: Hughe Alyd Bartoudsz, 18 d; Alyt Bartouds, 15 d",Rek Houtvester dl VII p 85,,
2010341,1476,Aleid,,"een mat lants te Houttreck in de ban van Sparenwoude, bruikt Alijt Baert Willemsz weduwe voor een Postulaet gulden per jaar; dat eerste jaar verscheen dat jaar van 1472, heeft besproken grote Pouwels",Renten St Bavo Haarlem 1476 fol 25,,
2010342,1483-10-26,Aleid,,"leen van Vianen: no 641) Lexmond, 3 ½ morgen in Achthoven, Herman Bernards, belend boven: Aleid weduwe van Bernard Hermansz en kinderen, beneden: Claes Dircsz",Ons Voorgeslacht 07-1988 p 284,,
2010343,1468-02-24,Aleid,Kersten,"Alydt Kersten, Lysbeth Kersten, Jan Berenz, Jan Claesz en Gheryt Ghysbrechtsz, zaak tegen hen door de Procureur Generaal, uitgesteld; 1468-03-11: Alydt Kersten had meegeholpen een dief te ontkomen te Amsterdam; zij verborg die bij haar zuster Lysbeth in de Warmoesstraat","Coll Aanw 238 fol 316v, 317v, 371/Memorien Hof van Holland",,
2010344,1380-03-02,Aleid,,"stierf Aleid vrouw van Nicolaes Nicolaes, die 5 £ gegeven heeft; 1327-03-02: deze plaats is blijkbaar corrupt, in het Necrologium staan op deze datum Aleidis, 10sc en Aleidis vrouw van Jacobus Nicolaesz, 6 £ ",Kroniek Egmond p 254/Dagregister/Necrologium p 100,,
2010345,1336-09-12,Aleid,,"grafelijk leen: no 62) 2 hoet rogge jaarlijks op de rentmeester van Noord Holland, op de tienden van Aelbrechtsberg en Tetrode, Colyn, neef van ver Baerte, met lijftocht van zijn vrouw Aleid op de mindere helft (1337-09-12)",Ons Voorgeslacht 02-1989 p 81; jg 39 1984 p 547 no 7 (volgende beleningen),,
2010346,1651-06-13,Aaltje,Gysbertsdr,"leen van Vianen: no 712B) een hof aan de westzijde van Vianen, Anthonis Jansz gehuwd met Marietje Bartholomeusdochter, bij dode van zijn schoonvader Bartholomeus Jansz, bevestigd door diens weduwe Aaltje Gysbertsdochter, waarna overdracht aan Laurens overdracht aan Dirc Stockman, burger en backer te Vianen",Ons Voorgeslacht 07-1988 p 324,,
2010347,1498,Aleid,,"Alijt Dirc Haghen weduwe van Haarlemmerlie is gestorven, ende heeft besproken die kerc 10 st",Kerkelijke Rek Haarlem fol 8v,,
2010348,1530-1531,Aleid,Dircsdr,"Aleid Dircsdochter, weduwe van Joris Dircsz, poorteres van Delft, verzocht beneficie van inventaris t.a.v het sterfhuis; een crediteur Gerbrand Dircsz van Hoorn verzette zich daartegen; 1530-09-27: het Hof verklaarde eiseres niet ontvankelijk, zij ging in beroep bij de Grote Raad",Grote Raad Mechelen Beroepen Holland dl IV dossier 350,,
2010349,1556-01-11,Aleid,Dirc Ulrichsdr,"de hofstede van Scadenbroec met 20 morgen land in het kerspel van Woerden, beleend met ⅕ deel Alyt Dirc Ulricsdochter na dode van haar vader, hulder Jacob Dircsz; beleend met ⅕ deel: Dieuwer Dirc Ulricszdochter met haar man Werner Claesz, na dode van haar vader Dirc Ulricsz; 1564-04-22: draagt Alyd dit deel over aan haar zuster Dieuwer Ulricsdochter","Repert Stichtse Leenprotocollen p 446, 447",,
2010350,1587-01-03,Aeltie,Dirks,"Aeltie Dirks, in die Schenkkan, wordt moeder van het oude gasthuis te Delft",Bortet: Delft p 334,,
2010351,1337<,Aleid,Gheerkyndr,Aleid Gheerkyndochter houdt van Voorne 3 maden te Urshem,Caput Friesland no 634,,
2010352,1338,Aleid,Gerrits,"in Santvoort, van beesten: Alijt Gerrits, 4 scare an vee, 8 sc",Rek Houtvester dl VII p 95,,
2010353,1472-1473,Aleid,Gheryt Godevaertszdr,Alijt Gheryt Godevaertszsdochter en Geertruid Dirc Gerbrandsz weduwe kopen lijfrente van 12 gouden Keurv R gld op Haarlem voor 197 £ 16sc (220 fol 11v),Thesauriersrekening Haarlem,,
2010354,1496,Aleid,Gerritsdr,"Alyd Gerritsdochter, weduwe van Joost Willemsz, poorteres van Delft, gedaagd door Katherine Dircsdochter, weduwe van Eeuwout Willemsz: borgtocht","Grote Raad Mechelen Geëxtendeerde Sententiën 1966 p 449, Beroepen Holland dl II dossier 163",,
2010355,1496,Aleid,Gerritsdr,"Aleid Gerritsdochter, weduwe van Joost Willemsz, poorters van Delft: hij was borg gebleven voor zijn broer Ewout Willemsz; de crediteur sprak rechtstreeks de borg aan, met voorbijgaan van Ewout als schuldenaar; zowel Joost als Eeuwout overleden tijdens het proces. De weduwe van Joost week uit van Delft naar Leiden uit vrees voor beslag op haar goed",Grote Raad Mechelen Beroepen Holland dl II dossier 163,,
2010356,1446,Aleid,Havicx,"Alyt Havicx, ter Leed, cloc Salvator, van testament 1 gouden croen","Kerkelijke Rek Haarlem fol 6, 8",,
2010357,1389-1390,Aelke,Heijkes,Aelke Heijkes huurt de helft van een stuk land te Vronen voor 5 £ 2d; Heijne Aelkes huurt de andere helft voor 3 £ 7sc 7d (828 fol 13),Rek Rentmeester Kennemerland,,
2010358,1519,Aleid,Henricsdr,"Alijd Henricsdochter en Claes Jansz, van Scalcwijk, hebben betaald voor hun beider testament 6 R gld; 1524: Alijt Hendricsdochter weduwe van Claes Jansz van Scalcwijk, is begraven Sint Margriet, over haar geluid alle die clocken, 30st","Kerkelijke Rek Haarlem fol 7v, 6v",,
2010359,1609-12-27,Aleid,Henricsdr,"Alid Henricsdochter, weduwe van Dirck Symonsz, verkochten en zijn schuldig aan regenten van het Oude Mannenhuis een jaarlijkse losrente van 12 Kar gld 12st per jaar, hoofdsom 200 gld, onderpand: ½ van een hofstede met 59 morgen land en huis [te Schoten]","Protocol Schoten, Haarlemmerliede en Akendam fol 99",er staat 1709/erfstelling,
2010360,1422,Aleid,,"Aleid Herman Jansz weduwe, Leiden, rente op Haarlem van de jaren 1420, 1421, 1422, 54 £ 12sc (178 fol 81)",Thesauriersrekening Haarlem,,
