id,datum,naam,inhoud,bron,getuigen,bijzonderheden,
1090359,1363-06-17,"Ysselsteyn, van","Johan van Arkel, bisschop van Utrecht, beleent Robbrecht van Renswoude, bastaardzoon van zijn broer heer Robbrecht van Arkel, met Renswoude",Van Mieris III p 150,"mannen:  Steven van Zulen, ridder, Ghisebrecht van Ysselsteyn Ottenz, Jacob van der A, Johan van Bueren",,
1090360,1371-04-04,"Ysselsteyn, van","leen van Amstel: no 77) - 10 morgen in Abcoude, afkomstig van Gysbert van Ruwiel, neef van de leenman, gepacht door Arnout van Okhuizen; - het erf en de rente die Gysbert van Ruwiel aan de leenman overdroeg, dat eigen was; - het erf en de rente dat de leenman aankwam van zijn broer, heer Gysbert van Ruwiel, 1371-04-04: Gysbert van Ysselsteyn Ottenz, bij opdracht en zal ten eigen krijgen voor een te kopen of te maken huis",Ons Voorgeslacht 09-1988 p 389,,,
1090361,1371,"Ysselsteyn, van","Gysbrecht van Ysselsteyn Ottenz wordt door de graaf van Holland beleend met het huis te Ruwiel, na dode van zijn halfbroer Gysbrecht van Ruwiel",Van Spaen p 154,,,
1090362,1377-02-27,"Ysselsteyn, van","leen van Egmond: no 77bis) 19 viertels (80 morgen) over de Gouwe, genaamd Zuidwijk, met het gerecht, Arnoud van Ysselsteyn heer van Egmond, ten eigen, waarna overdracht aan Dirc Voppenz, persoon van Haarlem, rentmeester van Noord-Holland",Ons Voorgeslacht 05-1988 p 214/Abdij Egmond Inv 481,,,
1090363,1383-04-23,"Ysselsteyn, van","leen van Amstel: no 57) het huis ten Bosch met 24 morgen te Uitermeer, heer Gysbert van Ysselsteyn bij opdracht van een sluis; 1389-01-08: met een tweede sluis tussen Pieter Jacobsz en ver Lubbertsz, die Gysbert evt verleggen mag; 1394-05-24: Herbaren van Ysselsteyn bij opdracht van zijn huis aan de graaf; 1397-04-28: heer Herbaren van Ysselsteyn zoals zijn vader heer Gysbert van Ysselsteyn; 1430-03-08: heer Herbaren van Ysselsteyn ridder, die zetelt op het huis ten Bosch te Uitermeer, dat belegerd wordt door de hertog wijst zijn broer Jan van Ysselsteyn het goed ten Bosch bij Maarsen toe; 1432-10-02: Gysbert van Ysselsteyn bij dode van zijn vader Herbaren; 1439-04-10: Gysbert van Ysselstein; 1447-12-26: Gysbert van Ysselsteyn lijftocht voor zijn vrouw Adriaen van Zwieten op 50 Holl scilden of clincherts op de visserij; 1465-01-16: Anthonis van Ysselsteyn na dode van zijn vader Gysbert; 1473-02-15: Arnoudt van Duvenvoorde voor zijn vrouw Margaretha van Ysselsteyn, na dode van haar broer Antonis; 1495-12-09: haar zoon, zij is weduwe",Ons Voorgeslacht 09-1988 p 380,,,
1090364,1383-04-23,"Ysselsteyn, van","leen van Amstel: no 134) 3 morgen in Maarssen, genaamd Oord, gemee, belend boven: de Veenlaan, beneden: het moerland, heer Gysbert van Ysselsteyn, na opdracht; 1389-01-08: idem",Ons Voorgeslacht 09-1988 p 406,,,
1090365,1397-09-30,"Ysselsteyn, van","heer Aelbrecht Jansz van Egmond, neef van Christine,  wordt bij opdracht van Christine Ottensdochter van Ysselsteyn weduwe van Willem van Tuyl, beleend met alle goederen haar aangekomen van wijlen haar broer Gijsbert van Ysselsteyn",Ned Leeuw jg 1914 p 356/Holl Leenkamer no 52 p 256,,,
1090366,1397,"Ysselsteyn, van","Herberen, Jan en Walraven van Ysselsteyn, zoons van heer Gysbrecht van Ysselstein, [heer van den Bossche] worden beleend met de goederen van hun vader",Van Spaen p 157,,,
1090367,1389-07-22/23,"Ysselsteyn, van","Herbaren, Jan en Walraven van Ysselsteyn met hun knechten Gisen en Gherijt, zoen met hertog Albrecht van de dood van Tideman Ghisenz",Rechtspraak Graaf van Holland III p 33,,,
1090368,1398-11-24 (1399),"Ysselsteyn, van","Kerstine, dochter van Otto van Ysselsteyn, weduwe van Willem van Tuyl, ridder, draagt alle goederen haar aanbestorven van haar broer Gysbrecht op aan de zoon van haar zuster Bertha, namelijk heer Albrecht van Egmond",Van Spaen p 153,,,
1090369,1400-12-28~,"Ysselsteyn, van","Jan van Ysselsteyn geeft aan zijn zwager Dirk Ysebrandsz van Alkemade, ten vrijen eigen 2½ morgen in het ambacht van Monster bij de Poeldyker capelle, belend west:  Jacob Willem Everhard en Andries Jan Moenszsz, zuid: Jacob Waart, noord: Dirk Boudyns Odzyde [vermoedelijk moet hier een komma tussen geplaatst worden; Odzyde=Odzier=Ogier, waarschijnlijk bedoeld een Dirk Boudynsz en een Odzier Ansemsz] Ansems en de kapel in de Poeldijk, oost:  heer Jan van Heemstede met een laan; als Dirk zonder nakomelingen sterft, dan komt dit goed weer aan Jan of aan zijn vrouw Sophia",Batavia Illustrata bl 838,,,
1090370,1402-11-07,"Ysselsteyn, van",heer Aernt van Egmont ende van Isselsteyn geeft enige rechten aan de stad Ysselstein; gedaan op zijn kamer te Isselsteyn,Codex Dipl Neerl serie 2 dl 4 afd 2 p 121,"zijn raad: Floris van Alckema, Gysbert Henricksz van Isselsteyn, Gerrit die hooffmeyster, heer Henrick de rentemeyster, Simon de Visscher",,
1090371,1405-02-11,"Ysselsteyn, van","de graaf verzoent zich wegens het gebeurde binnen Haarlem met Jan van Yselsteyn, messemaker, tegen betaling van 5 nobels",Rechtspraak Graaf van Holland II p 204,,,
1090372,1410~,"Ysselsteyn, van","leenregister Culemborg: jvr Lysbet vrouw van Jan van Lent 1 viertel land te Scalcwijc, belend boven: de heren van St Peter, beneden: de heer van Ysselsteijn; - Floris van Blochoven 1 viertel gelegen te Scalcwijck, belend aan de overzijde: de heren van St Peter te Utrecht, aan de nederzijde: de heer van Yselstein ","Leenregister Culemborg fol 6, 49v",,,
1090373,"1411, 1412","Ysselsteyn, van","Walraven van Ysselsteyn: van de tienden van Medenblic, 60 £; afterstal van 1410 van deze tienden, 50 £; 1412: Herberen van Yselsteyn van de tienden van Medemblic, 60 £ en afterstal van 1411 van idem, 50 £ ","Rek Rentmeester Kennemerland 841 fol 5, fol 25v en 812 fol 5, fol 26v",,,
1090374,1416,"Ysselsteyn, van","Gisbert van Yselstein, fils de Henri, bourgeois d'Yselstein; 1416: un autre Gisbert van Yselstein scelle",De Raadt II p 144,,,
1090375,1428-08-27,"Ysselsteyn, van",Herbaren van Yselsteyn geeft voor schout en schepenen van Weesperkarspel aan zijn bastaardzoon Sades tbv de heer van Montfoord de vrije eigendom van verschillende landerijen aldaar tot een gezamenlijke waarde van 205 Franse schilden,Cat Arch Heren van Montfoort regest 419,,,
1090376,1429-03-14,"Ysselsteyn, van","Herbaren van Yselsteyn verkoopt, onder borgtocht van zijn zoon Aernt van Yselsteyn en zijn bastaardzoon Satis, aan Jan burggraaf van Montfoird en Jan van Vianenen heer ten Goey en Noordeloos, de Horncamp en andere kampen en broeken bij zijn hofstede te Uutermeer in het ambacht van Weesperkerspel",Cat Arch Heren van Montfoort regest 436,,,
1090377,1440-10-15,"Ysselsteyn, van","Ghysbrecht van Yselsteyn beleent Willem Symon Huysmansz met 1 ½ vierendeel land in de ban van Purmerend en met 1 morgen land in de ban van Middelie [volgens de Inventaris, in de Index: Medemblic, ten onrechte], en schenkt hem de landerijen, die hij van hem of zijn voorvaderen in leen heeft",V.R.O.A. 1920 dl I p 327 regest 67/Arch Kasteel Duivenvoorde Inv no 464 regest 67,,,
1090378,1442-05-23,"Ysselsteyn, van","Willem broeder van Egmond, heer van Yselsteyn, beleent zijn neef Gysbrecht van Yselsteyn met de leengoederen hem aangekomen van zijn vader Herberen, die deze goederen van de hofstede van Yselsteyne in leen had",Arch Duivenvoorde Inv no 121 regest 69,,,
1090379,1455-09-19,"Ysselsteyn, van","leen van Amstel: no 45) 10 £ per jaar uit de Zwijnsbede van de stad Weesp en van Weesperkarspel, Gysbert van Ysselsteyn voor zijn vrouw Adriaan van Zwieten, zoals haar toegezegd door haar grootvader Boudyn van Zwieten, bevestigd door Gysbert van Zwieten, Boudyn's oudste zoon; 1495-12-09: Gysbert van Duvenvoorde na overdracht door zijn grootmoeder Adriana van Zwieten",Ons Voorgeslacht 09-1988 p 377,,,
1090380,1460-1461,"Ysselsteyn, van","enige poorters van Haarlem voor de Raad in Den Haag gedagvaard tegen Aetsert van Ysselsteyn (209 fol 19v, 24v, fol 25); 1461-04-17: bode naar Naerden naar Aetsert om hem naar Haarlem te roepen om een gevoech te maken inzake Heijn Stalen goed (fol 31); 1461-1462: (210 fol 11v) op 21 mei verantwoording tegen hem; 1462-1463: (211 fol 24v) op 1463-04-18 opnieuw voor deze zaak naar Den Haag; 1463-1464: (212 fol 17) idem, (fol 19) appèl dient 1464-02-20, idem: (fol 25 en 34v); 1464-1465: idem (213 fol 18)",Thesauriersrekening Haarlem ,,,
1090381,1465-04-21,"Ysselsteyn, van","huwelijksvoorwaarden tussen Aernt van Duvenvoorde en Margriete Gysbrechtsdochter van Yselsteyn. Hij brengt ten huwelijk: - de hofstede van Duvenvoorde met 65 morgen land; - landerijen te Rijswijk, Maeslant, Lakervelt, Pynacker; - tienden te Voorschoten, Wateringe, Rijswijc, Eyckenduynen, Sceveninck; - de ambachtsheerlijkheid van Noortigerhout en op t Wout; - de helft van het veer van Doenslane [Dodynslane ?]. Margriet brengt aan: twee kampen land, de Dreybornskamp en Jan Slapbaerskamp ",Arch Duivenvoorde Inv no 12 regest 107,"zegels: Arent van Duvenvoirde, Jan van Duvenvoirde, Anthonys van Ysselsteyn, Huge van Zwieten",,
1090382,1466-07-12,"Ysselsteyn, van","Adriaen van Haemstede en van Moermont verklaart aan zijn zwager Aernt van Divoerde jaarlijks te zullen betalen 6 £ Vl, die hij schuldig is aan de erfgenamen van zijn neef Gysbrecht van Yselsteyn, ingevolge de huwelijksvoorwaarden van zijn moei, de moeder van de voornoemde Gysbrecht",Arch Duivenvoorde Inv no 13 regest 111,,,
1090383,1469-01-25,"Ysselsteyn, van",Frederick zoon van Egmonde heer van Ysselstein beleent zijn neef Antonius van Ysselstein met de goederen hem aangekomen van diens vader Gysbert van Ysselsteyn,Arch Duivenvoorde Inv no 122 regest 113,,,
1090384,1467-12-07,"Ysselsteyn, van","Dirc Claesz procureur van Aetsert van Ysselsteyn, protesteert tegen de declaratie van kosten ingediend door Heynric van Orten, uitstel tot over 14 dagen; 1468-01-14: uitstel; 1468-01-15: stukken gegeven (fol 143) over de kosten van de rekening van van Orten (fol 146)","Coll Aanw 238 fol 51, fol 139v, 143, 146/Mem Hof, Poes fol 13v",,,
1090385,1468-07-14,"Ysselsteyn, van","heer Aernt de bastaard van Ysselsteyn, gedaagde, eiser: Geertruid Aerntsdochter; 1468-08-04: de erfgenamen van Aernt Allertsz contra Aernt de bastaard van Ysselsteyn","Coll Aanw 420 fol 971, 1049, 1130",,,
1090386,1468-09~,"Ysselsteyn, van",de jvr van Ysselsteyn gedaagd door jvr Marie Gillis Proosten weduwe,Coll Aanw 240 fol 1132v,,,
1090387,1469-03-24,"Ysselsteyn, van","proces tussen jvr Katherine van Naeldwijk, weduwe van Ghijsbrecht van Yselsteyn en ? ",Sententien Hof van Holland 12 p 18,,,
1090388,1470-04-18,"Ysselsteyn, van","leen van Amstel: no 10) het huis Cronenburg, lijftocht van Anna dochter van Jan van Yzendoorn, gehuwd met Antonis van Amstel van Mynden, op 3 zaten",Ons Voorgeslacht 09-1988 p 358,,,
1090389,1478-06-22<,"Ysselsteyn, van","jvr Adriaen Ghysbert van Yselsteijn [op 1478-06-22 weduwe genoemd] huysvrou heeft belyet voor heer Gheryt van Bueren, onse pastoir als notarius ende voir here Heerwick en Johannes die coster ende Zwaninck Claesz, kerckmeysters, hoe dat Anthonys van Yselsteyn hoer soen besproken heeft 2 nobelen sjaars ewige renten. D'ene nobel jaerlix te deyelen den armen opten Paeschavont ende den anderen nobel tot een ewige memorie voor hem en syn ouders. Ende daer sal elke dienre of hebben 1  .... stuver ende die pastoer dat .oene.. ghelt ende men sal den armen deylen 5 stuver an broet op sijn jarichtijt. Ende wat daer over loept sal die kerk hebben voor die lichtinge mit 15 keersen. Ende dese nobelen sullen staen op al Anthonis gued ter tijt toe dat syn erfgenamen bewisen ende beschicken ende zekere plach dair mense jaerlix of ontfangen mach. Item nae die tyt is ghecomen jvr Adriaen voors. ende heeft onse kerckmeesters een zekere pachtbrief gegeven van die nobel toter memorie etc [doorgehaald en zonder datum]",Kon. Bibl. hs 73 G 41 fol 13v/Lijst van Fundatien en Zielmissen Parochiekerk Weesp,,,
1090390,1478-06-22,"Ysselsteyn, van","schepenen van Leiden oorkonden dat Huge van Swieten, Raad van Holland, Pieter van Swieten en Adriaen van Swieten, weduwe van Ghysbrecht van Yselsteyn, Katrijn van Swieten, vrouw van Adriaen van der Boichorst, met Lysbeth van Ruyven weduwe van Willem van Swieten, overeengekomen zijn dat zij zich in het geschil over de erfenis van Willem van Swieten, hun overleden broer en man, zullen houden aan de uitspraak van arbiters; uitspraak op 24 juni (1478-06-24)",V.R.O.A. 1920 I p 347 regest 131/Arch Kasteel Duivenvoorde Inv no 117 regest 131,"Dirc Dircsz en Jan Willemsz de Bruyn, schepenen in Leiden",,
1090391,1480-1487,"Ysselsteyn, van","leen van Ysselsteyn: heer Aernt van Ysselsteyn, bastaard, had een stuk land te Harmelen, dat tbv Claes Bertelmeusz geexecuteerd was, gekocht; betwist door de weduwe en erfgenamen  van Wouter van den Eynde en mr Melis en Geryt, kinderen van wijlen Dirk Thielmansz contra heer Aernt bastaard van Ysselsteyn",Grote Raad Mechelen Beroepen Holland dl II dossier 127,,,
1090392,1481-05-24,"Ysselsteyn, van","Huge van Zwieten maakt zijn testament waarbij hij o.a. aan zijn zuster Adriaen van Zwieten, weduwe van Gysbrecht van Ysselsteyn, vermaakt het halve huis en land bij het huis te Utermeer, dat hij samen met haar heeft, en de helft van 5 morgen land in die Mellem, te Opmeer in Westvriesland",Arch Duivenvoorde Inv no 116 regest 137,"met zijn zegel en die van Adriaen van Poelgeest, Adriaen van Zwieten, schout te Leyden, zijn neven",,
1090393,1481-06-09,"Ysselsteyn, van","Arnt bastaard van Ysselsteyn en de heer van Wassenaer gedaagd door Willem van Valkendale namens zijn zoon Joost; eerste aanleg: geschil over het bezit van het ambt van baljuw en dijkgraaf van Woerden; ambt voorlopig aan eiser toegewezen, zaak verwezen naar het Hof van Holland",Grote Raad Mechelen Geëxtendeerde Sententiën 1966 p 189,,,
1090394,1482-06-17,"Ysselsteyn, van","Aernt van Duvenvoorde beleent namens zijn vrouw Margriet Gysbrechtsdochter van Ysselsteyn, Philips van der Spaengen met een leen, dat diens grootvader te leen had van heer Herberen van Yselsteyn, ridder. Uit de inhoud blijkt dat Aernt optreedt als leenheer van de hofstede van den Bosch [Uitermeer]",Arch Duivenvoorde Inv no 123 regest 140,,,
1090395,1495-05-15,"Ysselsteyn, van","Floris van Ysselsteyn en Helmich Dobbe contra Andries van Hargen [er staat Hartgen]: beroep tegen het vonnis van het Hof van Holland dat eisers die op grond van vererving aanspraak maakt op de heerlijkheid Ootsterwijk in Zuidholland, toebehorend aan verweerder in het ongelijk heeft gesteld (""natureel"" en ""civiel"" bezit); na niet veschijnen van de eiser is het beroep ongegrond verklaard",Grote Raad Mechelen Geëxtendeerde Sententiën 1966 p 288,,,
1090396,1530-11-29,"Ysselsteyn, van","Floris van Egmond graaf van Bueren en Lederdamme, heer van Ysselsteyn en Cranendonck, beleent heer Jan van Duvenvoorde met de goederen hem aangekomen van zijn moeder Margriete, enige dochter van Gysbert van Ysselsteyn en weduwe van Airnt van Duvenvoorde",Arch Duivenvoorde Inv no 20 regest 209,,,
1090397,1488-09-20,"Ysselsteyn, van","heer Aernt van Ysselsteyn, ridder, beleend met 12 R gld per jaar uit de hofstede van Schadenbroek met 20 morgen land in het kerspel van Woerden; 1491-01-22: hij draagt deze rente over aan heer Willem van Boschuysen, ridder","Repert Stichtse Leenprotocollen p 445, 446",,,
1090398,1499-02-15 (1498),"Ysselsteyn, van","Jan van Bouchorst voor zijn moeder Katharina contra Adriaen van Bouchorst voor zijn vrouw Jacoba van Wyngaerden en voor de grootmoeder van zijn vrouw de jvr van Ysselsteyn en de kinderen van Pieter van Zwieten, beroep tegen het vonnis van het Hof van Holland; de drie kleinkinderen van Katherine weduwe van Adriaen Jacobsz die van beide partijen de gemeenschappelijke voorouder was, waren overeengekomen dat bij vóór overlijden van één van hen, de kinderen van deze in de plaats van de overleden ouder zouden erven ondanks de andersluidende regel van het  aasdomsrecht. Was hier schependomsrecht verkozen? Volgens schepenen van Leiden niet, volgens het Hof van Holland wel. Beroep ongegrond verklaard",Grote Raad Mechelen Geëxtendeerde Sententiën 1966 p 338,,,
1090399,1509-04-25,"Ysselsteyn, van","leen van Amstel: no 61B) 2 zaten van 24 morgen in 200 morgen bij Reigerbroec, lijftocht van Catharina dochter van Arnoud van Ysselsteyn, gehuwd met Dric van Zwieten van Leyenberg heer Arnoutsz, op 80 £; 1518-06-21: Dirc van Zwieten en Catharina van Ysselsteyn dragen dit leen over tbv Wouter uten Hamme",Ons Voorgeslacht 09-1988 p 382,,,
1090400,1557-02-19,"Ysselsteyn, van",ordonnantie van de prins van Oranje graaf van Nassau en heer van Ysselstein betreffende gerechtelijke consultatiën te Ysselstein,Codex Dipl Neerl serie 2 dl 4 afd 2 p 153,,,
1090401,1628-12-02,"Ysselsteyn, van","Pancras Pousz [Ponsz] Isselsteyn, wonende te Leyden, transporteert aan Wijbrant Swartwout, koopman te Amsterdam, een obligatie van 112 gld ten laste van Pieter van Loo, gewezen cruijdenier te Leiden, nu te Vlissingen, gepasseerd de 24ste juli te Leiden voor notaris Laurens Vergeijl",G.A. Amsterdam Not Arch 397 fol 692/Notaris Nic Jacobs,,,
1090402,,"Ysselsteyn, van","genoemd in de ridderschap van Holland: diverse leden van de familie van Ysselstein; ± 1210: Betrande van Ysselstein x Gysbrecht II van Amstel; 1416: Johan Ysebrand van Yselstein x Sophia van Alkemade; Willem van Yselstein, kinderen: Alyt x Dirk van Alkemade, Jan x Sophia van Alkemade, 973","Batavia Illustrata bl 747, 829, 834",,,
1090403,1573~,"Ysselsteyn, van","jhr Christoffel van Ysselstein gecommitteerd na dode van jr Heronimus Tseraerts tot gouverneur en superintendent van G[eertruiden]berg, en van het land van Breda en geheel Langstrate, met zijn aencleven; gecommitteerd tot gouverneur als voren","Navorscher jg 1897 p 388, 385/Depeches Willem I",,,
1090404,1326-12-27,"Isselt, van","Evert van Stoutenburch, knape, doet tbv de bisschop afstand van het huis Stoutenburg en andere lenen door hem van het Sticht gehouden",Van Mieris II p 410,"bezegeld door: Zweder van Zulen, Steven van Wede, Johan van Liesveld, Cosyn van Ysselt, knapen",,
1090405,1367-02-14,"Isselt, van","Johan van Virnenborgh, bisschop van Utrecht, beleent Diderick Cosyn van Ysselt met: - het gerecht en tiende van Isselt; -het erve van Lysenvoerde; -het goed in het nieuwe land; -het goed van Alrehorst met tijns en tienden, tussen Bircke en de Scerpenborgh; - een hoeve land op Amersforder eynghe; - de capelle te Isselt met tiende en gifte, behalve de lijftocht van zijn moeder jvr Foyse",Navorscher jg 1911 p 282,"Peter uten Hamme, ridder, Nyclaes van Oesterum, Florans van Jutfaes Scadenz",,
1090406,1374,"Isselt, van","Gisbert van Ysselt, prisonnier à Basweiler, dans l'armée de Wencelas, 430 moutons, scelle à Breda; zegel met randschrift: Ghiselberti Cosiin",De Raadt II p 144,,,
1090407,1326,"Isselt, van","genoemd: Cosmus van Isselt, schildknape",Batavia Illustrata bl 1200,,,
1090408,1366,"Yssem, van","uitgaven kelnerij Xanten: pro ½ sextario vini propinato Henrico de Ysem, officiato Clivensi, 2 sol 4d",Quellen Stift Xanten p 159,,,
1090409,"1372, 1375, 1378","Yssem, van","uitgaven bursa Xantensis: pro 2 quartis vini propinatis Luvoni de Ysem, 2 sol 4d; 1375: Heynkin misso ad Luvonem de Yssem cum littera capitulum quod Greta de Hunszlar occupavit decinam de Rondenrade, 16d; 1378: nuncio misso ad Luvonem de Ysen diffidantem capitulum per Henr de Hessen ad percipiendum causam diffidationis 25d","Quellen Stift Xanten p 211, 216, 229, 230",,,
1090410,1375,"Yssem, van","uitgaven bursa Xantensis: in die Agathe, nuncio misso Leodium ad dom Harm. Bottenbroick pro concilio ex eo quod dom Wilhelmus de Ysem fecit monere capitulum pro fructibus quarundam prebendarum ex pare camere apostolice, 12 sol",Quellen Stift Xanten p 216,,,
1090411,1382,"Yssem, van","uitgaven bursa Xantensis: pro 2 quartis vini propinatus domino Luvoni de Ysem novo officiato Clevensi, in die St Andree, 2 ½ sol",Quellen Stift Xanten p 249,,,
1090412,1475-1500,"Yssem, van",confinationes curtis to Rondenray: ½ maldersaet beneven Loeff van Ysem (nunc Batenborch),Quellen Stift Xanten p 345,,,
1090413,1406,"Yssem, van","Maria van Boytbergh, femme de Gerard van Yssem; zwager van Gerard van Yssem: Goissen Speede van Langevelde","De Raadt I p 344/Düss Cleves Mark no 666, 667; De Raadt III p 437",,,
1090414,1555-05-14,"Issen, van","leen van Vianen: no 711) 2 morgen in Outena, Frans van Issen Bernardsz voor zijn vrouw  Hester George Ludolfsdochter, gemeen met leen no 710), genaamd Klein Borgelen, belend boven: Pieter Joostenz, beneden: Rutger Gysbertsz uten Breuck. De volgende beleningen zijn gelijk aan no 710): 1569: dezelfden; 1599-05-26: Jan Erntsz voor zijn vrouw Metje Frans van Issendochter bij dode van haar moeder Hester George Ludolfsdochter; 1605-05-30: Ernst Jansz na dode van zijn moeder Metje van Issen; 1640-01-18: Gerrit van Leent, procureur te Vianen voor Maria van Vianen, na dode van haar vader Ernst Jansz van Vianen",Ons Voorgeslacht 07-1988 p  323,,,
1090415,"1399, 1401","Ittersum, van","de stad Zwolle leent van Roloff van Ittersum 400 oude Vr schilden; opbeuren van de koermeester in de 12e maand, 1 £; 1401: Albert Snavel dat uit de schatting genomen is, 400 oude schilden; Roloff van Yttersim, brief van de schuld aan hem","Maandrekening Zwolle 1399 p 16, 91, 1401 p 16",,,
1090416,1401,"Ittersum, van","van Roeloff van Yttersim 16 mudde rogge, elke mudde 1 ½ gld, maakt 24 gld; - Henric die olde van Wije pacht de waag voor 195 gld en 11 £ voor het wagenhuis, solvit 185 gld met Jacob van Wytmen en Roelof van Ittersum","Maandrekening Zwolle 1401 p 74, 121",,,
1090417,1461,"Ittersum, van","Zwolle: akte van overdracht door Johan Clesden, gemachtigde van zijn moeder Ane Otten en Otto Cleusden aan Wolf, natuurlijke zoon van Johan van Ittersum, van gronden gelegen in Musschenhage, in de vrijheid van Zwolle","Inv Arch Marquette, Assumburg, Limburg-Styrum, 1 charter",,,
1090418,,"Ittersum, van","genoemd: Wolphart van Ittersum x Judith van Harsolte; Anna van Ittersum, bij Zwolle x Adriaan van Camons; -- van Ittersum x Hendrik Schaep van den Dam","Batavia Illustrata bl 1076, 890, 1079",,,
1090419,1349-1350,Iving,"Liclaes Iving, van het land te Vronen; idem: Paije Iving","Rek Rentmeester Kennemerland 798 fol 8v, 9, 9v",,,
1090420,1333-04-29,"Ysselt, van","leen van Amstel: no 82) 18 morgen in Benschop ten noorden van het dorp, in het land van Ysselsteyn, tussen de poort van Ysselsteyn en de Nieuwendam, van de wetering van Benschop tot het gerecht van Blokland, dat Rover van Montfoort toebehoort, beleend Dirck Cosyn van Ysselt, na opdracht, met lijftocht van Margaretha, gehuwd met zijn zoon Dirc; 1389-04-27: Willem van Ysselt Dirc Cosynsz; 1393-05-31: lijftocht van Jutte, dochter van Borre van Amerongen, gehuwd met Willem van Ysselt; 1403-08-06: Hendrik van Ysselt na dode van zijn vader, niet te verzuimen; 1404-09-22: Hendrik Cosyn van Ysselt ten eigen",Ons Voorgeslacht 09-1988 p 391,,,
1090421,1391-09-04,"Ymmerzele, van","op 7 september wordt heer Jan van Ymmerzele, schout te Antwerpen, geleide gegeven tot Bamisse toe","R.A.H. Coll Aanw 65 fol 29/Mem B.D. 27, 27v",,,
1090422,1456-1457,"Yperen, van","Claes van Yperen en Gheryt van Noortich doodgeslagen, Jan Gherytsz die bode bleef gewond liggen an die Bilt ten Witten Vrouwenklooster; op 22 april o.a. Aelbrecht Thaemsz naar Brugge over de doodslagen op 31 maart gepleegd, bij Walraven bastaard van Brederode met nog 8 anderen; de lichamen mogen naar Haarlem overgebracht worden; (fol 39v) Jan Gherytsz die bode die gewond in de Bilt achterbleef voor zijn verdriet en zijn moeder reizen uit Haarlem naar hem toe, 6£ 6sc","Thesauriersrekening Haarlem Vervolg II fol 23v, 24v, Vervolg IV fol 39v",,,
1090423,1404-09-22,"Isselt, van","leen van Amstel: no 76) 60 morgen in de wildernis van de leenheer, bij Bijlmerbroec aan de Holendrecht, genaamd Moynevelt, Hendrik Casyn van Isselt, bij dode van zijn vader Willem; 1328-05-19: dit leen zou identiek zijn met 60 morgen in Abcoude, in het gerecht van de proost van St Pieter, waarme Cosyn van Ysselt beleend wordt",Ons Voorgeslacht 09-1988 p 389,,,
1090424,1450,"Ilpendam, van",kerkmeester te Haarlem: Dirc Pietersz van Ilpendam,Kerkelijke Rek Haarlem I (9°),,,
1090425,1517-1518,"Ysselsteyn, van","de waerschappen van Geestmerambacht contra inwoners van Schermer, Graft, Ursem: laatstgenoemden hadden van de heer van Ysselsteyn en de heer van Wassenaer opdracht gekregen de Huigendijk door te steken, hetgeen zij deden tussen Oterleek en Alkmaar, proces hierover",Grote Raad Mechelen Beroepen Holland dl III dossier 263,,,
1090426,1441-07-08,"Ingen, van","bevel aan het kapittel van Gorinchem en heer Gheryt van Ingen, die beiden aanspraak maken op de proosdij van Gorinchem, de capelrie van Oosterwijk en de tiende en kerk te Buurmalsen om 17 augustus bewijsstukken aan de Raad over te leggen",Mem Rosa IV- VI p 611,,,
1090427,1467-03-16,"Ysselsteyn, van","leen van de abdij St Paulus te Utrecht: abt Johan Clauwert oorkondt dat Frank van Yselsteijn verzocht om belening met een sate land in Anckeveen, belend noord: Aernt van Yselsteyn, zuid: Antonis van Yselsteyn, waarvan Fran de vrije eigendom aan de abdij heeft opgedragen; vervolgens wordt Frank beleend tot een goed onversterfelijk erfleen; 1472-02-02: beleend Harberen van Yselsteyn bij dode van zijn vader Vrank van Yselsteijn","Leenregister Abdij St Paulus Utrecht 505 fol 93, 93v, copieboek fol 185","mannen: Jan de Coninc, Jan van Amerongen; 1472: Gerijt Zoudenbalch, Jan van der Anxter, Tyman Mouwer",,
1090428,1771-12-28,"Yzendoorn, van","een bundel stukken betreffende het natuurlijk kind van Jan Henrick van Isendoorn à Blois bij Susanna Maria de Malapert, geboren 1771-12-28, overleden 1787-01-02, betreffende alimentatie en een daarover gesloten transactie",V.R.O.A. 1909 p 300 no 4,,,
1090429,1753-09-07,Yselendoorn,"verzoekschrift van Claas Yselendoorn, hospes in de herberg de Swarte Hondt, aan de heer van Bennebroek, om toestemming met de aanstaande kermis op de Fiool te laten spelen, alsmede de kat te laaten kneppelen en de ring te laten steken tot vermaak der gasten; 1762-1791: dito verzoekschriften van de herbergiers in de Zwarte Hond, ook wel genaamd het Rechthuis of Wapen van Bennebroek. Met goedgunstige beschikking van de heer",Inv Arch Bennebroek no 253 p 108,,,
1090430,,,,,,,
1090431,,,,,,,
1090432,,,,,,,
1090433,,,,,,,
1090434,,,,,,,
1090435,,,,,,,
1090436,,,,,,,
1090437,,,,,,,
1090438,,,,,,,
1090439,,,,,,,
1100001,1130-1161,Jaarsveld,ministeriales van abdij Egmond:  o.a. Eppo en Gherbrand  apud Ghersvelt [Jaarsveld],Bijdr Hist Gen jg 1914 p 26,,,
1100002,1303,"Jaarsveld, van","bisschop Guido van Utrecht geeft enige landhoeven aan de kerk te Kamerik; getuige no 19) Gisbertus de Jaersvelt, miles",Van Mieris II p 38,,,
